"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Rappahannock County","157","White Alone",6566,89.22
51,"Rappahannock County","157","African-American Alone",280,3.8
51,"Rappahannock County","157","Asian Alone",88,1.2
51,"Rappahannock County","157","Hispanic or Latino",261,3.55
51,"Rappahannock County","157","All Others",164,2.23
