"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Fairfax County","059","1",281271,71.91
51,"Fairfax County","059","2 to 4",6595,1.69
51,"Fairfax County","059","5 to 19",57960,14.82
51,"Fairfax County","059","20 to 49",10519,2.69
51,"Fairfax County","059","50 or more",34799,8.9
