"STATE_FIPS","value","county_code","variable","value","value_prop"
11,"District of Columbia","001","$1,500 to $1,999",30554,18.84
11,"District of Columbia","001","$2,000 to $2,499",19774,12.19
11,"District of Columbia","001","No cash rent",5151,3.18
11,"District of Columbia","001","Less than $1,000",43409,26.76
11,"District of Columbia","001","$1,000 to $1,499",40385,24.9
11,"District of Columbia","001","$2,500 or more",22917,14.13
