estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2005-2009,FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5
2005-2009,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2005-2009,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2005-2009,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011
2005-2009,LOGRECNO,0000007,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2005-2009,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2005-2009,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2005-2009,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2005-2009,GEO_NAME,District of Columbia,"Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2005-2009,B01003_1_total,588433,88055,140181,224185,946172,834986,206405,14359,44923,1012751,66330,277465,360910,7171,118512,120436,36087,142131,23369,11233,22314,35559,11633,50791
2005-2009,B01001_1_total,588433,88055,140181,224185,946172,834986,206405,14359,44923,1012751,66330,277465,360910,7171,118512,120436,36087,142131,23369,11233,22314,35559,11633,50791
2005-2009,B01001_2_male,277522,43395,68091,110671,457236,401752,103976,7069,22740,502046,33208,138111,180572,3506,58479,60450,17686,68517,11283,5390,9998,18021,5824,25336
2005-2009,B01001_3_under_5_years,18337,2653,4867,8012,34996,30816,6762,350,1680,38103,2316,13545,16687,190,4391,4338,1213,5574,659,354,857,1699,670,1725
2005-2009,B01001_4_5_to_9_years,14426,3044,5858,8064,31824,27897,4217,287,1836,35139,2347,12140,15270,233,5158,4931,941,3066,635,371,714,1342,462,1689
2005-2009,B01001_5_10_to_14_years,15595,3867,5212,8654,32518,30271,4141,585,1443,34791,2789,11058,14016,182,4840,5702,1416,2509,544,326,341,1471,435,1682
2005-2009,B01001_6_15_to_17_years,9585,2437,3584,5411,20649,18689,2237,308,933,21618,1592,5565,8384,209,3293,3423,790,1481,421,263,364,770,187,1024
2005-2009,B01001_7_18_and_19_years,10292,1310,1868,2986,11480,14423,1780,98,659,12807,899,2702,4667,45,1671,1797,511,972,263,206,558,521,77,890
2005-2009,B01001_8_20_years,4543,458,866,1292,5676,6975,1272,0,200,5747,327,1296,2675,0,989,590,349,379,393,63,566,284,90,329
2005-2009,B01001_9_21_years,4146,578,831,1683,5489,6495,1009,117,301,5934,466,1327,2554,26,705,686,151,749,308,120,235,127,33,334
2005-2009,B01001_10_22_to_24_years,12882,1507,2537,3700,18007,15928,6740,368,799,20859,1143,3892,7287,170,1750,3394,566,3406,428,351,374,717,252,759
2005-2009,B01001_11_25_to_29_years,26417,2091,3983,6220,28776,31896,15914,424,1682,33728,1512,8838,12656,136,3621,3417,1139,9051,790,236,1028,1534,605,1428
2005-2009,B01001_12_30_to_34_years,24009,2129,4210,6809,29567,29193,11886,331,1573,34613,1466,11936,13699,139,3770,3625,1074,7713,758,184,603,1356,510,1607
2005-2009,B01001_13_35_to_39_years,22523,2971,5351,8276,33863,29788,9037,425,1769,37821,2400,13579,15174,186,4279,4704,1398,6581,751,369,618,1331,460,1983
2005-2009,B01001_14_40_to_44_years,20877,4193,6645,10073,35012,31039,8093,633,2091,40942,3096,14328,15912,249,5115,5752,1341,5328,996,404,649,1450,596,2241
2005-2009,B01001_15_45_to_49_years,19841,4067,5762,9704,37287,31024,6829,614,1799,40992,2961,11491,14415,275,4953,5279,1477,4748,809,473,624,1402,538,2141
2005-2009,B01001_16_50_to_54_years,17940,3472,4674,8294,34459,26977,6162,576,1423,37730,2550,8434,11672,345,3892,4156,1367,4106,950,405,443,1207,276,1743
2005-2009,B01001_17_55_to_59_years,16215,2883,3753,6851,28978,22539,5983,526,1260,32347,2369,6441,9091,262,3425,3235,1227,3759,767,340,487,836,144,1699
2005-2009,B01001_18_60_and_61_years,5829,923,1277,2285,9822,7643,1636,208,351,11585,604,1932,2972,121,1168,929,336,1411,201,73,183,323,120,646
2005-2009,B01001_19_62_to_64_years,6744,1058,1592,2736,11888,9222,2496,270,705,14018,1067,2347,3630,202,1187,1238,435,1727,323,225,233,359,95,776
2005-2009,B01001_20_65_and_66_years,4052,739,945,1443,6800,5537,1404,168,340,7505,548,1194,2017,106,838,653,262,972,133,159,116,283,39,320
2005-2009,B01001_21_67_to_69_years,5255,789,1058,1869,8024,6091,1423,137,544,8465,612,1699,2472,85,1052,633,286,1002,229,41,234,257,31,535
2005-2009,B01001_22_70_to_74_years,6522,846,1468,2500,11166,8877,1633,267,482,10798,918,1831,2306,157,858,924,700,1307,364,157,251,240,113,739
2005-2009,B01001_23_75_to_79_years,5237,730,848,1865,8881,5577,1377,170,313,7459,420,1214,1704,92,705,588,334,985,230,106,207,208,48,585
2005-2009,B01001_24_80_to_84_years,3627,391,458,977,6397,3236,871,105,337,5153,586,701,732,39,480,332,227,888,236,118,167,200,43,316
2005-2009,B01001_25_85_years_and_over,2628,259,444,967,5677,1619,1074,102,220,3892,220,621,580,57,339,124,146,803,95,46,146,104,0,145
