"","statefips","countyfips","year","total_population","total_housing_units","median_housing_value","median_household_income","percent_families_with_children","county_name","state_name","state_code","total_single_family_households_since_2000","total_single_family_households_before_2000","total_2_to_4_family_households_since_2000","total_2_to_4_family_households_before_2000","total_5_to_19_family_households_since_2000","total_5_to_19_family_households_before_2000","total_20_to_49_family_households_since_2000","total_20_to_49_family_households_before_2000","total_50_or_more_family_households_since_2000","total_50_or_more_family_households_before_2000","total_owner_occupied","total_renter_occupied"
"171",24,"031","2011",959738,374145,469900,95660,48.69,"Montgomery County","Maryland","MD",20423,221281,429,5714,5136,46114,2982,7962,9905,35111,244497,110937
"172",24,"033","2011",858539,327005,312800,73447,47.26,"Prince George's County","Maryland","MD",23071,182952,320,6288,3408,62216,1085,4523,3191,13543,193551,108540
"173",51,"013","2011",202999,104100,575600,99651,42.63,"Arlington County","Virginia","VA",2228,35422,56,4160,819,11941,571,4081,8051,24859,43096,49340
"174",51,"043","2011",14081,6220,356700,77048,38.26,"Clarke County","Virginia","VA",783,4397,0,74,0,180,0,17,0,95,4269,1295
"175",51,"047","2011",46427,17646,285000,66458,47.07,"Culpeper County","Virginia","VA",3948,9585,59,385,118,959,0,124,0,108,11476,4274
"176",51,"059","2011",1064735,406394,493100,108439,49,"Fairfax County","Virginia","VA",27260,255738,698,5807,4879,48763,2809,8216,7576,21265,273783,111787
"177",51,"061","2011",65008,25592,376100,87958,42.88,"Fauquier County","Virginia","VA",3187,17878,28,507,22,465,17,146,83,121,17983,4905
"178",51,"107","2011",303329,107556,472000,120096,59.62,"Loudoun County","Virginia","VA",34911,49021,188,854,3373,6240,1269,960,1393,1155,78987,20774
"179",51,"153","2011",391439,135777,353300,95531,55.32,"Prince William County","Virginia","VA",33199,73344,531,1307,2711,10825,709,1140,761,1416,94336,32834
"180",51,"157","2011",7422,3836,415400,64113,38.98,"Rappahannock County","Virginia","VA",257,2890,0,42,0,21,0,0,0,0,2486,824
"181",51,"177","2011",121508,45044,286800,78299,52.13,"Spotsylvania County","Virginia","VA",9476,26886,51,344,264,976,137,415,101,609,32204,9078
"182",51,"179","2011",127041,43627,334800,94658,52.74,"Stafford County","Virginia","VA",9973,26221,106,394,731,1131,292,382,187,81,32086,8605
"183",51,"187","2011",37323,15898,244000,61379,44.89,"Warren County","Virginia","VA",2071,10160,6,562,0,786,0,148,12,17,10554,3649
"184",51,"510","2011",136968,72059,480300,82899,41.26,"Alexandria city","Virginia","VA",2037,23139,91,2783,503,13514,401,2886,3451,15259,28868,35349
"185",51,"600","2011",22277,8677,472600,99300,42.1,"Fairfax city","Virginia","VA",662,5693,31,141,57,1422,0,95,89,230,5880,2590
"186",51,"610","2011",11840,5421,658500,120332,53.95,"Falls Church city","Virginia","VA",176,2763,0,102,0,461,36,56,332,881,2966,1841
"187",51,"630","2011",24015,10360,333000,44498,50.9,"Fredericksburg city","Virginia","VA",975,4217,0,370,189,2140,47,587,145,603,3619,5722
"188",51,"683","2011",36811,13087,278900,73091,52.09,"Manassas city","Virginia","VA",604,8110,0,435,192,1779,18,206,120,150,7883,3989
"189",51,"685","2011",13759,4872,261500,70137,53.39,"Manassas Park city","Virginia","VA",543,2919,13,17,168,79,125,0,300,74,2867,1371
"190",54,"037","2011",52874,21858,237100,65285,40.62,"Jefferson County","West Virginia","WV",3732,12266,7,663,93,834,24,127,0,154,14982,4433
"191",11,"001","2012",605759,296671,443000,64267,41.27,"District of Columbia","District of Columbia","DC",3774,98130,865,25143,2066,40994,2107,20689,11152,56001,110853,150339
"192",24,"009","2012",88774,33793,368100,92395,47.06,"Calvert County","Maryland","MD",5255,23169,41,669,68,543,65,167,166,324,25293,5623
"193",24,"017","2012",147107,55049,320400,93063,48.46,"Charles County","Maryland","MD",9629,35521,144,1019,502,1425,340,517,449,453,40580,10265
"194",24,"021","2012",234268,90215,316800,83706,48.56,"Frederick County","Maryland","MD",13123,58172,171,2375,1993,6387,343,693,662,855,64670,20889
"195",24,"031","2012",974824,375973,455800,96985,48.69,"Montgomery County","Maryland","MD",21451,220699,446,5639,5265,46407,2738,7987,11059,35290,243751,113828
"196",24,"033","2012",865443,327803,289400,73568,46.47,"Prince George's County","Maryland","MD",24339,182615,403,6640,3417,61329,1049,4393,4021,13079,191829,110854
"197",51,"013","2012",209077,105395,577300,102459,43.47,"Arlington County","Virginia","VA",2309,35002,87,4569,871,11141,644,4219,8729,25156,42696,50296
"198",51,"043","2012",14143,6226,348000,80186,36.74,"Clarke County","Virginia","VA",880,4459,0,52,28,86,0,0,0,54,4387,1193
"199",51,"047","2012",46894,17762,265600,65567,47.18,"Culpeper County","Virginia","VA",4185,9546,68,357,148,812,18,76,0,71,11654,4172
"200",51,"059","2012",1083770,407349,480200,109383,49.08,"Fairfax County","Virginia","VA",28099,254812,691,5515,4836,49828,2648,9243,9028,21385,270928,117524
"201",51,"061","2012",65495,25672,363600,88687,42.95,"Fauquier County","Virginia","VA",3799,17382,39,454,36,540,16,157,100,135,18216,4815
"202",51,"107","2012",314980,109928,448700,122068,59.21,"Loudoun County","Virginia","VA",36397,51174,210,1058,3222,6833,1151,1022,1421,1305,81476,22719
"203",51,"153","2012",404011,137592,330700,96160,55.02,"Prince William County","Virginia","VA",34829,73486,589,1362,2900,11279,722,1162,733,1536,94406,35237
"204",51,"157","2012",7440,3872,417700,57837,36.17,"Rappahannock County","Virginia","VA",298,2853,0,27,0,10,0,0,0,0,2536,740
"205",51,"177","2012",122854,45276,264600,79402,50.35,"Spotsylvania County","Virginia","VA",9217,27031,40,319,234,969,229,369,119,612,32285,9095
"206",51,"179","2012",129446,44124,309300,96355,52.38,"Stafford County","Virginia","VA",10568,26141,131,362,764,1040,229,402,270,135,32278,8926
"207",51,"187","2012",37567,15955,231700,61693,44.16,"Warren County","Virginia","VA",2377,9952,7,644,5,754,0,162,12,12,10272,4077
"208",51,"510","2012",140337,72460,475900,83996,40.57,"Alexandria city","Virginia","VA",1997,23076,149,2679,555,13866,373,2749,3579,15590,28403,36326
"209",51,"600","2012",22712,8690,465100,98563,40.04,"Fairfax city","Virginia","VA",617,5790,33,162,72,1413,0,64,121,206,5958,2561
"210",51,"610","2012",12300,5449,645600,122844,54.38,"Falls Church city","Virginia","VA",175,2801,0,62,17,379,43,93,377,910,3024,1833
"211",51,"630","2012",24932,10603,323600,45951,50.8,"Fredericksburg city","Virginia","VA",1149,4025,0,496,271,2198,65,746,169,561,3650,6055
"212",51,"683","2012",37943,13128,247100,70634,52.95,"Manassas city","Virginia","VA",578,8313,0,382,218,1708,26,171,105,205,7842,4169
"213",51,"685","2012",14409,4873,233100,71810,53.34,"Manassas Park city","Virginia","VA",584,3002,8,9,145,66,118,0,286,59,2816,1461
"214",54,"037","2012",53545,22086,223700,64314,41.12,"Jefferson County","West Virginia","WV",3957,12586,7,797,98,746,19,126,0,172,15049,4775
"215",11,"001","2013",619371,298327,445200,65830,41.74,"District of Columbia","District of Columbia","DC",4254,97883,1085,25237,2417,41552,2425,20778,13007,54790,111070,152579
"216",24,"009","2013",89332,33996,357000,95477,46.01,"Calvert County","Maryland","MD",5359,23182,40,613,73,559,103,150,144,305,25158,5765
"217",24,"017","2013",148957,55645,297900,93160,46.86,"Charles County","Maryland","MD",10097,35714,131,923,478,1235,404,520,472,407,40672,10575
"218",24,"021","2013",236668,90910,307000,84570,47.33,"Frederick County","Maryland","MD",13914,58029,158,2208,2003,6657,322,742,707,956,65037,21300
"219",24,"031","2013",989474,377824,446300,98221,48.49,"Montgomery County","Maryland","MD",22190,221435,518,5658,4844,47013,2761,7561,12116,35892,242592,117971
"220",24,"033","2013",873481,328432,269800,73623,46.05,"Prince George's County","Maryland","MD",25019,181332,512,6356,3523,61723,1117,4648,4802,12978,189759,113682
"221",51,"013","2013",214861,106740,584600,103208,41.98,"Arlington County","Virginia","VA",2444,34738,89,4547,860,11164,802,4554,10233,24731,42654,51800
"222",51,"043","2013",14191,6246,342500,77597,35.43,"Clarke County","Virginia","VA",1045,4229,0,39,41,120,0,0,0,86,4447,1133
"223",51,"047","2013",47330,17773,250600,64423,45.11,"Culpeper County","Virginia","VA",4159,9729,89,380,163,747,27,182,0,60,11711,4328
"224",51,"059","2013",1101071,408180,476600,110292,48.88,"Fairfax County","Virginia","VA",29601,253761,599,5727,5331,49425,2657,9503,10099,21199,269167,120741
"225",51,"061","2013",66015,25738,350600,88409,41.92,"Fauquier County","Virginia","VA",4375,16658,46,578,61,550,14,117,85,151,18530,4600
"226",51,"107","2013",326477,112504,437700,122238,59.52,"Loudoun County","Virginia","VA",38050,51677,311,1106,3519,6881,1005,1122,1668,1246,83100,23897
"227",51,"153","2013",416668,139258,321400,98071,55.21,"Prince William County","Virginia","VA",36643,73895,671,1436,2778,11572,784,1256,822,1420,95506,36936
"228",51,"157","2013",7448,3884,394800,56438,33.44,"Rappahannock County","Virginia","VA",322,2865,0,26,0,17,0,0,0,0,2553,708
"229",51,"177","2013",124319,45369,249100,78345,48.17,"Spotsylvania County","Virginia","VA",9832,26597,68,279,299,974,246,382,116,688,32318,9391
"230",51,"179","2013",131885,44550,299300,97110,50.58,"Stafford County","Virginia","VA",11517,26075,134,349,687,1411,173,359,299,135,32435,9743
"231",51,"187","2013",37836,16002,219000,61610,43.48,"Warren County","Virginia","VA",2452,10077,7,649,6,677,0,52,0,22,10436,3951
"232",51,"510","2013",143684,72799,476700,85706,41.53,"Alexandria city","Virginia","VA",2050,23110,177,2687,589,13619,462,2951,4033,15575,28337,37032
"233",51,"600","2013",23027,8714,456700,97242,41.31,"Fairfax city","Virginia","VA",620,5820,20,124,31,1401,0,99,105,212,5812,2680
"234",51,"610","2013",12731,5473,660900,120000,56.89,"Falls Church city","Virginia","VA",215,2805,0,94,17,360,22,109,465,933,2981,2039
"235",51,"630","2013",25931,10888,314300,47040,50.74,"Fredericksburg city","Virginia","VA",1252,3952,0,560,247,2260,143,614,157,554,3721,6058
"236",51,"683","2013",39317,13177,245000,71036,53.3,"Manassas city","Virginia","VA",547,8592,0,232,220,1743,67,132,84,223,7865,4207
"237",51,"685","2013",15125,4884,213300,71227,51.76,"Manassas Park city","Virginia","VA",482,3153,7,23,99,75,141,29,382,38,2825,1610
"238",54,"037","2013",54131,22146,214400,65304,41.25,"Jefferson County","West Virginia","WV",4293,12457,30,671,106,746,0,131,0,142,14943,4946
"239",11,"001","2014",633736,300798,454500,69235,41.99,"District of Columbia","District of Columbia","DC",4408,98161,1302,24626,2896,42814,2621,20259,15150,55025,111198,156217
"240",24,"009","2014",89793,34195,347300,95425,45.07,"Calvert County","Maryland","MD",5723,23091,46,484,59,550,91,155,217,256,25209,5832
"241",24,"017","2014",150960,56404,287000,91910,47.9,"Charles County","Maryland","MD",10900,35872,43,1016,521,1273,407,581,570,414,40740,11529
"242",24,"021","2014",239253,91814,301300,84480,45.7,"Frederick County","Maryland","MD",14409,58452,141,2219,1715,6551,401,886,813,1096,64897,22362
"243",24,"031","2014",1005087,380250,448700,98704,48.58,"Montgomery County","Maryland","MD",23727,221024,607,6080,5206,47017,2568,7937,12841,35008,241626,120982
"244",24,"033","2014",884764,329350,258800,73856,44.82,"Prince George's County","Maryland","MD",25762,183097,464,6088,3671,60833,1063,4617,5052,13142,189940,115175
"245",51,"013","2014",220173,108021,594800,105120,42.64,"Arlington County","Virginia","VA",2760,34808,125,4869,987,11874,778,4628,10857,24353,43157,53107
"246",51,"043","2014",14273,6259,337700,75508,35.18,"Clarke County","Virginia","VA",1105,4069,0,64,38,146,0,14,0,175,4275,1344
"247",51,"047","2014",47910,17869,243400,65235,45.55,"Culpeper County","Virginia","VA",4391,9807,103,356,162,875,27,119,0,58,12039,4397
"248",51,"059","2014",1117072,409108,486900,112102,48.65,"Fairfax County","Virginia","VA",31093,251624,530,5569,5457,51154,2550,9273,10750,21741,267156,124638
"249",51,"061","2014",66726,25905,351900,92078,42.02,"Fauquier County","Virginia","VA",4528,16447,101,519,137,523,18,115,117,205,18417,4745
"250",51,"107","2014",338916,115599,443100,123966,60.05,"Loudoun County","Virginia","VA",39998,51796,389,1160,3914,6932,972,1229,1972,1199,84662,25385
"251",51,"153","2014",428772,141002,323400,98514,55.29,"Prince William County","Virginia","VA",37750,74297,695,1392,2636,12247,758,1251,1022,1347,96757,37980
"252",51,"157","2014",7446,3919,383700,59753,31.19,"Rappahannock County","Virginia","VA",388,2804,0,39,0,24,0,0,0,0,2600,681
"253",51,"177","2014",126200,45747,245600,78505,46.58,"Spotsylvania County","Virginia","VA",10429,26721,48,295,353,940,388,311,124,779,32204,10076
"254",51,"179","2014",134672,45107,3e+05,98721,50.94,"Stafford County","Virginia","VA",11718,26552,130,348,639,1495,46,370,267,145,32769,9994
"255",51,"187","2014",38142,16037,210900,60560,45.29,"Warren County","Virginia","VA",2336,10331,0,653,7,687,0,7,0,31,10708,3616
"256",51,"510","2014",146422,73502,494400,87319,43.15,"Alexandria city","Virginia","VA",2032,22980,140,2553,614,13751,558,2859,4404,15952,28146,37770
"257",51,"600","2014",23507,8745,462800,100584,40.39,"Fairfax city","Virginia","VA",705,5645,34,82,28,1455,0,97,114,320,5944,2536
"258",51,"610","2014",13074,5492,665400,120500,53.21,"Falls Church city","Virginia","VA",203,2631,0,95,25,372,21,121,529,969,2933,2033
"259",51,"630","2014",26632,11037,317000,49454,50.17,"Fredericksburg city","Virginia","VA",1507,3640,0,629,235,2323,238,542,168,552,3561,6288
"260",51,"683","2014",40436,13232,257500,71215,51.38,"Manassas city","Virginia","VA",548,8600,0,300,215,1869,77,156,133,193,7936,4338
"261",51,"685","2014",14992,4895,222300,73460,52.99,"Manassas Park city","Virginia","VA",512,3111,0,57,116,74,199,30,389,32,2893,1633
"262",54,"037","2014",54650,22268,204900,66205,41.47,"Jefferson County","West Virginia","WV",4615,12438,22,493,157,752,0,86,0,162,15311,4815
"263",11,"001","2015",647484,303312,475800,70848,42.66,"District of Columbia","District of Columbia","DC",5188,99489,1576,25300,3218,44333,2753,20227,16348,54783,112750,160640
"264",24,"009","2015",90114,34384,341800,95828,43.78,"Calvert County","Maryland","MD",6023,22976,32,422,93,502,116,169,267,224,25432,5723
"265",24,"017","2015",152754,57156,284500,90607,46.67,"Charles County","Maryland","MD",11783,35815,134,952,547,1147,542,569,560,502,41321,11850
"266",24,"021","2015",241373,92708,300100,83700,46.16,"Frederick County","Maryland","MD",14969,58916,128,2174,1672,6733,510,870,888,1075,65427,23067
"267",24,"031","2015",1017859,382913,454700,99435,48.35,"Montgomery County","Maryland","MD",24942,220814,771,6040,5587,47065,2466,8175,13936,34792,241654,123581
"268",24,"033","2015",892816,329897,254700,74260,44.38,"Prince George's County","Maryland","MD",26974,182058,390,5822,3282,60647,1205,4569,5593,13670,189462,116148
"269",51,"013","2015",223945,109443,607700,105763,43.41,"Arlington County","Virginia","VA",2778,35278,177,4686,1147,12147,694,4476,11666,25220,43697,54744
"270",51,"043","2015",14299,6261,329500,71295,37.21,"Clarke County","Virginia","VA",1099,3948,0,113,28,154,15,33,0,119,4195,1331
"271",51,"047","2015",48424,17989,251600,66697,44.52,"Culpeper County","Virginia","VA",4608,9821,89,308,186,881,21,134,19,44,12023,4492
"272",51,"059","2015",1128722,409963,501200,112552,48.75,"Fairfax County","Virginia","VA",31286,250693,675,6092,5504,51172,2443,8875,11437,22077,265693,126662
"273",51,"061","2015",67463,26052,357200,91609,41.66,"Fauquier County","Virginia","VA",4927,16741,70,361,114,578,35,117,86,187,18674,4921
"274",51,"107","2015",351129,118919,452300,123453,59.74,"Loudoun County","Virginia","VA",42189,52135,474,1157,4074,7597,1006,1007,2071,1129,87461,25971
"275",51,"153","2015",437271,142786,333100,98657,54.69,"Prince William County","Virginia","VA",38809,74182,471,1700,2806,12591,985,1117,1075,1573,97744,39050
"276",51,"157","2015",7431,3936,367000,57210,28.51,"Rappahannock County","Virginia","VA",427,2756,0,22,0,16,0,0,0,0,2492,781
"277",51,"177","2015",127691,45979,248300,78125,45.27,"Spotsylvania County","Virginia","VA",10951,26317,47,320,575,931,392,289,211,719,32589,10234
"278",51,"179","2015",137145,45759,305300,97144,51.19,"Stafford County","Virginia","VA",12633,26182,125,248,650,1728,64,314,254,163,33314,10091
"279",51,"187","2015",38481,16099,213500,61454,43.31,"Warren County","Virginia","VA",2475,10263,0,600,9,655,0,8,0,23,11020,3344
"280",51,"510","2015",149315,74317,502500,89134,43.96,"Alexandria city","Virginia","VA",2188,22666,171,2659,697,14388,544,2966,4445,16093,28410,38469
"281",51,"600","2015",23402,8780,470300,105297,41.13,"Fairfax city","Virginia","VA",728,5614,27,59,39,1486,0,101,128,285,5925,2542
"282",51,"610","2015",13308,5601,718900,120522,49.98,"Falls Church city","Virginia","VA",250,2669,0,107,23,431,21,98,498,1069,3031,2135
"283",51,"630","2015",27395,11252,317900,51762,51.44,"Fredericksburg city","Virginia","VA",1509,3674,0,756,240,2398,330,531,130,495,3473,6607
"284",51,"683","2015",40743,13284,276700,72890,47.4,"Manassas city","Virginia","VA",737,8214,24,410,200,2095,74,131,132,265,7988,4445
"285",51,"685","2015",15625,4895,248300,73528,51.97,"Manassas Park city","Virginia","VA",551,3253,0,53,151,75,200,61,349,23,3246,1477
"286",54,"037","2015",55214,22408,207300,66677,42.05,"Jefferson County","West Virginia","WV",4667,12514,21,575,149,822,0,110,0,112,15051,5280
"287",11,"001","2016",659009,306711,506100,72935,43.27,"District of Columbia","District of Columbia","DC",5532,98590,1840,25710,3622,44974,2751,19979,18270,55155,112672,163874
"288",24,"009","2016",90527,34613,344300,96808,43.06,"Calvert County","Maryland","MD",6702,22491,67,516,97,458,112,146,268,305,25783,5696
"289",24,"017","2016",154357,58014,287600,91373,46.02,"Charles County","Maryland","MD",12481,36167,203,728,609,1014,619,605,574,484,41874,12231
"290",24,"021","2016",243465,93645,306100,85715,46.52,"Frederick County","Maryland","MD",15833,58485,86,2219,1501,6939,422,945,820,1188,65946,23049
"291",24,"031","2016",1026371,385485,460100,100352,47.75,"Montgomery County","Maryland","MD",25827,220275,848,5894,5180,48025,2423,7709,15106,35728,241201,126563
"292",24,"033","2016",897693,330708,261400,75925,43.39,"Prince George's County","Maryland","MD",28868,181143,463,5751,3449,59944,1508,4565,5568,14084,189084,117627
"293",51,"013","2016",226092,110763,623300,108706,45.11,"Arlington County","Virginia","VA",3057,35680,196,4750,1133,11965,979,4056,12817,25928,44531,56176
"294",51,"043","2016",14307,6283,333000,71986,35.62,"Clarke County","Virginia","VA",1153,3945,0,135,21,137,13,31,13,129,4162,1429
"295",51,"047","2016",48952,18134,255000,66160,44.4,"Culpeper County","Virginia","VA",4695,9986,25,375,177,969,37,120,24,51,12118,4786
"296",51,"059","2016",1132887,411072,516800,114329,48.4,"Fairfax County","Virginia","VA",31132,250562,666,6080,6041,52105,2354,8586,12010,21599,265351,128007
"297",51,"061","2016",68025,26241,363800,91221,41.41,"Fauquier County","Virginia","VA",5200,16616,70,356,129,672,71,112,83,185,18660,5230
"298",51,"107","2016",362435,122490,462100,125672,59.19,"Loudoun County","Virginia","VA",44219,53293,535,1195,3962,7789,928,879,2374,1172,90656,26417
"299",51,"153","2016",443630,144314,345900,98546,54.49,"Prince William County","Virginia","VA",40093,73718,481,1867,3093,12588,1138,968,1072,1546,98292,39810
"300",51,"157","2016",7416,3950,362100,58026,29.31,"Rappahannock County","Virginia","VA",441,2730,0,19,0,16,0,0,0,0,2412,835
"301",51,"177","2016",129181,46263,252900,79742,45.46,"Spotsylvania County","Virginia","VA",11705,25741,65,288,747,858,357,269,209,669,33249,9856
"302",51,"179","2016",139548,46427,314800,97528,50.34,"Stafford County","Virginia","VA",13373,26319,57,287,628,1947,54,194,241,183,33330,10981
"303",51,"187","2016",38807,16146,223300,63734,40.49,"Warren County","Virginia","VA",2584,10089,0,559,19,598,0,9,0,65,10737,3437
"304",51,"510","2016",151473,75087,520700,89200,44.16,"Alexandria city","Virginia","VA",2137,22675,194,2750,851,14167,663,2886,4872,16819,28710,39353
"305",51,"600","2016",23620,8801,487700,104065,39.36,"Fairfax city","Virginia","VA",718,5667,25,86,45,1485,15,67,89,279,5992,2484
"306",51,"610","2016",13597,5709,724000,115244,48.93,"Falls Church city","Virginia","VA",277,2717,0,82,33,449,51,144,514,1034,3162,2139
"307",51,"630","2016",27853,11387,321500,53980,50.74,"Fredericksburg city","Virginia","VA",1612,3491,0,771,346,2585,347,495,155,469,3575,6696
"308",51,"683","2016",41149,13385,293500,74371,47.99,"Manassas city","Virginia","VA",846,7908,31,489,121,2283,123,58,108,286,7727,4703
"309",51,"685","2016",15827,4892,257800,75027,56.17,"Manassas Park city","Virginia","VA",522,3106,0,71,225,111,273,58,338,17,3112,1618
"310",54,"037","2016",55531,22573,215300,69753,42.42,"Jefferson County","West Virginia","WV",5288,12193,22,509,127,807,0,96,0,86,15324,5310
