"X" "CBSA" "year" "total_population" "less_than_18" "X18_to_29" "X30_to_44" "X45_to_59" "above_59" "white_alone" "AA_alone" "hispanic_or_latino" "household_size_1" "household_size_2" "household_size_3_to_4" "household_size_more_than_4" "household_with_kids" "family_household_without_kids" "non_family_household_without_kids" "level" "NAME" "FIPS" "county_name" "LSAD" "year_pop_rank" "pr2017" "pr2017a"
45 33100 1990 2119006 0.200712975800918 334187 486346 294360 0.273147409681709 1760554 300273 172269 254091 348304 225292 66304 219431 362486 312074 "msa_level" "Miami-Fort Lauderdale-West Palm Beach, FL" NA NA NA 10 NA 8
46 33100 2000 5007564 0.235277472239995 720105 1199427 877684 0.206124375045431 3609888 938578 1703772 512995 613359 558881 221225 585508 686936 634016 "msa_level" "Miami-Fort Lauderdale-West Palm Beach, FL" NA NA NA 6 NA 8
47 33100 2009 5484777 0.229831768912392 823387 1177056 1092721 0.206213853361768 3893050 1112763 2133615 577085 652459 597683 179696 647636 661471 697816 "msa_level" "Miami-Fort Lauderdale-West Palm Beach, FL" NA NA NA 7 NA 8
48 33100 2013 5673185 0.213579144695616 884044 1149061 1201072 0.216339498888191 4061742 1199613 2376061 580566 643413 605862 187655 638429 677739 701328 "msa_level" "Miami-Fort Lauderdale-West Palm Beach, FL" NA NA NA 8 NA 8
49 33100 2017 6019790 0.205664649431292 920635 1200308 1275381 0.230142247487039 4266292 1286415 2663235 589960 667568 630416 189764 638271 724592 714845 "msa_level" "Miami-Fort Lauderdale-West Palm Beach, FL" NA NA NA 8 8 8
57 37980 1970 5317407 0.338847111007301 923325 920379 933945 0.138783809477063 NA NA NA NA NA NA NA NA NA NA "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA 4 NA 7
58 37980 1980 5240039 0.272554459995431 1101879 977454 871437 0.164325685362265 4206752 965469 125889 410445 534265 605867 270348 672096 673891 474938 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA 4 NA 7
59 37980 1990 5435468 0.243971448272715 1030210 1300785 805301 0.179022855069701 4196135 1015406 181577 494382 597184 660252 235770 640892 762029 584667 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA 4 NA 7
60 37980 2000 5687147 0.253272334968658 867022 1359601 1043440 0.171735845758866 4128103 1120692 284118 574036 651217 674661 235504 697856 751882 685680 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA 4 NA 7
61 37980 2009 5910593 0.239926856746861 957983 1229692 1250130 0.178438610136073 4172409 1199278 393868 634271 678256 667382 206425 737405 701201 747728 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA 5 NA 7
62 37980 2013 5992766 0.229966262657344 1007797 1156013 1299129 0.192180539003192 4106566 1250223 485866 653725 694090 670082 208734 715431 735808 775392 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA 6 NA 7
63 37980 2017 6065644 0.221365942346765 1013014 1153546 1281431 0.210188069065708 4083283 1270826 546680 664647 717496 670589 200739 690746 767899 794826 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA 7 7 7
64 47900 1970 3164346 0.347710711786891 665885 601327 495855 0.0951229732778906 NA NA NA NA NA NA NA NA NA NA "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA 6 NA 6
65 47900 1980 3426648 0.272194284326841 776571 802325 523816 0.11417046629826 2470532 902034 96303 306372 354966 413811 160257 465929 390472 379005 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA 6 NA 6
66 47900 1990 4157327 0.236307367690826 880614 1148530 643064 0.120921928922118 2784833 1068100 225974 381890 473095 521579 166390 509100 534520 499334 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA 5 NA 6
67 47900 2000 4837428 0.252215846933536 782647 1288404 944054 0.124497356859885 2876292 1269754 429341 480023 556293 574422 206058 616021 592084 608691 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA 7 NA 6
68 47900 2009 5384391 0.247648434149749 888770 1256568 1139955 0.142200297118096 3091514 1396799 652373 565576 607774 612003 201721 695295 600333 691446 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA 8 NA 6
69 47900 2013 5759330 0.236617974660247 978075 1294629 1223316 0.156363500615523 3228757 1470979 812827 569887 642029 655393 223992 727470 653417 710414 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA 7 NA 6
70 47900 2017 6090196 0.231734742198773 996913 1353021 1272669 0.173439902426786 3322625 1547874 930161 585865 663466 684976 235727 744132 694695 731207 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA 6 6 6
