"area_type" "year" "total_population" "white_alone" "AA_alone" "hispanic_or_latino"
"Exurban" 1980 662569 88.2730704273819 11.3274240116878 1.22236325575148
"Exurban" 1990 934229 86.6884885825638 10.6184886146758 2.2995432597361
"Exurban" 2000 1271153 79.5215839478017 12.9766440389159 4.92348285375561
"Exurban" 2009 1618911 72.6258577525262 14.9231798412637 9.70145980847619
"Exurban" 2013 1781630 70.9244343662826 15.5395901505924 11.8567267053204
"Exurban" 2017 1909775 68.7900407116021 15.6984985142229 13.1964236624733
"Suburban" 1980 1869930 79.7941099399443 18.0545261052553 3.06936623296059
"Suburban" 1990 2334079 68.0192058623551 22.5632465739163 5.94182973241266
"Suburban" 2000 2676480 55.3927546628407 26.7249521759923 10.0050065758011
"Suburban" 2009 2828511 51.8265617492737 27.6757276178173 13.8331440111069
"Suburban" 2013 2999784 49.0653660396882 27.8131358791166 16.1929658935443
"Suburban" 2017 3123786 47.2153342130351 27.9342118826322 17.4379102793853
"Urban" 1980 894149 44.0159302308676 54.7308110840587 3.44562259757602
"Urban" 1990 889019 43.5695975001659 49.7464058698408 7.40186655178348
"Urban" 2000 889795 43.0295742277716 43.7755887592086 11.1232362510466
"Urban" 2009 936969 48.0107666315534 39.7446447000915 11.1042094242179
"Urban" 2013 977916 50.443085091153 36.7911967899083 11.8445756077209
"Urban" 2017 1056635 50.5362779010727 35.5338409195228 12.6264982704529
