"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"22401","Spotsylvania","County",51,"177",2585,7834,0.33,0.65,1685,5371,401.496,27266119.3324267,146099.480151962,0.00535827920250504,"12036"
"22405","Spotsylvania","County",51,"177",2582,7736,0.33,0.99,2549,10001,401.496,141813328.918025,14339.409577162,0.000101114681437673,"12036"
"22406","Spotsylvania","County",51,"177",4092,4220,0.97,0.92,3767,6856,401.496,191622099.574469,57998.8592545837,0.000302673122689818,"12036"
"22407","Spotsylvania","County",51,"177",5493,13854,0.4,0.87,4756,17077,401.496,150389832.620713,150263772.616118,0.999161778410164,"12036"
"22408","Spotsylvania","County",51,"177",3516,5545,0.63,0.9,3158,8578,401.496,121209002.545365,107039887.378386,0.883101792198354,"12036"
"22508","Spotsylvania","County",51,"177",2189,3001,0.73,0.99,2176,5171,401.496,146123958.439017,17863569.1039693,0.122249419566775,"12036"
"22534","Spotsylvania","County",51,"177",245,431,0.57,1,245,676,401.496,88209050.4023399,88209050.4023399,1,"642"
"22546","Spotsylvania","County",51,"177",2467,3064,0.81,1,2467,5449,401.496,425312638.994088,41026.2594354562,9.64614160832087e-05,"12036"
"22551","Spotsylvania","County",51,"177",2634,3152,0.84,0.99,2614,5707,401.496,458201896.587537,457756002.878282,0.999026861930131,"12036"
"22553","Spotsylvania","County",51,"177",1602,3070,0.52,0.83,1325,4058,401.496,118744862.570254,118654287.027756,0.999237225589915,"1942"
"22567","Spotsylvania","County",51,"177",261,564,0.46,1,261,794,401.496,122030014.426664,12657.2267848849,0.000103722242797009,"642"
"22580","Spotsylvania","County",51,"177",398,1251,0.32,1,398,1649,401.496,234739406.797604,19891893.3399084,0.0847403237968454,"642"
"22736","Spotsylvania","County",51,"177",93,161,0.58,1,93,254,401.496,75741457.6701974,28225.8563295566,0.000372660590352789,"156"
"22960","Spotsylvania","County",51,"177",850,2857,0.3,0.86,728,3148,401.496,337584081.037428,12584485.8889707,0.0372780785465278,"1942"
"23015","Spotsylvania","County",51,"177",403,1054,0.38,1,403,1457,401.496,211807289.97191,26650797.2182592,0.12582568438411,"642"
"23024","Spotsylvania","County",51,"177",1151,1886,0.61,1,1151,3037,401.496,302056560.358735,43866603.8954234,0.145226456407123,"1942"
"23093","Spotsylvania","County",51,"177",1343,3160,0.42,0.93,1248,4033,401.496,545520037.594426,67350.1741631031,0.000123460495530277,"1942"
"23117","Spotsylvania","County",51,"177",1051,1880,0.56,1,1051,2923,401.496,372318699.813686,29976051.9733729,0.0805118088035151,"1942"
