"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20130","Clarke","County",51,"043",7,115,0.06,1,7,122,176.177,21512093.4984629,15897963.6058444,0.739024475092594,"156"
"20135","Clarke","County",51,"043",177,1026,0.17,1,177,1196,176.177,117057876.965921,63317510.1761835,0.540907727163182,"642"
"20184","Clarke","County",51,"043",43,392,0.11,1,43,435,176.177,103450351.524522,144691.623356275,0.00139865762874646,"156"
"22602","Clarke","County",51,"043",3195,7017,0.46,0.92,2933,9459,176.177,286718637.129581,141390.028413021,0.000493131628374478,"12036"
"22611","Clarke","County",51,"043",687,2687,0.26,0.96,662,2921,176.177,210681929.059386,210530356.670209,0.999280562932694,"1942"
"22620","Clarke","County",51,"043",214,746,0.29,1,214,945,176.177,121212503.765698,121152820.215588,0.999507612265601,"642"
"22624","Clarke","County",51,"043",204,712,0.29,1,204,916,176.177,50060032.280033,21822.2779965512,0.000435922171893111,"642"
"22630","Clarke","County",51,"043",1946,9380,0.21,1,1939,10076,176.177,343731687.931053,496239.476668764,0.00144368265741127,"12036"
"22642","Clarke","County",51,"043",417,1224,0.34,1,417,1641,176.177,132740688.158973,27930.3130098209,0.000210412597653336,"642"
"22646","Clarke","County",51,"043",9,77,0.12,1,9,86,176.177,5076410.7740202,5076410.7740202,1,"156"
"22656","Clarke","County",51,"043",403,530,0.76,1,403,921,176.177,21890378.7758619,81041.1559622074,0.00370213584661998,"642"
"22663","Clarke","County",51,"043",65,428,0.15,1,65,430,176.177,57381348.1734747,45181066.9840196,0.787382458275966,"156"
"25414","Clarke","County",51,"043",2636,3865,0.68,0.96,2541,5674,176.177,143332021.140215,3549.15002822876,2.47617385144998e-05,"12036"
"25425","Clarke","County",51,"043",1161,3600,0.32,1,1161,4558,176.177,107294328.370403,9.73518189870473e-06,9.07334250240776e-14,"1942"
"25430","Clarke","County",51,"043",880,1832,0.48,0.91,800,2599,176.177,123989023.234305,0,0,"1942"
