"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"22041","Alexandria","city",51,"510",450,10205,0.04,0.78,350,2905,15.027,7576707.46040642,2552.15415971586,0.000336842114210249,"642"
"22202","Alexandria","city",51,"510",3149,9777,0.32,0.04,133,2181,15.027,10176992.6196391,30994.8501071702,0.00304558048390029,"12036"
"22206","Alexandria","city",51,"510",1835,8509,0.22,0.27,499,4255,15.027,5297746.31175709,248318.817610901,0.0468725384339028,"1942"
"22301","Alexandria","city",51,"510",722,4833,0.15,0.49,355,3938,15.027,3589584.67320478,3589584.67320478,1,"1942"
"22302","Alexandria","city",51,"510",937,7258,0.13,0.05,44,3513,15.027,5839226.69333923,5547182.23575081,0.949985764738068,"1942"
"22303","Alexandria","city",51,"510",1337,5488,0.24,0.28,376,2404,15.027,3849326.11799436,23144.3036207214,0.00601255983807898,"1942"
"22304","Alexandria","city",51,"510",2229,18900,0.12,0.42,935,5755,15.027,12265153.8233632,12221877.7559047,0.996471624564868,"12036"
"22305","Alexandria","city",51,"510",854,5731,0.15,0.2,175,3001,15.027,3617283.37846518,3611064.03983924,0.998280660380947,"1942"
"22307","Alexandria","city",51,"510",69,4482,0.02,0.9,62,3231,15.027,9868731.58894229,12.5467864274979,1.27136768432899e-06,"156"
"22310","Alexandria","city",51,"510",932,10386,0.09,0.76,706,8917,15.027,18630002.7871316,4174.58271391317,0.000224078480374502,"1942"
"22311","Alexandria","city",51,"510",512,7290,0.07,0.17,88,1467,15.027,4042901.72216398,3168455.2758562,0.783708210982747,"642"
"22312","Alexandria","city",51,"510",1372,9973,0.14,0.4,546,5537,15.027,13940364.732087,1175814.49771864,0.08434603543853,"1942"
"22314","Alexandria","city",51,"510",4393,12699,0.35,0.19,830,7139,15.027,10647991.7229401,10615982.5080188,0.996993873046278,"12036"
