FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Renter occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc."
ACSSF,2013e5,wv,000,0111,0000001,040,54,   ,04000US54,West Virginia,741390,544059,64438,48842,207,181,88,31,15089,146146,105089,292,203,28,162,40372,143814,121328,570,233,25,121,21537,105163,103476,417,186,95,20,969,84498,83455,737,54,19,40,193,197331,18979,5686,2642,5075,1516,787,3273,51254,13220,7367,10934,2503,3299,13931,57340,21087,9111,9465,2293,3889,11495,38138,26453,6610,3267,657,725,426,31620,21836,5737,2621,602,761,63
ACSSF,2013e5,wv,000,0111,0000002,040,54,   ,04001US54,West Virginia -- Urban,372061,246495,24527,20280,202,173,73,31,3768,47589,36845,199,176,28,162,10179,64225,58467,481,231,25,121,4900,64745,63912,301,185,83,10,254,45409,44631,605,54,19,40,60,125566,13216,3446,2138,4480,1405,718,1029,29234,5711,5804,8856,1817,2982,4064,35382,10690,7779,7910,2047,3762,3194,27590,17278,5945,2903,624,710,130,20144,11793,5023,2141,471,684,32
ACSSF,2013e5,wv,000,0111,0000003,040,54,   ,04043US54,West Virginia -- Rural,369329,297564,39911,28562,5,8,15,0,11321,98557,68244,93,27,0,0,30193,79589,62861,89,2,0,0,16637,40418,39564,116,1,12,10,715,39089,38824,132,0,0,0,133,71765,5763,2240,504,595,111,69,2244,22020,7509,1563,2078,686,317,9867,21958,10397,1332,1555,246,127,8301,10548,9175,665,364,33,15,296,11476,10043,714,480,131,77,31
ACSSF,2013e5,wv,000,0111,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,577511,417036,50489,39535,201,159,88,31,10475,107606,78674,282,190,28,162,28270,109782,94715,544,231,25,121,14146,85137,83980,301,186,95,20,555,64022,63151,637,50,12,40,132,160475,16127,4826,2321,4726,1453,730,2071,41018,10204,6368,9661,2160,2739,9886,46073,16581,7682,8019,2002,3453,8336,31993,21664,5882,2871,576,689,311,25264,16614,5138,2260,561,659,32
ACSSF,2013e5,wv,000,0111,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,455551,325512,41487,32968,201,103,80,31,8104,84741,63360,215,164,28,162,20812,87021,75702,522,215,25,113,10444,66967,66091,249,186,91,10,340,45296,44559,528,47,12,40,110,130039,13912,4208,2002,4075,1326,697,1604,32977,8183,5257,8002,1863,2418,7254,38240,13391,6700,6918,1735,2937,6559,25466,17097,4869,2346,381,512,261,19444,12583,4079,1758,494,498,32
ACSSF,2013e5,wv,000,0111,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,108697,63820,3106,2817,22,38,35,10,184,6128,5512,103,57,20,72,364,14391,13775,221,115,25,113,142,22817,22631,121,45,10,10,0,17378,16882,402,39,0,40,15,44877,3026,466,630,955,540,336,99,6935,1060,1811,2038,547,1310,169,12576,2912,3463,2687,859,2415,240,12205,7052,3105,1373,198,471,6,10135,4929,3036,1383,365,422,0
ACSSF,2013e5,wv,000,0111,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,346854,261692,38381,30151,179,65,45,21,7920,78613,57848,112,107,8,90,20448,72630,61927,301,100,0,0,10302,44150,43460,128,141,81,0,340,27918,27677,126,8,12,0,95,85162,10886,3742,1372,3120,786,361,1505,26042,7123,3446,5964,1316,1108,7085,25664,10479,3237,4231,876,522,6319,13261,10045,1764,973,183,41,255,9309,7654,1043,375,129,76,32
ACSSF,2013e5,wv,000,0111,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,121960,91524,9002,6567,0,56,8,0,2371,22865,15314,67,26,0,0,7458,22761,19013,22,16,0,8,3702,18170,17889,52,0,4,10,215,18726,18592,109,3,0,0,22,30436,2215,618,319,651,127,33,467,8041,2021,1111,1659,297,321,2632,7833,3190,982,1101,267,516,1777,6527,4567,1013,525,195,177,50,5820,4031,1059,502,67,161,0
ACSSF,2013e5,wv,000,0111,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,24850,16162,397,372,0,0,0,0,25,1240,1049,0,15,0,0,176,3003,2861,20,10,0,0,112,6049,6022,23,0,4,0,0,5473,5395,67,3,0,0,8,8688,233,85,89,40,19,0,0,939,272,292,239,14,81,41,2218,964,414,372,108,267,93,2879,1580,735,286,115,142,21,2419,1104,780,324,61,150,0
ACSSF,2013e5,wv,000,0111,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,97110,75362,8605,6195,0,56,8,0,2346,21625,14265,67,11,0,0,7282,19758,16152,2,6,0,8,3590,12121,11867,29,0,0,10,215,13253,13197,42,0,0,0,14,21748,1982,533,230,611,108,33,467,7102,1749,819,1420,283,240,2591,5615,2226,568,729,159,249,1684,3648,2987,278,239,80,35,29,3401,2927,279,178,6,11,0
