FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2013e5,wv,000,0103,0000001,040,54,   ,04000US54,West Virginia,741390,544059,197331
ACSSF,2013e5,wv,000,0103,0000002,040,54,   ,04001US54,West Virginia -- Urban,372061,246495,125566
ACSSF,2013e5,wv,000,0103,0000003,040,54,   ,04043US54,West Virginia -- Rural,369329,297564,71765
ACSSF,2013e5,wv,000,0103,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,577511,417036,160475
ACSSF,2013e5,wv,000,0103,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,455551,325512,130039
ACSSF,2013e5,wv,000,0103,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,108697,63820,44877
ACSSF,2013e5,wv,000,0103,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,346854,261692,85162
ACSSF,2013e5,wv,000,0103,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,121960,91524,30436
ACSSF,2013e5,wv,000,0103,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,24850,16162,8688
ACSSF,2013e5,wv,000,0103,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,97110,75362,21748
ACSSF,2013e5,wv,000,0103,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,163879,127023,36856
ACSSF,2013e5,wv,000,0103,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,285839,218547,67292
ACSSF,2013e5,wv,000,0103,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6099,4707,1392
ACSSF,2013e5,wv,000,0103,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",40447,30408,10039
ACSSF,2013e5,wv,000,0103,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9559,7357,2202
ACSSF,2013e5,wv,000,0103,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",5780,4446,1334
ACSSF,2013e5,wv,000,0103,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9968,7540,2428
ACSSF,2013e5,wv,000,0103,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40144,24646,15498
ACSSF,2013e5,wv,000,0103,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3141,2493,648
ACSSF,2013e5,wv,000,0103,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3435,2841,594
ACSSF,2013e5,wv,000,0103,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2778,2300,478
ACSSF,2013e5,wv,000,0103,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17250,13234,4016
ACSSF,2013e5,wv,000,0103,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2590,1996,594
ACSSF,2013e5,wv,000,0103,0000024,050,54,023,05000US54023,"Grant County, West Virginia",4449,3517,932
ACSSF,2013e5,wv,000,0103,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15409,11472,3937
ACSSF,2013e5,wv,000,0103,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",10570,5684,4886
ACSSF,2013e5,wv,000,0103,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",12890,9726,3164
ACSSF,2013e5,wv,000,0103,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",5020,3887,1133
ACSSF,2013e5,wv,000,0103,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",27599,20508,7091
ACSSF,2013e5,wv,000,0103,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11459,8904,2555
ACSSF,2013e5,wv,000,0103,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",19889,14943,4946
ACSSF,2013e5,wv,000,0103,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",82756,58777,23979
ACSSF,2013e5,wv,000,0103,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6451,4617,1834
ACSSF,2013e5,wv,000,0103,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8416,6625,1791
ACSSF,2013e5,wv,000,0103,0000035,050,54,045,05000US54045,"Logan County, West Virginia",14699,10851,3848
ACSSF,2013e5,wv,000,0103,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",8229,6367,1862
ACSSF,2013e5,wv,000,0103,0000037,050,54,049,05000US54049,"Marion County, West Virginia",22593,17191,5402
ACSSF,2013e5,wv,000,0103,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",14042,10749,3293
ACSSF,2013e5,wv,000,0103,0000039,050,54,053,05000US54053,"Mason County, West Virginia",10609,8435,2174
ACSSF,2013e5,wv,000,0103,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",25641,18503,7138
ACSSF,2013e5,wv,000,0103,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",11180,7023,4157
ACSSF,2013e5,wv,000,0103,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",10827,8411,2416
ACSSF,2013e5,wv,000,0103,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",36449,20792,15657
ACSSF,2013e5,wv,000,0103,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",5648,4657,991
ACSSF,2013e5,wv,000,0103,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",7343,4770,2573
ACSSF,2013e5,wv,000,0103,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",10657,8562,2095
ACSSF,2013e5,wv,000,0103,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",18553,13011,5542
ACSSF,2013e5,wv,000,0103,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",3274,2532,742
ACSSF,2013e5,wv,000,0103,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",2747,2300,447
ACSSF,2013e5,wv,000,0103,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",3694,3023,671
ACSSF,2013e5,wv,000,0103,0000051,050,54,077,05000US54077,"Preston County, West Virginia",12697,10172,2525
ACSSF,2013e5,wv,000,0103,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",21391,18121,3270
ACSSF,2013e5,wv,000,0103,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",31364,22939,8425
ACSSF,2013e5,wv,000,0103,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",11163,8396,2767
ACSSF,2013e5,wv,000,0103,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",4032,3184,848
ACSSF,2013e5,wv,000,0103,0000056,050,54,087,05000US54087,"Roane County, West Virginia",5975,4524,1451
ACSSF,2013e5,wv,000,0103,0000057,050,54,089,05000US54089,"Summers County, West Virginia",5350,4261,1089
ACSSF,2013e5,wv,000,0103,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",6878,5340,1538
ACSSF,2013e5,wv,000,0103,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",3050,2440,610
ACSSF,2013e5,wv,000,0103,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",3712,3000,712
ACSSF,2013e5,wv,000,0103,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",9011,6955,2056
ACSSF,2013e5,wv,000,0103,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",16555,12906,3649
ACSSF,2013e5,wv,000,0103,0000063,050,54,101,05000US54101,"Webster County, West Virginia",3928,3062,866
ACSSF,2013e5,wv,000,0103,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",6903,5473,1430
