FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Built 2010 or later,Built 2000 to 2009,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
ACSSF,2013e5,wv,000,0105,0000001,040,54,   ,04000US54,West Virginia,880951,5012,92577,117091,115414,150769,83771,98569,71382,146366
ACSSF,2013e5,wv,000,0105,0000002,040,54,   ,04001US54,West Virginia -- Urban,422723,2212,40098,42283,42676,63350,46798,61351,44633,79322
ACSSF,2013e5,wv,000,0105,0000003,040,54,   ,04043US54,West Virginia -- Rural,458228,2800,52479,74808,72738,87419,36973,37218,26749,67044
ACSSF,2013e5,wv,000,0105,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,665413,3786,71901,86559,81762,109635,66673,79136,56890,109071
ACSSF,2013e5,wv,000,0105,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,522415,3016,59570,68749,63910,86843,54254,62729,44597,78747
ACSSF,2013e5,wv,000,0105,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,125694,430,6570,6734,7802,14599,15005,22362,18396,33796
ACSSF,2013e5,wv,000,0105,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,396721,2586,53000,62015,56108,72244,39249,40367,26201,44951
ACSSF,2013e5,wv,000,0105,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,142998,770,12331,17810,17852,22792,12419,16407,12293,30324
ACSSF,2013e5,wv,000,0105,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,29150,40,676,1104,1414,3023,2941,5768,4556,9628
ACSSF,2013e5,wv,000,0105,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113848,730,11655,16706,16438,19769,9478,10639,7737,20696
ACSSF,2013e5,wv,000,0105,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,215538,1226,20676,30532,33652,41134,17098,19433,14492,37295
ACSSF,2013e5,wv,000,0105,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,358536,1996,33007,48342,51504,63926,29517,35840,26785,67619
ACSSF,2013e5,wv,000,0105,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7823,59,610,1014,910,1931,679,547,672,1401
ACSSF,2013e5,wv,000,0105,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",45065,731,13190,9044,6680,5778,2247,2143,1071,4181
ACSSF,2013e5,wv,000,0105,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11053,76,1244,2059,1973,1905,729,920,905,1242
ACSSF,2013e5,wv,000,0105,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7387,40,789,1284,1193,1330,567,409,384,1391
ACSSF,2013e5,wv,000,0105,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10919,33,442,779,729,1829,1461,1976,1159,2511
ACSSF,2013e5,wv,000,0105,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46150,201,4026,4499,4222,7102,5676,5673,5825,8926
ACSSF,2013e5,wv,000,0105,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3951,25,499,553,640,776,395,294,200,569
ACSSF,2013e5,wv,000,0105,0000020,050,54,015,05000US54015,"Clay County, West Virginia",4573,13,425,962,935,756,307,416,296,463
ACSSF,2013e5,wv,000,0105,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",3932,21,297,362,498,772,298,298,199,1187
ACSSF,2013e5,wv,000,0105,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",21544,31,1339,2104,2200,4075,1678,2809,2319,4989
