FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median value (dollars)
ACSSF,2009e5,wv,000,0100,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",128200
ACSSF,2009e5,wv,000,0100,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",87200
ACSSF,2009e5,wv,000,0100,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",90600
ACSSF,2009e5,wv,000,0100,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",75100
ACSSF,2009e5,wv,000,0100,0000056,050,54,087,05000US54087,"Roane County, West Virginia",75700
ACSSF,2009e5,wv,000,0100,0000057,050,54,089,05000US54089,"Summers County, West Virginia",71300
ACSSF,2009e5,wv,000,0100,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",74300
ACSSF,2009e5,wv,000,0100,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",84000
ACSSF,2009e5,wv,000,0100,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",80900
ACSSF,2009e5,wv,000,0100,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",97500
ACSSF,2009e5,wv,000,0100,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",83400
ACSSF,2009e5,wv,000,0100,0000063,050,54,101,05000US54101,"Webster County, West Virginia",56600
ACSSF,2009e5,wv,000,0100,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",80100
ACSSF,2009e5,wv,000,0100,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",61800
ACSSF,2009e5,wv,000,0100,0000066,050,54,107,05000US54107,"Wood County, West Virginia",99300
ACSSF,2009e5,wv,000,0100,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",58200
ACSSF,2009e5,wv,000,0100,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",82400
ACSSF,2009e5,wv,000,0100,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",72200
ACSSF,2009e5,wv,000,0100,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",73100
ACSSF,2009e5,wv,000,0100,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",159700
ACSSF,2009e5,wv,000,0100,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",256900
ACSSF,2009e5,wv,000,0100,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",204500
ACSSF,2009e5,wv,000,0100,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",190900
ACSSF,2009e5,wv,000,0100,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",174200
ACSSF,2009e5,wv,000,0100,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",177000
ACSSF,2009e5,wv,000,0100,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",68100
ACSSF,2009e5,wv,000,0100,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",76200
ACSSF,2009e5,wv,000,0100,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",80400
ACSSF,2009e5,wv,000,0100,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",103700
ACSSF,2009e5,wv,000,0100,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",69800
ACSSF,2009e5,wv,000,0100,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",68000
ACSSF,2009e5,wv,000,0100,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",70000
ACSSF,2009e5,wv,000,0100,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",82500
ACSSF,2009e5,wv,000,0100,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",86700
ACSSF,2009e5,wv,000,0100,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",83300
ACSSF,2009e5,wv,000,0100,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",90100
ACSSF,2009e5,wv,000,0100,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",91500
ACSSF,2009e5,wv,000,0100,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",73700
ACSSF,2009e5,wv,000,0100,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",107300
ACSSF,2009e5,wv,000,0100,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",100300
ACSSF,2009e5,wv,000,0100,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",68900
ACSSF,2009e5,wv,000,0100,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",68000
ACSSF,2009e5,wv,000,0100,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",63800
ACSSF,2009e5,wv,000,0100,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",86000
ACSSF,2009e5,wv,000,0100,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",60600
ACSSF,2009e5,wv,000,0100,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",62000
ACSSF,2009e5,wv,000,0100,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",65700
ACSSF,2009e5,wv,000,0100,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",78400
ACSSF,2009e5,wv,000,0100,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",92800
ACSSF,2009e5,wv,000,0100,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",61300
ACSSF,2009e5,wv,000,0100,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",78200
ACSSF,2009e5,wv,000,0100,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",63300
ACSSF,2009e5,wv,000,0100,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",71400
ACSSF,2009e5,wv,000,0100,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",74200
ACSSF,2009e5,wv,000,0100,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",56100
ACSSF,2009e5,wv,000,0100,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",48700
ACSSF,2009e5,wv,000,0100,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",62500
ACSSF,2009e5,wv,000,0100,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",82500
ACSSF,2009e5,wv,000,0100,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",86900
ACSSF,2009e5,wv,000,0100,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",117300
ACSSF,2009e5,wv,000,0100,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",94000
ACSSF,2009e5,wv,000,0100,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",87600
ACSSF,2009e5,wv,000,0100,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",138300
ACSSF,2009e5,wv,000,0100,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",83800
ACSSF,2009e5,wv,000,0100,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",67600
ACSSF,2009e5,wv,000,0100,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",164200
ACSSF,2009e5,wv,000,0100,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",144100
ACSSF,2009e5,wv,000,0100,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",124800
ACSSF,2009e5,wv,000,0100,0000120,060,54,027,06000US5402792184,"Mill Creek district, Hampshire County, West Virginia",114800
ACSSF,2009e5,wv,000,0100,0000121,060,54,027,06000US5402792676,"Romney district, Hampshire County, West Virginia",112300
ACSSF,2009e5,wv,000,0100,0000122,060,54,027,06000US5402792820,"Sherman district, Hampshire County, West Virginia",127200
ACSSF,2009e5,wv,000,0100,0000123,060,54,027,06000US5402792988,"Springfield district, Hampshire County, West Virginia",141500
ACSSF,2009e5,wv,000,0100,0000124,060,54,029,06000US5402990312,"Butler district, Hancock County, West Virginia",90200
ACSSF,2009e5,wv,000,0100,0000125,060,54,029,06000US5402990540,"Clay district, Hancock County, West Virginia",82900
ACSSF,2009e5,wv,000,0100,0000126,060,54,029,06000US5402991308,"Grant district, Hancock County, West Virginia",77300
ACSSF,2009e5,wv,000,0100,0000127,060,54,031,06000US5403190372,"Capon district, Hardy County, West Virginia",139600
ACSSF,2009e5,wv,000,0100,0000128,060,54,031,06000US5403191968,"Lost River district, Hardy County, West Virginia",127100
ACSSF,2009e5,wv,000,0100,0000129,060,54,031,06000US5403192232,"Moorefield district, Hardy County, West Virginia",91500
