FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Built 2005 or later,Built 2000 to 2004,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
ACSSF,2010e5,wv,000,0097,0000001,040,54,   ,04000US54,West Virginia,879481,21254,47497,118470,118602,152529,87005,100119,76509,157496
ACSSF,2010e5,wv,000,0097,0000002,040,54,   ,04001US54,West Virginia -- Urban,399947,8187,16536,38260,41541,60146,47925,59340,45173,82839
ACSSF,2010e5,wv,000,0097,0000003,040,54,   ,04043US54,West Virginia -- Rural,479534,13067,30961,80210,77061,92383,39080,40779,31336,74657
ACSSF,2010e5,wv,000,0097,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,645551,17448,37133,85725,80759,108193,67256,77999,58301,112737
ACSSF,2010e5,wv,000,0097,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,475299,14046,30057,64609,61704,79048,52122,57436,40902,75375
ACSSF,2010e5,wv,000,0097,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,118690,1926,3259,6464,8221,13237,14674,20760,17247,32902
ACSSF,2010e5,wv,000,0097,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,356609,12120,26798,58145,53483,65811,37448,36676,23655,42473
ACSSF,2010e5,wv,000,0097,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,170252,3402,7076,21116,19055,29145,15134,20563,17399,37362
ACSSF,2010e5,wv,000,0097,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,38165,287,818,1621,2234,4297,4294,6910,5853,11851
ACSSF,2010e5,wv,000,0097,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,132087,3115,6258,19495,16821,24848,10840,13653,11546,25511
ACSSF,2010e5,wv,000,0097,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,233930,3806,10364,32745,37843,44336,19749,22120,18208,44759
ACSSF,2010e5,wv,000,0097,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,404182,7208,17440,53861,56898,73481,34883,42683,35607,82121
ACSSF,2010e5,wv,000,0097,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7791,93,174,922,1092,1835,521,483,910,1761
ACSSF,2010e5,wv,000,0097,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",43469,3856,6881,9888,6899,5655,2656,2060,1151,4423
ACSSF,2010e5,wv,000,0097,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11227,195,531,2035,1898,2285,798,1290,997,1198
ACSSF,2010e5,wv,000,0097,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7457,116,411,1115,1376,1380,597,601,411,1450
ACSSF,2010e5,wv,000,0097,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",11012,117,254,858,817,1994,1109,2130,1103,2630
ACSSF,2010e5,wv,000,0097,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46129,883,2267,4284,4589,6916,5712,5883,6163,9432
ACSSF,2010e5,wv,000,0097,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3963,37,230,463,606,905,358,390,289,685
ACSSF,2010e5,wv,000,0097,0000020,050,54,015,05000US54015,"Clay County, West Virginia",4632,39,250,1118,879,770,258,465,336,517
ACSSF,2010e5,wv,000,0097,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",3906,75,176,510,547,746,141,194,216,1301
ACSSF,2010e5,wv,000,0097,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",21742,174,714,2126,2314,4072,1843,2792,2427,5280
ACSSF,2010e5,wv,000,0097,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",3494,87,113,439,916,442,299,220,121,857
ACSSF,2010e5,wv,000,0097,0000024,050,54,023,05000US54023,"Grant County, West Virginia",6372,99,342,1104,1232,1259,521,297,388,1130
ACSSF,2010e5,wv,000,0097,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",18835,292,860,2419,1844,3570,1691,2478,1845,3836
ACSSF,2010e5,wv,000,0097,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",13339,211,487,2359,2874,2866,1698,622,855,1367
ACSSF,2010e5,wv,000,0097,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",14599,103,496,1209,946,2523,2080,2918,1852,2472
ACSSF,2010e5,wv,000,0097,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",7981,81,396,1609,1391,1500,1124,638,254,988
ACSSF,2010e5,wv,000,0097,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",31496,742,989,3278,3236,4332,3138,4334,3399,8048
ACSSF,2010e5,wv,000,0097,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",13182,469,1139,2041,2023,2690,1566,1367,432,1455
ACSSF,2010e5,wv,000,0097,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",21608,1077,3134,3665,3916,3741,1971,949,553,2602
ACSSF,2010e5,wv,000,0097,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",93063,1762,4317,8620,9095,14849,11630,16797,12980,13013
ACSSF,2010e5,wv,000,0097,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",7985,92,258,1075,1157,1336,813,898,644,1712
