FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Built 2005 or later,Built 2000 to 2004,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
ACSSF,2009e5,wv,000,0098,0000001,040,54,   ,04000US54,West Virginia,885327,14316,44222,120649,119813,154079,87871,101866,78487,164024
ACSSF,2009e5,wv,000,0098,0000002,040,54,   ,04001US54,West Virginia; Urban,406915,5859,15736,39761,41952,61632,48468,60718,46273,86516
ACSSF,2009e5,wv,000,0098,0000003,040,54,   ,04043US54,West Virginia; Rural,478412,8457,28486,80888,77861,92447,39403,41148,32214,77508
ACSSF,2009e5,wv,000,0098,0000004,040,54,   ,040A0US54,West Virginia; In metropolitan or micropolitan statistical area,648256,12108,34545,88037,81032,109180,67649,79008,59603,117094
ACSSF,2009e5,wv,000,0098,0000005,040,54,   ,040C0US54,West Virginia; In metropolitan statistical area,475566,9660,27843,65204,62287,80011,52446,58372,41139,78604
ACSSF,2009e5,wv,000,0098,0000006,040,54,   ,040C1US54,West Virginia; In metropolitan statistical area -- in principal city,119948,1221,3035,6498,8224,14011,15116,21001,16915,33927
ACSSF,2009e5,wv,000,0098,0000007,040,54,   ,040C2US54,West Virginia; In metropolitan statistical area -- not in principal city,355618,8439,24808,58706,54063,66000,37330,37371,24224,44677
ACSSF,2009e5,wv,000,0098,0000008,040,54,   ,040E0US54,West Virginia; In micropolitan statistical area,172690,2448,6702,22833,18745,29169,15203,20636,18464,38490
ACSSF,2009e5,wv,000,0098,0000009,040,54,   ,040E1US54,West Virginia; In micropolitan statistical area -- in principal city,39081,277,679,1812,2007,4447,4467,6723,6001,12668
ACSSF,2009e5,wv,000,0098,0000010,040,54,   ,040E2US54,West Virginia; In micropolitan statistical area -- not in principal city,133609,2171,6023,21021,16738,24722,10736,13913,12463,25822
ACSSF,2009e5,wv,000,0098,0000011,040,54,   ,040G0US54,West Virginia; Not in metropolitan or micropolitan statistical area,237071,2208,9677,32612,38781,44899,20222,22858,18884,46930
ACSSF,2009e5,wv,000,0098,0000012,040,54,   ,040H0US54,West Virginia; Not in metropolitan statistical area,409761,4656,16379,55445,57526,74068,35425,43494,37348,85420
ACSSF,2009e5,wv,000,0098,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7611,43,141,907,1034,1828,560,402,789,1907
ACSSF,2009e5,wv,000,0098,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",42588,2821,6614,10307,6625,6209,2707,1890,1099,4316
ACSSF,2009e5,wv,000,0098,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11945,114,511,2068,2126,2306,878,1463,1095,1384
ACSSF,2009e5,wv,000,0098,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7684,54,285,1180,1576,1279,607,828,464,1411
ACSSF,2009e5,wv,000,0098,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",11291,74,238,997,936,1717,1163,2227,1283,2656
ACSSF,2009e5,wv,000,0098,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46435,738,2241,4568,4473,6684,5614,5783,6109,10225
ACSSF,2009e5,wv,000,0098,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",4004,17,379,375,796,808,279,393,291,666
ACSSF,2009e5,wv,000,0098,0000020,050,54,015,05000US54015,"Clay County, West Virginia",5022,16,331,1084,812,906,353,495,446,579
ACSSF,2009e5,wv,000,0098,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",3809,28,170,540,636,687,129,161,222,1236
ACSSF,2009e5,wv,000,0098,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",22412,83,707,2305,2188,4072,1862,3073,2640,5482
ACSSF,2009e5,wv,000,0098,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",3167,8,122,449,842,447,243,165,146,745
ACSSF,2009e5,wv,000,0098,0000024,050,54,023,05000US54023,"Grant County, West Virginia",6670,51,268,1185,1344,1136,641,415,511,1119
ACSSF,2009e5,wv,000,0098,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",18629,179,672,2207,2128,3868,1497,2297,1867,3914
ACSSF,2009e5,wv,000,0098,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",12473,174,461,2464,2787,2469,1320,531,786,1481
ACSSF,2009e5,wv,000,0098,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",14848,88,457,1176,1084,2391,2192,3123,1769,2568
ACSSF,2009e5,wv,000,0098,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",7952,75,367,1715,1316,1493,943,677,265,1101
ACSSF,2009e5,wv,000,0098,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",32046,550,1029,3651,3013,4392,3160,4153,3705,8393
ACSSF,2009e5,wv,000,0098,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",12725,248,1077,1829,1987,2570,1529,1368,540,1577
ACSSF,2009e5,wv,000,0098,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",21677,691,2932,3717,3849,3753,2144,1061,659,2871
ACSSF,2009e5,wv,000,0098,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",95348,1253,4099,8774,9547,15865,11990,17707,12555,13558
ACSSF,2009e5,wv,000,0098,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",8179,28,263,1153,1109,1422,882,784,585,1953
ACSSF,2009e5,wv,000,0098,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",10185,115,737,2229,1786,1994,823,847,448,1206
ACSSF,2009e5,wv,000,0098,0000035,050,54,045,05000US54045,"Logan County, West Virginia",17495,246,537,2663,2723,3217,1111,2029,1481,3488
ACSSF,2009e5,wv,000,0098,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",13732,39,274,1034,1412,1949,892,1621,1819,4692
ACSSF,2009e5,wv,000,0098,0000037,050,54,049,05000US54049,"Marion County, West Virginia",27220,290,579,2811,2478,3772,2663,3316,3297,8014
ACSSF,2009e5,wv,000,0098,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",16087,155,291,1280,1652,2938,1861,2148,1398,4364
ACSSF,2009e5,wv,000,0098,0000039,050,54,053,05000US54053,"Mason County, West Virginia",12518,239,808,1864,1615,2301,1319,1460,995,1917
ACSSF,2009e5,wv,000,0098,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",30323,512,1398,4592,3621,5240,2012,3402,3175,6371
ACSSF,2009e5,wv,000,0098,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",13043,97,292,1842,1644,2510,1423,1835,927,2473
ACSSF,2009e5,wv,000,0098,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",13465,311,858,2631,2627,2467,525,1287,1031,1728
ACSSF,2009e5,wv,000,0098,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",38270,1562,3136,4844,5074,6450,5137,4430,2627,5010
ACSSF,2009e5,wv,000,0098,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",7586,48,266,1126,1459,1261,535,439,396,2056
ACSSF,2009e5,wv,000,0098,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",9454,91,406,1532,1880,1629,1048,687,620,1561
ACSSF,2009e5,wv,000,0098,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",12984,79,669,1972,2413,2830,1211,1325,1005,1480
ACSSF,2009e5,wv,000,0098,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",22220,260,322,1173,1483,2810,2059,2818,2238,9057
ACSSF,2009e5,wv,000,0098,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",5381,0,181,607,922,1026,369,267,428,1581
ACSSF,2009e5,wv,000,0098,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",3270,13,110,519,462,605,297,367,296,601
ACSSF,2009e5,wv,000,0098,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",7921,13,78,1331,2154,1644,686,595,285,1135
ACSSF,2009e5,wv,000,0098,0000051,050,54,077,05000US54077,"Preston County, West Virginia",13934,162,527,2469,2093,2787,998,1240,700,2958
ACSSF,2009e5,wv,000,0098,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",23456,316,1273,6093,4730,4528,2198,1672,973,1673
ACSSF,2009e5,wv,000,0098,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",37048,722,1743,5963,4301,7702,3414,4510,3885,4808
ACSSF,2009e5,wv,000,0098,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",13995,108,624,1994,2153,2629,1532,1091,1169,2695
ACSSF,2009e5,wv,000,0098,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",5678,71,231,674,896,885,473,620,253,1575
