FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2011e5,wv,000,0043,0000001,040,54,   ,04000US54,West Virginia,1287738,622065,5678,3385,7302,28593,18289,23680,20371,8509,260588,32845,74741,29569,67399,24140,10837,6139,665673,4905,2006,5757,26100,18163,22784,20946,7592,267687,42139,81470,47799,72461,37113,5454,3297
ACSSF,2011e5,wv,000,0043,0000002,040,54,   ,04001US54,West Virginia -- Urban,566943,264422,2434,674,2101,7597,5416,7608,7246,3581,97616,15616,37294,13900,37605,14177,7321,4236,302521,2327,768,2197,9301,6359,8948,8875,3707,111191,20673,39707,23271,38864,20816,3457,2060
ACSSF,2011e5,wv,000,0043,0000003,040,54,   ,04043US54,West Virginia -- Rural,720795,357643,3244,2711,5201,20996,12873,16072,13125,4928,162972,17229,37447,15669,29794,9963,3516,1903,363152,2578,1238,3560,16799,11804,13836,12071,3885,156496,21466,41763,24528,33597,16297,1997,1237
ACSSF,2011e5,wv,000,0043,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,963421,463385,3992,1713,4400,17403,12080,16155,13883,6323,187448,26430,59065,23425,55965,20396,9281,5426,500036,3588,1255,3711,16617,12755,16408,15377,5644,195485,32668,64027,36484,58585,29967,4566,2899
ACSSF,2011e5,wv,000,0043,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,706039,339809,2915,1232,2867,11326,8274,11035,9781,4650,134657,19656,43223,18410,43373,16097,7669,4644,366230,2642,830,2444,11036,8584,11115,10446,4454,140837,24367,47023,27880,44685,23800,3682,2405
ACSSF,2011e5,wv,000,0043,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,158805,74709,634,234,477,1445,1323,1978,1904,908,24582,4560,10800,4246,12022,4643,3350,1603,84096,754,181,435,2229,1504,2245,2069,1055,27172,5756,12275,6688,12486,6976,1549,722
ACSSF,2011e5,wv,000,0043,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,547234,265100,2281,998,2390,9881,6951,9057,7877,3742,110075,15096,32423,14164,31351,11454,4319,3041,282134,1888,649,2009,8807,7080,8870,8377,3399,113665,18611,34748,21192,32199,16824,2133,1683
ACSSF,2011e5,wv,000,0043,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,257382,123576,1077,481,1533,6077,3806,5120,4102,1673,52791,6774,15842,5015,12592,4299,1612,782,133806,946,425,1267,5581,4171,5293,4931,1190,54648,8301,17004,8604,13900,6167,884,494
ACSSF,2011e5,wv,000,0043,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,51393,23168,202,23,133,553,465,833,517,406,8275,1441,3743,1045,3424,1352,489,267,28225,269,74,210,977,518,1174,1105,326,10319,1981,4041,1989,3201,1669,174,198
ACSSF,2011e5,wv,000,0043,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,205989,100408,875,458,1400,5524,3341,4287,3585,1267,44516,5333,12099,3970,9168,2947,1123,515,105581,677,351,1057,4604,3653,4119,3826,864,44329,6320,12963,6615,10699,4498,710,296
ACSSF,2011e5,wv,000,0043,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,324317,158680,1686,1672,2902,11190,6209,7525,6488,2186,73140,6415,15676,6144,11434,3744,1556,713,165637,1317,751,2046,9483,5408,6376,5569,1948,72202,9471,17443,11315,13876,7146,888,398
ACSSF,2011e5,wv,000,0043,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,581699,282256,2763,2153,4435,17267,10015,12645,10590,3859,125931,13189,31518,11159,24026,8043,3168,1495,299443,2263,1176,3313,15064,9579,11669,10500,3138,126850,17772,34447,19919,27776,13313,1772,892
ACSSF,2011e5,wv,000,0043,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",11272,5505,76,34,155,446,171,217,202,73,2652,185,461,196,372,164,69,32,5767,50,14,75,277,165,122,189,80,2979,310,460,249,528,211,0,58
