FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2011e5,wv,000,0100,0000001,040,54,   ,04000US54,West Virginia,880962,626745,16280,20604,24251,24844,14244,8570,12843,132279,302
ACSSF,2011e5,wv,000,0100,0000002,040,54,   ,04001US54,West Virginia -- Urban,398306,271155,10834,17267,19610,18345,12393,7118,11023,30416,145
ACSSF,2011e5,wv,000,0100,0000003,040,54,   ,04043US54,West Virginia -- Rural,482656,355590,5446,3337,4641,6499,1851,1452,1820,101863,157
ACSSF,2011e5,wv,000,0100,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,647057,458606,14444,17647,20637,20196,12756,7521,10210,84826,214
ACSSF,2011e5,wv,000,0100,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,476886,333371,12172,13846,16647,16342,10864,6163,8082,59236,163
ACSSF,2011e5,wv,000,0100,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,118751,77529,3443,7765,8490,6366,4704,3232,5849,1363,10
ACSSF,2011e5,wv,000,0100,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,358135,255842,8729,6081,8157,9976,6160,2931,2233,57873,153
ACSSF,2011e5,wv,000,0100,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,170171,125235,2272,3801,3990,3854,1892,1358,2128,25590,51
ACSSF,2011e5,wv,000,0100,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,37760,28455,678,2162,1768,1227,753,513,1292,912,0
ACSSF,2011e5,wv,000,0100,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,132411,96780,1594,1639,2222,2627,1139,845,836,24678,51
ACSSF,2011e5,wv,000,0100,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,233905,168139,1836,2957,3614,4648,1488,1049,2633,47453,88
ACSSF,2011e5,wv,000,0100,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,404076,293374,4108,6758,7604,8502,3380,2407,4761,73043,139
ACSSF,2011e5,wv,000,0100,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7829,5915,68,83,89,205,24,3,156,1286,0
ACSSF,2011e5,wv,000,0100,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",44250,30418,2887,543,865,1455,1108,287,473,6214,0
ACSSF,2011e5,wv,000,0100,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11146,6999,70,110,106,139,0,24,139,3559,0
ACSSF,2011e5,wv,000,0100,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7437,4943,52,52,120,127,60,22,8,2053,0
ACSSF,2011e5,wv,000,0100,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10984,8830,130,453,263,244,106,144,103,711,0
ACSSF,2011e5,wv,000,0100,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46139,30790,671,2078,2333,2818,2063,907,1209,3252,18
ACSSF,2011e5,wv,000,0100,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3958,2882,17,28,41,6,0,12,0,972,0
ACSSF,2011e5,wv,000,0100,0000020,050,54,015,05000US54015,"Clay County, West Virginia",4604,3173,9,6,46,8,25,49,0,1288,0
ACSSF,2011e5,wv,000,0100,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",3928,2989,26,17,13,41,24,0,0,818,0
ACSSF,2011e5,wv,000,0100,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",21678,16724,171,311,401,359,85,111,227,3289,0
ACSSF,2011e5,wv,000,0100,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",3464,2659,26,46,40,34,22,2,0,635,0
