FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2009e5,wv,000,0033,0000001,040,54,   ,04000US54,West Virginia,746419,496656,384724,111932,31124,80808,249763,213234,36529
ACSSF,2009e5,wv,000,0033,0000002,040,54,   ,04001US54,West Virginia; Urban,356216,214635,157043,57592,13825,43767,141581,120295,21286
ACSSF,2009e5,wv,000,0033,0000003,040,54,   ,04043US54,West Virginia; Rural,390203,282021,227681,54340,17299,37041,108182,92939,15243
ACSSF,2009e5,wv,000,0033,0000004,040,54,   ,040A0US54,West Virginia; In metropolitan or micropolitan statistical area,561506,369304,284391,84913,22909,62004,192202,163490,28712
ACSSF,2009e5,wv,000,0033,0000005,040,54,   ,040C0US54,West Virginia; In metropolitan statistical area,413534,270169,209505,60664,16577,44087,143365,121219,22146
ACSSF,2009e5,wv,000,0033,0000006,040,54,   ,040C1US54,West Virginia; In metropolitan statistical area -- in principal city,104223,56384,39567,16817,3911,12906,47839,39567,8272
ACSSF,2009e5,wv,000,0033,0000007,040,54,   ,040C2US54,West Virginia; In metropolitan statistical area -- not in principal city,309311,213785,169938,43847,12666,31181,95526,81652,13874
ACSSF,2009e5,wv,000,0033,0000008,040,54,   ,040E0US54,West Virginia; In micropolitan statistical area,147972,99135,74886,24249,6332,17917,48837,42271,6566
ACSSF,2009e5,wv,000,0033,0000009,040,54,   ,040E1US54,West Virginia; In micropolitan statistical area -- in principal city,33093,19125,13269,5856,1366,4490,13968,12054,1914
ACSSF,2009e5,wv,000,0033,0000010,040,54,   ,040E2US54,West Virginia; In micropolitan statistical area -- not in principal city,114879,80010,61617,18393,4966,13427,34869,30217,4652
ACSSF,2009e5,wv,000,0033,0000011,040,54,   ,040G0US54,West Virginia; Not in metropolitan or micropolitan statistical area,184913,127352,100333,27019,8215,18804,57561,49744,7817
ACSSF,2009e5,wv,000,0033,0000012,040,54,   ,040H0US54,West Virginia; Not in metropolitan statistical area,332885,226487,175219,51268,14547,36721,106398,92015,14383
ACSSF,2009e5,wv,000,0033,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6107,4271,3262,1009,329,680,1836,1646,190
ACSSF,2009e5,wv,000,0033,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",38157,25871,19791,6080,2009,4071,12286,10027,2259
ACSSF,2009e5,wv,000,0033,0000015,050,54,005,05000US54005,"Boone County, West Virginia",10565,7298,5898,1400,494,906,3267,2866,401
ACSSF,2009e5,wv,000,0033,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6138,3965,3140,825,211,614,2173,1832,341
ACSSF,2009e5,wv,000,0033,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10006,6797,5201,1596,418,1178,3209,2821,388
