FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
ACSSF,2009e5,wv,000,0012,0000001,040,54,   ,04000US54,West Virginia,1811403,1707128,59677,3008,11459,660,4112,25359,1329,24030
ACSSF,2009e5,wv,000,0012,0000002,040,54,   ,04001US54,West Virginia; Urban,828156,756632,43514,1254,8631,539,2176,15410,776,14634
ACSSF,2009e5,wv,000,0012,0000003,040,54,   ,04043US54,West Virginia; Rural,983247,950496,16163,1754,2828,121,1936,9949,553,9396
ACSSF,2009e5,wv,000,0012,0000004,040,54,   ,040A0US54,West Virginia; In metropolitan or micropolitan statistical area,1364947,1276685,50621,1896,10417,613,3442,21273,1108,20165
ACSSF,2009e5,wv,000,0012,0000005,040,54,   ,040C0US54,West Virginia; In metropolitan statistical area,1004677,939618,34850,1322,8479,596,2697,17115,810,16305
ACSSF,2009e5,wv,000,0012,0000006,040,54,   ,040C1US54,West Virginia; In metropolitan statistical area -- in principal city,236032,208537,16440,298,3868,462,727,5700,246,5454
ACSSF,2009e5,wv,000,0012,0000007,040,54,   ,040C2US54,West Virginia; In metropolitan statistical area -- not in principal city,768645,731081,18410,1024,4611,134,1970,11415,564,10851
ACSSF,2009e5,wv,000,0012,0000008,040,54,   ,040E0US54,West Virginia; In micropolitan statistical area,360270,337067,15771,574,1938,17,745,4158,298,3860
ACSSF,2009e5,wv,000,0012,0000009,040,54,   ,040E1US54,West Virginia; In micropolitan statistical area -- in principal city,74613,63379,8658,38,606,7,200,1725,76,1649
ACSSF,2009e5,wv,000,0012,0000010,040,54,   ,040E2US54,West Virginia; In micropolitan statistical area -- not in principal city,285657,273688,7113,536,1332,10,545,2433,222,2211
ACSSF,2009e5,wv,000,0012,0000011,040,54,   ,040G0US54,West Virginia; Not in metropolitan or micropolitan statistical area,446456,430443,9056,1112,1042,47,670,4086,221,3865
ACSSF,2009e5,wv,000,0012,0000012,040,54,   ,040H0US54,West Virginia; Not in metropolitan statistical area,806726,767510,24827,1686,2980,64,1415,8244,519,7725
ACSSF,2009e5,wv,000,0012,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",15522,15041,80,142,32,0,0,227,9,218
ACSSF,2009e5,wv,000,0012,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",99058,89156,5620,176,770,78,807,2451,273,2178
ACSSF,2009e5,wv,000,0012,0000015,050,54,005,05000US54005,"Boone County, West Virginia",25000,24602,314,0,0,0,0,84,13,71
ACSSF,2009e5,wv,000,0012,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",14554,14222,116,53,41,0,0,122,8,114
ACSSF,2009e5,wv,000,0012,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",23801,23059,298,43,100,0,33,268,0,268
ACSSF,2009e5,wv,000,0012,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",94552,87540,4287,132,949,0,165,1479,45,1434
ACSSF,2009e5,wv,000,0012,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",7209,6787,32,0,0,0,15,375,0,375
ACSSF,2009e5,wv,000,0012,0000020,050,54,015,05000US54015,"Clay County, West Virginia",10061,9820,49,0,0,0,0,192,0,192
ACSSF,2009e5,wv,000,0012,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",7238,7074,0,0,0,0,50,114,0,114
ACSSF,2009e5,wv,000,0012,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",46240,42926,2482,178,169,0,62,423,53,370
ACSSF,2009e5,wv,000,0012,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",6889,5557,872,53,75,0,78,254,37,217
ACSSF,2009e5,wv,000,0012,0000024,050,54,023,05000US54023,"Grant County, West Virginia",11789,11541,70,17,0,0,41,120,0,120
ACSSF,2009e5,wv,000,0012,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",34610,32751,1184,153,15,4,65,438,44,394
ACSSF,2009e5,wv,000,0012,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",22400,21658,160,37,49,0,135,361,0,361
ACSSF,2009e5,wv,000,0012,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",30215,29026,663,0,76,66,9,375,17,358
ACSSF,2009e5,wv,000,0012,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",13488,13173,257,17,3,0,11,27,0,27
ACSSF,2009e5,wv,000,0012,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",68363,65726,962,71,443,0,127,1034,44,990
ACSSF,2009e5,wv,000,0012,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",28140,27705,15,0,106,0,0,314,0,314
ACSSF,2009e5,wv,000,0012,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",50791,45371,3488,88,454,22,650,718,57,661
ACSSF,2009e5,wv,000,0012,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",191624,171074,11829,236,2327,123,190,5845,111,5734
ACSSF,2009e5,wv,000,0012,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",17215,16794,122,33,75,13,0,178,0,178
ACSSF,2009e5,wv,000,0012,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",22211,21829,39,59,31,0,0,253,36,217
ACSSF,2009e5,wv,000,0012,0000035,050,54,045,05000US54045,"Logan County, West Virginia",35553,33977,978,55,137,0,206,200,0,200
ACSSF,2009e5,wv,000,0012,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",22971,20110,2761,25,0,0,8,67,0,67
ACSSF,2009e5,wv,000,0012,0000037,050,54,049,05000US54049,"Marion County, West Virginia",56568,53527,2032,44,187,0,83,695,0,695
ACSSF,2009e5,wv,000,0012,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",33205,32567,166,3,122,24,38,285,11,274
ACSSF,2009e5,wv,000,0012,0000039,050,54,053,05000US54053,"Mason County, West Virginia",25536,24937,194,11,3,0,0,391,7,384
ACSSF,2009e5,wv,000,0012,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",61451,56647,3515,62,410,0,180,637,53,584
ACSSF,2009e5,wv,000,0012,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",26960,25801,768,18,52,0,8,313,0,313
ACSSF,2009e5,wv,000,0012,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",26562,25411,880,120,70,0,0,81,0,81
ACSSF,2009e5,wv,000,0012,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",87864,80832,3035,207,2125,28,396,1241,55,1186
ACSSF,2009e5,wv,000,0012,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",13606,13262,98,154,0,0,2,90,9,81
ACSSF,2009e5,wv,000,0012,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",16303,15959,62,39,61,0,0,182,33,149
ACSSF,2009e5,wv,000,0012,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",26084,26005,11,0,0,0,62,6,0,6
ACSSF,2009e5,wv,000,0012,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",44365,41569,1578,59,400,18,99,642,18,624
ACSSF,2009e5,wv,000,0012,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",7577,7172,253,24,53,0,26,49,0,49
ACSSF,2009e5,wv,000,0012,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",7459,7237,128,16,0,0,14,64,0,64
ACSSF,2009e5,wv,000,0012,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",8599,8453,66,0,39,0,0,41,0,41
ACSSF,2009e5,wv,000,0012,0000051,050,54,077,05000US54077,"Preston County, West Virginia",30178,28889,872,22,32,0,48,315,41,274
ACSSF,2009e5,wv,000,0012,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",54881,53521,603,21,355,5,5,371,21,350
ACSSF,2009e5,wv,000,0012,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",78686,70426,6435,182,682,17,231,713,106,607
ACSSF,2009e5,wv,000,0012,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",28377,27622,314,63,113,18,0,247,0,247
ACSSF,2009e5,wv,000,0012,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",10306,10085,3,45,28,0,16,129,2,127
ACSSF,2009e5,wv,000,0012,0000056,050,54,087,05000US54087,"Roane County, West Virginia",15123,14856,0,16,0,0,9,242,5,237
ACSSF,2009e5,wv,000,0012,0000057,050,54,089,05000US54089,"Summers County, West Virginia",13217,12460,496,0,79,0,0,182,97,85
ACSSF,2009e5,wv,000,0012,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",16188,15804,151,26,44,0,12,151,35,116
ACSSF,2009e5,wv,000,0012,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",6861,6858,3,0,0,0,0,0,0,0
ACSSF,2009e5,wv,000,0012,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",8970,8858,12,8,12,0,2,78,0,78
ACSSF,2009e5,wv,000,0012,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",23566,22954,114,44,74,0,102,278,10,268
ACSSF,2009e5,wv,000,0012,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",41496,40877,145,44,128,0,0,302,0,302
ACSSF,2009e5,wv,000,0012,0000063,050,54,101,05000US54101,"Webster County, West Virginia",9510,9414,0,26,0,0,27,43,0,43
ACSSF,2009e5,wv,000,0012,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",16507,16250,90,9,22,12,0,124,0,124
ACSSF,2009e5,wv,000,0012,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",5696,5561,0,0,0,0,11,124,0,124
ACSSF,2009e5,wv,000,0012,0000066,050,54,107,05000US54107,"Wood County, West Virginia",86557,83670,746,122,448,232,89,1250,79,1171
ACSSF,2009e5,wv,000,0012,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",23651,23125,229,55,68,0,0,174,0,174
ACSSF,2009e5,wv,000,0012,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",6248,5934,80,104,32,0,0,98,9,89
ACSSF,2009e5,wv,000,0012,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",5292,5231,0,38,0,0,0,23,0,23
ACSSF,2009e5,wv,000,0012,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",3982,3876,0,0,0,0,0,106,0,106
ACSSF,2009e5,wv,000,0012,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",14138,11820,1510,13,79,55,19,642,23,619
ACSSF,2009e5,wv,000,0012,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",9407,7847,635,0,320,0,245,360,0,360
ACSSF,2009e5,wv,000,0012,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",15481,14425,662,18,24,0,227,125,0,125
ACSSF,2009e5,wv,000,0012,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",19911,18145,1132,35,159,8,29,403,0,403
ACSSF,2009e5,wv,000,0012,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",18784,16225,1503,78,163,0,166,649,250,399
ACSSF,2009e5,wv,000,0012,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",21337,20694,178,32,25,15,121,272,0,272
ACSSF,2009e5,wv,000,0012,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",9074,8853,181,0,0,0,0,40,13,27
ACSSF,2009e5,wv,000,0012,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",7438,7304,90,0,0,0,0,44,0,44
ACSSF,2009e5,wv,000,0012,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",8488,8445,43,0,0,0,0,0,0,0
ACSSF,2009e5,wv,000,0012,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",3541,3405,86,0,34,0,0,16,8,8
ACSSF,2009e5,wv,000,0012,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",3290,3240,0,0,0,0,0,50,0,50
ACSSF,2009e5,wv,000,0012,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",4105,4016,0,49,0,0,0,40,0,40
