FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2012e5,wv,000,0043,0000001,040,54,   ,04000US54,West Virginia,1292274,625182,6069,3165,6657,27135,17284,22713,20279,8058,262104,33172,78169,30128,68380,24858,10739,6272,667092,5292,1976,5196,24570,16838,21866,20310,7178,266770,41709,85407,48811,73856,37948,5642,3723
ACSSF,2012e5,wv,000,0043,0000002,040,54,   ,04001US54,West Virginia -- Urban,613149,287595,2913,780,2138,7704,5452,7697,7738,3648,104367,16879,43007,15379,42247,15810,7572,4264,325554,2719,853,2021,9040,6426,9414,8560,3648,118198,21567,44243,25909,43715,23129,3602,2510
ACSSF,2012e5,wv,000,0043,0000003,040,54,   ,04043US54,West Virginia -- Rural,679125,337587,3156,2385,4519,19431,11832,15016,12541,4410,157737,16293,35162,14749,26133,9048,3167,2008,341538,2573,1123,3175,15530,10412,12452,11750,3530,148572,20142,41164,22902,30141,14819,2040,1213
ACSSF,2012e5,wv,000,0043,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,968151,466466,4367,1563,3939,16461,10994,15563,13712,5929,188849,26497,61954,24109,56851,21061,9175,5442,501685,3820,1165,3256,15766,11784,15731,14837,5433,194543,32005,66555,37974,60311,30674,4663,3168
ACSSF,2012e5,wv,000,0043,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,710247,342335,3129,1105,2655,10810,7267,10816,9440,4358,135715,19863,45215,18490,44225,16861,7709,4677,367912,2870,776,2155,10429,7969,10706,10242,4110,140472,23946,48346,29089,45655,24545,3832,2770
ACSSF,2012e5,wv,000,0043,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,159527,75272,588,167,462,1340,1236,1795,1760,956,24528,4616,11112,4415,12394,4903,3364,1636,84255,783,185,319,1963,1536,2286,2013,883,27394,5406,11894,6812,13165,6958,1736,922
ACSSF,2012e5,wv,000,0043,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,550720,267063,2541,938,2193,9470,6031,9021,7680,3402,111187,15247,34103,14075,31831,11958,4345,3041,283657,2087,591,1836,8466,6433,8420,8229,3227,113078,18540,36452,22277,32490,17587,2096,1848
ACSSF,2012e5,wv,000,0043,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,257904,124131,1238,458,1284,5651,3727,4747,4272,1571,53134,6634,16739,5619,12626,4200,1466,765,133773,950,389,1101,5337,3815,5025,4595,1323,54071,8059,18209,8885,14656,6129,831,398
ACSSF,2012e5,wv,000,0043,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,51715,23577,242,16,167,462,428,746,511,419,8488,1485,3867,1129,3568,1336,454,259,28138,324,94,191,976,494,1102,853,375,10198,1817,4157,2148,3420,1688,183,118
ACSSF,2012e5,wv,000,0043,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,206189,100554,996,442,1117,5189,3299,4001,3761,1152,44646,5149,12872,4490,9058,2864,1012,506,105635,626,295,910,4361,3321,3923,3742,948,43873,6242,14052,6737,11236,4441,648,280
ACSSF,2012e5,wv,000,0043,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,324123,158716,1702,1602,2718,10674,6290,7150,6567,2129,73255,6675,16215,6019,11529,3797,1564,830,165407,1472,811,1940,8804,5054,6135,5473,1745,72227,9704,18852,10837,13545,7274,979,555
ACSSF,2012e5,wv,000,0043,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,582027,282847,2940,2060,4002,16325,10017,11897,10839,3700,126389,13309,32954,11638,24155,7997,3030,1595,299180,2422,1200,3041,14141,8869,11160,10068,3068,126298,17763,37061,19722,28201,13403,1810,953
