FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2012e5,wv,000,0043,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",11290,5471,94,20,170,429,184,230,209,110,2496,194,469,243,390,123,79,31,5819,77,21,56,342,170,121,233,95,2846,366,524,268,448,186,4,62
ACSSF,2012e5,wv,000,0043,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",70130,34332,263,152,415,873,785,1190,1257,429,12984,2519,5201,1885,3946,1736,371,326,35798,272,126,147,556,761,1453,871,482,13738,2729,4853,2589,4488,2416,160,157
ACSSF,2012e5,wv,000,0043,0000015,050,54,005,05000US54005,"Boone County, West Virginia",17216,8376,102,60,183,710,392,411,288,31,4046,350,887,312,350,192,39,23,8840,50,10,172,461,449,636,425,38,3584,441,1160,548,521,321,24,0
ACSSF,2012e5,wv,000,0043,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",10394,5231,60,25,69,444,284,338,233,75,2390,200,424,342,232,61,42,12,5163,39,16,43,333,159,149,125,107,2499,199,466,284,490,212,19,23
ACSSF,2012e5,wv,000,0043,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",17217,8241,46,0,76,119,139,184,141,28,3966,572,1099,615,860,295,69,32,8976,97,8,38,308,103,252,237,83,3723,615,1011,831,1034,535,57,44
ACSSF,2012e5,wv,000,0043,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",65218,31246,222,105,201,712,575,1034,898,332,10931,1524,4455,1868,4937,1831,1109,512,33972,438,60,152,895,641,1154,850,315,11155,1887,5035,3372,4599,2647,513,259
ACSSF,2012e5,wv,000,0043,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",5478,2780,20,39,36,210,89,201,33,76,1538,94,209,52,148,35,0,0,2698,26,26,31,192,106,145,156,38,1167,109,222,193,186,94,7,0
ACSSF,2012e5,wv,000,0043,0000020,050,54,015,05000US54015,"Clay County, West Virginia",6518,3234,89,50,126,254,143,121,152,78,1406,88,302,192,134,83,16,0,3284,30,1,119,289,230,123,159,34,1373,148,325,146,115,192,0,0
ACSSF,2012e5,wv,000,0043,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",5737,2994,0,0,11,185,109,278,145,40,1438,215,351,59,118,14,9,22,2743,38,0,0,128,37,106,151,13,1208,213,276,150,372,51,0,0
ACSSF,2012e5,wv,000,0043,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",32889,16159,174,113,280,809,534,530,732,175,7411,744,2300,869,1048,330,82,28,16730,119,59,178,1078,508,733,764,142,7146,740,2344,983,1259,579,75,23
ACSSF,2012e5,wv,000,0043,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",6175,3821,40,25,69,296,116,186,145,37,1530,232,532,164,305,72,31,41,2354,6,7,9,210,28,157,37,27,721,118,387,175,314,139,3,16
ACSSF,2012e5,wv,000,0043,0000024,050,54,023,05000US54023,"Grant County, West Virginia",8557,4164,74,0,72,302,77,94,250,98,2238,129,329,110,232,102,46,11,4393,72,30,14,293,117,130,98,58,2201,267,355,215,302,222,19,0
ACSSF,2012e5,wv,000,0043,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",25770,12313,155,97,96,525,489,574,595,147,5212,536,1474,533,1244,275,273,88,13457,129,26,73,582,276,662,412,140,5407,677,1967,788,1449,790,47,32
ACSSF,2012e5,wv,000,0043,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",16832,8458,60,79,26,441,338,400,477,153,4656,411,545,225,437,158,35,17,8374,47,29,18,322,157,411,446,140,4619,330,743,435,430,238,9,0
ACSSF,2012e5,wv,000,0043,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",22532,10620,87,25,61,208,152,269,232,167,4866,823,1309,807,1150,317,147,0,11912,77,3,27,360,149,367,333,148,5021,681,1575,1068,1592,411,79,21
ACSSF,2012e5,wv,000,0043,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",9429,4776,19,42,53,271,66,350,338,81,2421,271,331,158,263,108,4,0,4653,56,4,54,246,131,143,83,48,2080,362,454,400,331,166,52,43
ACSSF,2012e5,wv,000,0043,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",48780,23157,168,21,151,614,569,554,753,374,9768,1431,3334,941,2973,963,373,170,25623,174,23,92,730,554,781,770,380,10134,1944,3841,1867,2868,1155,188,122
ACSSF,2012e5,wv,000,0043,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",20290,9744,50,22,0,461,434,331,284,102,3974,498,1596,455,1076,196,142,123,10546,93,59,23,417,191,298,342,110,4203,853,1376,823,1134,538,61,25
ACSSF,2012e5,wv,000,0043,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",35617,17413,133,75,275,625,390,639,464,109,5456,866,2238,1047,3377,1073,314,332,18204,122,32,123,339,396,451,524,206,5906,1322,2612,1357,2691,1806,208,109
ACSSF,2012e5,wv,000,0043,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",137855,64619,555,150,547,1902,1403,1646,1822,736,24068,3435,9211,2852,9621,3388,2656,627,73236,446,150,497,1720,1607,1709,1959,657,28178,4578,9102,5406,10038,5146,1337,706
ACSSF,2012e5,wv,000,0043,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",11827,5758,74,40,62,344,218,252,187,76,2756,178,519,269,486,85,161,51,6069,25,64,67,172,84,150,79,68,2992,447,490,501,557,294,71,8
ACSSF,2012e5,wv,000,0043,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",15197,7440,156,144,39,890,412,372,267,98,3221,322,763,274,306,115,61,0,7757,120,16,164,690,298,373,372,64,3236,368,978,330,386,290,69,3
ACSSF,2012e5,wv,000,0043,0000035,050,54,045,05000US54045,"Logan County, West Virginia",26314,12817,79,160,248,882,535,410,653,103,5983,602,1594,641,660,168,93,6,13497,104,142,222,835,656,394,689,79,5411,780,1581,1195,840,543,20,6
ACSSF,2012e5,wv,000,0043,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",15864,7688,97,174,435,918,494,641,533,108,2818,296,621,138,304,87,24,0,8176,71,19,359,684,572,566,302,74,3627,382,770,261,348,73,49,19
ACSSF,2012e5,wv,000,0043,0000037,050,54,049,05000US54049,"Marion County, West Virginia",39094,18678,152,30,145,587,486,712,697,136,7438,1129,2490,753,2538,968,228,189,20416,103,21,92,605,498,556,509,145,8482,1268,2818,1430,2583,1059,193,54
ACSSF,2012e5,wv,000,0043,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",23734,11386,133,0,60,278,178,200,317,177,5323,832,1419,991,927,294,105,152,12348,141,18,68,205,237,200,392,136,5786,821,1519,1091,1171,424,105,34
ACSSF,2012e5,wv,000,0043,0000039,050,54,053,05000US54053,"Mason County, West Virginia",19474,9136,113,30,77,538,164,445,242,110,4127,507,1216,559,709,172,94,33,10338,151,67,88,583,333,423,320,80,4401,599,1368,911,750,249,11,4
ACSSF,2012e5,wv,000,0043,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",43885,20430,331,110,328,1119,795,962,619,224,8083,970,3052,665,2128,549,373,122,23455,96,51,304,798,705,823,802,297,9620,1219,2845,1415,3026,1220,139,95
ACSSF,2012e5,wv,000,0043,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",19489,9347,57,12,29,350,148,233,290,123,4771,465,1008,586,700,397,75,103,10142,31,1,26,239,210,237,312,315,4527,674,1031,1163,797,537,19,23
ACSSF,2012e5,wv,000,0043,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",18722,8995,81,150,342,794,530,555,353,76,3899,383,862,374,328,205,63,0,9727,95,148,181,783,418,363,388,107,3574,582,1209,685,645,481,52,16
ACSSF,2012e5,wv,000,0043,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",55433,27973,289,83,109,405,462,533,585,446,9222,1059,3331,1067,4858,2649,1162,1713,27460,167,68,98,602,651,538,577,295,8156,1350,3035,1643,5195,3516,625,944
ACSSF,2012e5,wv,000,0043,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",9775,4777,39,59,49,261,159,163,233,64,2356,199,565,84,378,90,48,30,4998,38,42,44,239,46,162,288,34,2198,373,571,307,422,194,36,4
ACSSF,2012e5,wv,000,0043,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",12784,6253,65,9,16,285,129,336,141,101,3274,205,514,262,650,170,57,39,6531,88,13,26,316,194,300,145,68,2928,282,873,292,644,313,24,25
ACSSF,2012e5,wv,000,0043,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",18678,9016,207,55,212,451,226,228,233,121,4594,262,866,321,728,329,90,93,9662,122,37,162,440,213,312,178,153,4450,513,1100,649,705,456,73,99
ACSSF,2012e5,wv,000,0043,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",30769,14252,101,3,31,253,143,303,194,204,5097,961,2112,845,2527,936,314,228,16517,128,14,45,279,290,278,243,238,6031,1126,2405,1131,2721,1240,256,92
ACSSF,2012e5,wv,000,0043,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",5686,2833,46,26,35,278,86,86,55,12,1318,153,270,127,256,32,22,31,2853,54,21,8,129,56,136,57,10,1325,249,280,183,228,110,6,1
ACSSF,2012e5,wv,000,0043,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",5481,2915,0,2,20,108,49,77,35,50,1354,222,605,162,119,112,0,0,2566,7,0,10,60,26,86,38,33,1205,160,415,194,228,104,0,0
ACSSF,2012e5,wv,000,0043,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",6613,3375,18,22,46,204,88,150,142,58,1534,205,346,127,342,79,0,14,3238,30,5,16,124,64,100,118,32,1310,205,458,176,459,126,0,15
ACSSF,2012e5,wv,000,0043,0000051,050,54,077,05000US54077,"Preston County, West Virginia",24405,12551,165,24,94,535,359,584,341,147,6181,870,1333,572,953,291,56,46,11854,123,16,18,437,252,348,421,211,5688,789,1085,726,1203,390,66,81
ACSSF,2012e5,wv,000,0043,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",38851,18732,132,13,54,369,266,404,325,324,7064,1189,2373,1128,3272,1157,434,228,20119,108,73,130,506,162,399,533,81,7393,1606,2468,2027,2698,1717,91,127
ACSSF,2012e5,wv,000,0043,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",55881,27545,224,154,249,1430,919,1168,939,442,11838,1276,3352,1463,2531,1094,273,193,28336,224,157,313,1222,1052,1392,1073,181,10519,1635,4010,1640,3126,1526,183,83
ACSSF,2012e5,wv,000,0043,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",21096,10727,98,108,109,668,370,471,356,76,4937,427,799,489,1055,608,54,102,10369,65,31,154,350,240,302,246,93,4853,526,768,757,1132,710,42,100
ACSSF,2012e5,wv,000,0043,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",7484,3680,20,40,53,190,128,125,203,57,1647,199,381,231,312,71,21,2,3804,46,14,28,194,143,165,101,29,1375,234,653,328,258,198,36,2
ACSSF,2012e5,wv,000,0043,0000056,050,54,087,05000US54087,"Roane County, West Virginia",10654,5175,54,91,28,436,250,169,238,182,2609,210,287,119,414,62,12,14,5479,60,10,46,428,130,226,229,44,2733,282,471,318,366,112,24,0
ACSSF,2012e5,wv,000,0043,0000057,050,54,089,05000US54089,"Summers County, West Virginia",10465,4559,43,48,96,431,213,244,157,80,1804,139,578,163,345,116,62,40,5906,34,9,31,225,202,134,198,104,2545,423,859,288,521,267,47,19
ACSSF,2012e5,wv,000,0043,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",12164,6032,76,0,43,369,151,98,145,70,3031,362,644,310,581,110,34,8,6132,45,11,34,193,128,211,206,85,2561,441,707,489,672,290,42,17
ACSSF,2012e5,wv,000,0043,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",5220,2554,5,0,21,87,33,121,78,50,1314,141,277,49,210,140,28,0,2666,8,2,3,88,115,84,75,21,1200,133,261,218,248,123,75,12
ACSSF,2012e5,wv,000,0043,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",6637,3263,4,31,3,112,66,146,126,94,1641,182,400,130,221,65,16,26,3374,14,6,0,144,93,115,115,49,1649,175,499,179,219,117,0,0
ACSSF,2012e5,wv,000,0043,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",16438,8019,220,129,54,358,237,215,187,58,4103,402,622,171,772,306,119,66,8419,51,18,75,286,209,372,286,54,3951,510,834,501,684,483,64,41
ACSSF,2012e5,wv,000,0043,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",29657,14051,152,104,148,796,363,783,602,225,6181,708,1606,584,1218,372,161,48,15606,106,103,127,952,503,512,629,195,5916,1139,2170,1478,1086,654,32,4
ACSSF,2012e5,wv,000,0043,0000063,050,54,101,05000US54101,"Webster County, West Virginia",6603,3242,22,42,81,273,341,210,228,43,1392,132,230,85,110,48,5,0,3361,54,0,36,184,212,164,200,6,1471,186,405,121,145,146,31,0
ACSSF,2012e5,wv,000,0043,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",11868,5682,43,53,14,232,202,245,178,87,2816,250,651,283,400,134,58,36,6186,76,3,0,257,111,270,163,122,2713,410,751,548,472,235,55,0
ACSSF,2012e5,wv,000,0043,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",4088,2016,40,5,18,50,12,102,22,36,1066,156,191,159,93,22,44,0,2072,0,0,17,31,66,172,69,6,926,114,314,101,188,52,0,16
ACSSF,2012e5,wv,000,0043,0000066,050,54,107,05000US54107,"Wood County, West Virginia",61224,28880,282,10,127,647,429,995,590,364,10582,2286,4713,2057,3790,1273,484,251,32344,272,35,133,862,587,707,707,365,11383,2786,5637,3161,3830,1596,158,125
ACSSF,2012e5,wv,000,0043,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",16796,8256,40,104,265,817,375,415,340,58,3935,161,983,161,318,200,71,13,8540,27,51,205,627,312,315,275,43,3726,343,1141,476,642,259,86,12
ACSSF,2012e5,wv,000,0043,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",4377,2120,0,0,75,124,83,97,100,16,983,80,207,64,179,71,30,11,2257,7,17,12,75,67,51,113,30,1079,165,207,134,176,104,4,16
ACSSF,2012e5,wv,000,0043,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",4303,1993,88,10,50,147,89,106,70,54,948,46,123,152,51,19,33,7,2310,54,0,12,197,29,44,92,65,1169,126,190,97,189,26,0,20
ACSSF,2012e5,wv,000,0043,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",2610,1358,6,10,45,158,12,27,39,40,565,68,139,27,160,33,16,13,1252,16,4,32,70,74,26,28,0,598,75,127,37,83,56,0,26
ACSSF,2012e5,wv,000,0043,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",10075,4753,44,7,68,186,147,140,150,82,1870,337,659,167,546,189,47,114,5322,52,8,8,84,130,298,208,42,2238,467,555,332,525,290,13,72
ACSSF,2012e5,wv,000,0043,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",7136,3396,22,37,0,14,38,37,97,12,1090,364,489,277,548,235,68,68,3740,46,24,0,32,25,48,9,14,1072,294,741,312,705,368,33,17
ACSSF,2012e5,wv,000,0043,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",11266,5466,40,37,0,233,51,279,219,70,2035,339,835,308,663,313,19,25,5800,57,35,38,180,196,339,313,128,2021,486,568,390,634,383,32,0
ACSSF,2012e5,wv,000,0043,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",13683,6575,81,11,28,191,278,195,253,49,2602,443,837,423,764,350,56,14,7108,35,59,7,67,246,259,51,72,2985,501,1017,439,820,515,28,7
ACSSF,2012e5,wv,000,0043,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",13843,6901,41,39,170,150,140,270,361,170,2499,537,1137,263,770,233,85,36,6942,36,0,58,85,88,282,119,83,2875,504,823,513,1018,427,0,31
ACSSF,2012e5,wv,000,0043,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",14127,7241,35,21,149,99,131,269,177,46,2888,499,1244,447,655,416,96,69,6886,46,0,36,108,76,227,171,143,2547,477,1149,603,786,433,54,30
ACSSF,2012e5,wv,000,0043,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",5857,2817,29,14,85,219,135,170,121,0,1352,67,392,61,102,55,15,0,3040,3,0,39,125,205,232,232,8,1340,119,379,134,137,87,0,0
ACSSF,2012e5,wv,000,0043,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",4549,2299,48,11,48,261,121,114,101,20,1099,111,204,70,65,26,0,0,2250,17,10,35,168,75,180,104,21,964,116,281,107,123,37,12,0
ACSSF,2012e5,wv,000,0043,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",6810,3260,25,35,50,230,136,127,66,11,1595,172,291,181,183,111,24,23,3550,30,0,98,168,169,224,89,9,1280,206,500,307,261,197,12,0
ACSSF,2012e5,wv,000,0043,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",2631,1506,3,0,31,111,118,92,54,10,639,78,118,91,99,41,9,12,1125,10,0,0,45,25,49,27,1,501,57,83,105,156,54,9,3
ACSSF,2012e5,wv,000,0043,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",2602,1233,34,25,11,78,79,104,76,31,551,13,126,83,20,2,0,0,1369,29,16,30,75,67,27,45,20,622,42,128,40,167,48,0,13
ACSSF,2012e5,wv,000,0043,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",2580,1262,0,0,9,73,41,119,32,21,635,73,95,141,12,0,11,0,1318,0,0,13,94,10,47,27,74,649,38,144,99,83,40,0,0
ACSSF,2012e5,wv,000,0043,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",2581,1230,23,0,18,182,46,23,71,13,565,36,85,27,101,18,22,0,1351,0,0,0,119,57,26,26,12,727,62,111,40,84,70,10,7
ACSSF,2012e5,wv,000,0043,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",6040,2907,13,0,39,36,52,57,77,12,1392,174,330,221,351,127,26,0,3133,57,0,4,208,42,86,110,27,1355,202,227,328,320,139,0,28
ACSSF,2012e5,wv,000,0043,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",5760,2818,16,0,0,45,24,85,23,10,1441,218,377,204,299,36,29,11,2942,26,0,13,49,26,95,78,13,1235,222,370,290,296,191,38,0
ACSSF,2012e5,wv,000,0043,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",5417,2516,17,0,37,38,63,42,41,6,1133,180,392,190,210,132,14,21,2901,14,8,21,51,35,71,49,43,1133,191,414,213,418,205,19,16
ACSSF,2012e5,wv,000,0043,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",12439,5998,45,7,56,140,208,139,94,14,1926,298,740,386,1004,473,346,122,6441,45,5,19,168,135,145,192,54,1791,488,905,600,1036,551,261,46
ACSSF,2012e5,wv,000,0043,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",10353,5131,32,62,58,80,50,163,167,41,1295,290,1021,226,951,318,237,140,5222,107,22,18,190,116,122,123,59,1292,228,859,446,839,671,36,94
ACSSF,2012e5,wv,000,0043,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",11235,5169,39,0,52,109,79,295,286,101,1964,330,622,305,604,223,90,70,6066,61,8,0,180,174,257,201,65,2127,410,912,698,616,278,48,31
ACSSF,2012e5,wv,000,0043,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",16681,8148,97,36,27,129,149,175,228,93,2663,322,1129,543,1521,614,314,108,8533,188,13,19,126,62,353,165,54,2734,462,1289,855,1332,738,132,11
ACSSF,2012e5,wv,000,0043,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",14510,6800,9,0,8,254,89,262,123,83,3083,284,943,408,857,203,122,72,7710,37,12,96,231,154,277,169,83,3211,299,1070,773,776,409,36,77
ACSSF,2012e5,wv,000,0043,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",919,496,0,19,0,28,27,19,31,12,212,0,96,26,0,26,0,0,423,9,0,11,16,36,15,8,17,187,25,18,11,43,27,0,0
ACSSF,2012e5,wv,000,0043,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",1227,622,0,0,0,29,8,16,0,0,354,59,43,1,112,0,0,0,605,4,0,0,26,34,56,9,0,240,25,47,95,55,14,0,0
ACSSF,2012e5,wv,000,0043,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",855,387,4,3,8,14,36,27,1,2,196,25,33,25,4,9,0,0,468,0,11,15,20,4,31,49,13,197,20,21,10,34,43,0,0
ACSSF,2012e5,wv,000,0043,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",1342,677,10,0,11,53,18,111,0,36,401,0,6,0,31,0,0,0,665,8,0,5,60,17,43,45,0,263,11,83,69,54,0,7,0
ACSSF,2012e5,wv,000,0043,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",1135,598,6,17,17,86,0,28,1,26,375,10,31,0,1,0,0,0,537,5,15,0,70,15,0,45,8,280,28,53,8,0,10,0,0
ACSSF,2012e5,wv,000,0043,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",2617,1244,85,39,54,117,85,37,47,16,441,7,161,60,65,14,16,0,1373,23,1,11,207,123,20,73,10,604,18,103,51,53,76,0,0
ACSSF,2012e5,wv,000,0043,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",1931,1018,0,0,36,68,16,28,73,27,505,9,103,78,42,33,0,0,913,0,0,32,16,41,13,7,0,522,54,141,38,27,22,0,0
ACSSF,2012e5,wv,000,0043,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",1970,972,4,11,36,69,42,56,32,35,460,72,38,54,27,36,0,0,998,7,0,76,66,66,90,79,24,247,76,81,57,35,94,0,0
ACSSF,2012e5,wv,000,0043,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",1490,783,0,0,0,29,12,93,14,28,398,71,89,13,36,0,0,0,707,0,0,0,33,0,63,28,0,268,25,34,89,154,13,0,0
ACSSF,2012e5,wv,000,0043,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",1147,570,0,0,0,23,33,83,58,3,246,48,34,0,20,2,9,11,577,14,0,0,9,5,7,40,6,295,24,85,12,72,8,0,0
