FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2009e5,wv,000,0096,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",19797,13839,5958
ACSSF,2009e5,wv,000,0096,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",3717,2827,890
ACSSF,2009e5,wv,000,0096,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",2597,2060,537
ACSSF,2009e5,wv,000,0096,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",3600,2830,770
ACSSF,2009e5,wv,000,0096,0000051,050,54,077,05000US54077,"Preston County, West Virginia",11946,9815,2131
ACSSF,2009e5,wv,000,0096,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",21282,18253,3029
ACSSF,2009e5,wv,000,0096,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",32221,24256,7965
ACSSF,2009e5,wv,000,0096,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",11261,8539,2722
ACSSF,2009e5,wv,000,0096,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",4092,3207,885
ACSSF,2009e5,wv,000,0096,0000056,050,54,087,05000US54087,"Roane County, West Virginia",6149,4672,1477
ACSSF,2009e5,wv,000,0096,0000057,050,54,089,05000US54089,"Summers County, West Virginia",5201,4197,1004
ACSSF,2009e5,wv,000,0096,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",6302,4959,1343
ACSSF,2009e5,wv,000,0096,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",3001,2350,651
ACSSF,2009e5,wv,000,0096,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",3789,3027,762
ACSSF,2009e5,wv,000,0096,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",9644,7465,2179
ACSSF,2009e5,wv,000,0096,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",16966,13101,3865
ACSSF,2009e5,wv,000,0096,0000063,050,54,101,05000US54101,"Webster County, West Virginia",4216,3344,872
ACSSF,2009e5,wv,000,0096,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",7071,5607,1464
ACSSF,2009e5,wv,000,0096,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",2532,2019,513
ACSSF,2009e5,wv,000,0096,0000066,050,54,107,05000US54107,"Wood County, West Virginia",37034,26857,10177
ACSSF,2009e5,wv,000,0096,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",9882,8161,1721
ACSSF,2009e5,wv,000,0096,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",2550,1787,763
ACSSF,2009e5,wv,000,0096,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",2014,1583,431
ACSSF,2009e5,wv,000,0096,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",1543,1100,443
ACSSF,2009e5,wv,000,0096,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",6278,3249,3029
ACSSF,2009e5,wv,000,0096,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",3290,2695,595
ACSSF,2009e5,wv,000,0096,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",5947,4311,1636
ACSSF,2009e5,wv,000,0096,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",7398,6045,1353
ACSSF,2009e5,wv,000,0096,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",6794,5393,1401
ACSSF,2009e5,wv,000,0096,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",8450,7157,1293
ACSSF,2009e5,wv,000,0096,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",3772,3174,598
ACSSF,2009e5,wv,000,0096,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",3012,2273,739
ACSSF,2009e5,wv,000,0096,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",3781,2735,1046
ACSSF,2009e5,wv,000,0096,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",1351,1030,321
ACSSF,2009e5,wv,000,0096,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",1392,1111,281
ACSSF,2009e5,wv,000,0096,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",1799,1494,305
ACSSF,2009e5,wv,000,0096,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",1596,1226,370
ACSSF,2009e5,wv,000,0096,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",3773,3062,711
ACSSF,2009e5,wv,000,0096,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",3182,2180,1002
ACSSF,2009e5,wv,000,0096,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",3051,2366,685
ACSSF,2009e5,wv,000,0096,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",8050,5516,2534
ACSSF,2009e5,wv,000,0096,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",7485,2664,4821
ACSSF,2009e5,wv,000,0096,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",7391,4239,3152
ACSSF,2009e5,wv,000,0096,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",9920,7133,2787
ACSSF,2009e5,wv,000,0096,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",7825,6442,1383
ACSSF,2009e5,wv,000,0096,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",576,549,27
