FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
ACSSF,2013e5,wv,000,0059,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",5780,694,578,544,566,321,290,322,384,178,382,571,412,293,81,90,74
ACSSF,2013e5,wv,000,0059,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9968,653,552,915,561,834,615,494,526,446,1080,925,1197,473,399,158,140
ACSSF,2013e5,wv,000,0059,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40144,5268,3627,2931,2484,2124,2398,1847,2077,1650,2889,3454,4399,1856,1019,1078,1043
ACSSF,2013e5,wv,000,0059,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3141,416,310,298,298,180,182,134,245,93,262,242,280,91,66,36,8
ACSSF,2013e5,wv,000,0059,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3435,441,390,237,283,302,183,216,101,147,295,238,394,123,58,17,10
ACSSF,2013e5,wv,000,0059,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2778,204,203,345,175,234,237,162,136,145,352,276,110,134,35,0,30
ACSSF,2013e5,wv,000,0059,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17250,1602,1790,1509,1449,1310,1197,991,837,652,1364,1459,1558,731,415,250,136
ACSSF,2013e5,wv,000,0059,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2590,333,166,250,172,131,154,137,142,102,247,233,254,92,95,51,31
ACSSF,2013e5,wv,000,0059,0000024,050,54,023,05000US54023,"Grant County, West Virginia",4449,294,313,310,277,329,345,281,272,235,416,537,501,157,126,31,25
ACSSF,2013e5,wv,000,0059,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15409,1853,1165,1158,1073,1016,903,870,778,801,1452,1460,1535,472,319,235,319
ACSSF,2013e5,wv,000,0059,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",10570,1567,1198,1047,990,743,854,610,456,512,571,696,748,259,182,112,25
ACSSF,2013e5,wv,000,0059,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",12890,986,952,1041,914,944,1034,778,735,531,998,1208,1356,659,260,243,251
ACSSF,2013e5,wv,000,0059,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",5020,449,328,657,493,342,394,220,387,228,443,316,399,109,133,83,39
ACSSF,2013e5,wv,000,0059,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",27599,2754,1894,1777,1840,1806,1696,1143,1452,1131,2221,2613,3137,1889,1230,547,469
ACSSF,2013e5,wv,000,0059,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11459,990,747,780,818,841,858,641,548,530,1010,892,1230,806,286,283,199
ACSSF,2013e5,wv,000,0059,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",19889,994,722,709,1059,645,1068,837,836,697,1720,2022,2926,2169,1261,1327,897
ACSSF,2013e5,wv,000,0059,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",82756,5970,5560,5507,5556,4481,4003,4822,4453,4297,7046,8367,9532,5132,2796,2224,3010
ACSSF,2013e5,wv,000,0059,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6451,744,396,519,542,524,383,436,357,318,346,436,702,331,189,89,139
ACSSF,2013e5,wv,000,0059,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8416,1021,695,855,535,580,461,429,392,363,738,874,833,313,220,69,38
ACSSF,2013e5,wv,000,0059,0000035,050,54,045,05000US54045,"Logan County, West Virginia",14699,1775,877,1387,1165,948,860,841,532,541,1156,1317,1643,914,357,269,117
ACSSF,2013e5,wv,000,0059,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",8229,1720,953,1010,819,472,408,401,381,268,428,566,364,274,57,55,53
ACSSF,2013e5,wv,000,0059,0000037,050,54,049,05000US54049,"Marion County, West Virginia",22593,1839,1643,1876,1605,1401,1367,1068,1171,957,1805,2083,2844,1374,675,585,300
ACSSF,2013e5,wv,000,0059,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",14042,1170,963,940,1175,984,900,771,818,624,987,1633,1556,734,381,193,213
ACSSF,2013e5,wv,000,0059,0000039,050,54,053,05000US54053,"Mason County, West Virginia",10609,972,760,835,859,801,688,624,567,588,880,868,1118,438,296,194,121
ACSSF,2013e5,wv,000,0059,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",25641,3062,2098,2160,2175,1720,1656,1396,1298,1180,2077,2132,2239,1147,440,550,311
ACSSF,2013e5,wv,000,0059,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",11180,1521,913,1185,1069,667,815,518,406,416,776,781,995,653,233,126,106
ACSSF,2013e5,wv,000,0059,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",10827,1552,811,892,750,702,637,372,447,550,699,875,1261,677,254,248,100
ACSSF,2013e5,wv,000,0059,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",36449,5949,2176,2167,2042,1738,1556,1534,1227,1327,2630,3225,3788,2700,1467,1382,1541
ACSSF,2013e5,wv,000,0059,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",5648,346,330,353,553,395,490,244,373,318,528,740,500,299,62,101,16
ACSSF,2013e5,wv,000,0059,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",7343,820,753,526,537,451,482,459,517,227,479,561,690,419,161,170,91
ACSSF,2013e5,wv,000,0059,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",10657,1096,793,617,922,841,527,526,640,565,908,906,936,601,265,175,339
ACSSF,2013e5,wv,000,0059,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",18553,1903,1320,1335,1099,1466,1007,937,923,685,1644,1724,1756,1025,629,584,516
ACSSF,2013e5,wv,000,0059,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",3274,427,268,336,195,246,198,119,212,113,235,208,401,216,31,34,35
ACSSF,2013e5,wv,000,0059,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",2747,247,154,167,212,196,243,98,141,103,194,267,305,217,112,76,15
ACSSF,2013e5,wv,000,0059,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",3694,247,267,516,324,308,249,192,213,217,361,322,192,122,70,53,41
ACSSF,2013e5,wv,000,0059,0000051,050,54,077,05000US54077,"Preston County, West Virginia",12697,878,778,946,846,606,789,714,718,669,1452,1489,1432,618,325,255,182
ACSSF,2013e5,wv,000,0059,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",21391,1379,855,752,1376,984,1415,778,1321,860,2002,1937,3044,1874,1009,1053,752
ACSSF,2013e5,wv,000,0059,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",31364,2957,2562,2342,2231,1956,2007,1320,1816,1470,2327,2927,3345,1919,1124,639,422
ACSSF,2013e5,wv,000,0059,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",11163,1264,761,953,823,772,739,600,552,479,1075,1163,883,586,187,245,81
ACSSF,2013e5,wv,000,0059,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",4032,384,486,272,355,237,234,250,293,261,292,404,308,170,52,28,6
ACSSF,2013e5,wv,000,0059,0000056,050,54,087,05000US54087,"Roane County, West Virginia",5975,755,653,663,469,661,305,161,292,219,469,478,428,134,146,88,54
ACSSF,2013e5,wv,000,0059,0000057,050,54,089,05000US54089,"Summers County, West Virginia",5350,683,501,497,304,359,420,316,296,241,427,430,502,209,67,83,15
ACSSF,2013e5,wv,000,0059,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",6878,694,563,531,561,255,423,448,305,277,462,723,843,391,232,61,109
ACSSF,2013e5,wv,000,0059,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",3050,386,307,187,173,182,212,148,177,136,309,179,391,161,36,45,21
ACSSF,2013e5,wv,000,0059,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",3712,454,240,249,239,242,235,237,224,210,337,352,403,187,27,28,48
ACSSF,2013e5,wv,000,0059,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",9011,641,799,815,716,602,518,467,422,547,921,745,903,500,212,122,81
ACSSF,2013e5,wv,000,0059,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",16555,2171,1534,1376,1097,1074,610,1013,904,691,1522,1407,1537,871,430,136,182
ACSSF,2013e5,wv,000,0059,0000063,050,54,101,05000US54101,"Webster County, West Virginia",3928,664,303,446,411,254,187,212,198,145,302,217,331,86,106,28,38
ACSSF,2013e5,wv,000,0059,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",6903,875,437,535,584,403,359,451,463,220,644,551,735,356,145,69,76
ACSSF,2013e5,wv,000,0059,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",2427,168,229,137,192,129,382,61,131,72,229,295,245,35,62,14,46
ACSSF,2013e5,wv,000,0059,0000066,050,54,107,05000US54107,"Wood County, West Virginia",35569,3056,2556,2511,2519,2309,1801,1964,1998,1714,2765,3705,3404,2598,1047,946,676
ACSSF,2013e5,wv,000,0059,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",9101,1115,894,825,752,486,544,399,496,305,778,677,934,530,188,146,32
ACSSF,2013e5,wv,000,0059,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",2485,339,259,108,241,139,125,227,158,56,230,194,210,101,30,44,24
ACSSF,2013e5,wv,000,0059,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",2161,180,159,204,156,171,92,164,172,144,266,163,142,114,18,16,0
ACSSF,2013e5,wv,000,0059,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",1453,102,99,121,118,68,92,78,76,135,93,197,85,89,45,35,20
ACSSF,2013e5,wv,000,0059,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",6017,825,627,397,553,410,290,231,277,236,425,636,664,224,70,85,67
ACSSF,2013e5,wv,000,0059,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",4119,156,72,152,129,77,107,99,144,193,410,378,782,557,367,258,238
ACSSF,2013e5,wv,000,0059,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",6618,539,212,504,358,139,369,325,353,256,462,611,1064,678,300,299,149
ACSSF,2013e5,wv,000,0059,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",7731,286,390,403,287,263,192,379,436,418,747,1216,1220,656,375,316,147
ACSSF,2013e5,wv,000,0059,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",7973,390,272,411,619,372,430,379,545,524,1026,606,889,777,264,351,118
ACSSF,2013e5,wv,000,0059,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",7989,383,232,332,342,356,429,464,564,528,688,988,1344,623,276,264,176
ACSSF,2013e5,wv,000,0059,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",3318,338,255,280,155,281,106,135,128,75,307,440,407,273,121,0,17
ACSSF,2013e5,wv,000,0059,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",2643,320,120,281,132,67,258,116,243,89,204,301,220,177,79,36,0
ACSSF,2013e5,wv,000,0059,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",3598,448,262,210,150,209,240,156,150,111,315,374,314,304,163,110,82
ACSSF,2013e5,wv,000,0059,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",1172,109,157,85,70,40,45,45,97,72,51,151,107,91,17,31,4
ACSSF,2013e5,wv,000,0059,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",1470,143,187,165,131,110,91,112,109,51,63,106,92,91,17,0,2
ACSSF,2013e5,wv,000,0059,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",1541,240,82,197,218,33,80,114,89,16,93,159,114,53,44,0,9
ACSSF,2013e5,wv,000,0059,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",1597,202,152,97,147,138,74,51,89,39,175,155,99,58,3,59,59
ACSSF,2013e5,wv,000,0059,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",3343,274,216,286,152,233,212,136,252,115,358,373,359,217,87,50,23
ACSSF,2013e5,wv,000,0059,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",3382,98,172,321,217,320,209,225,130,210,357,338,394,109,197,42,43
ACSSF,2013e5,wv,000,0059,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",3243,281,164,308,192,281,194,133,144,121,365,214,444,147,115,66,74
ACSSF,2013e5,wv,000,0059,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",7549,745,657,648,501,471,361,318,361,390,407,820,753,410,191,238,278
ACSSF,2013e5,wv,000,0059,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",7400,1776,1095,629,529,337,381,305,332,149,400,341,512,203,113,105,193
ACSSF,2013e5,wv,000,0059,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",7367,1435,702,718,511,338,486,450,359,229,552,511,532,219,75,111,139
ACSSF,2013e5,wv,000,0059,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",9413,762,559,518,484,355,598,461,503,559,902,812,1377,632,480,183,228
ACSSF,2013e5,wv,000,0059,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",8415,550,614,418,459,623,572,313,522,323,628,970,1225,392,160,441,205
ACSSF,2013e5,wv,000,0059,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",506,82,56,37,93,7,31,10,75,13,43,49,10,0,0,0,0
ACSSF,2013e5,wv,000,0059,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",711,72,61,77,64,55,43,60,56,31,28,51,74,8,0,23,8
ACSSF,2013e5,wv,000,0059,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",556,91,52,34,31,42,40,19,33,11,33,55,74,41,0,0,0
ACSSF,2013e5,wv,000,0059,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",749,122,63,106,28,48,0,22,25,38,66,59,86,33,40,13,0
ACSSF,2013e5,wv,000,0059,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",619,49,78,44,82,28,68,23,56,0,92,28,36,9,26,0,0
ACSSF,2013e5,wv,000,0059,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",1286,141,131,133,123,82,85,68,36,85,59,78,198,24,17,16,10
ACSSF,2013e5,wv,000,0059,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",1116,223,113,67,87,87,53,57,33,33,138,67,127,30,0,1,0
ACSSF,2013e5,wv,000,0059,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",1033,77,146,37,73,133,45,91,32,29,98,93,69,69,41,0,0
ACSSF,2013e5,wv,000,0059,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",693,30,64,105,26,58,42,22,72,14,113,70,25,41,11,0,0
ACSSF,2013e5,wv,000,0059,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",596,38,28,148,30,41,13,22,7,14,109,75,3,24,14,0,30
ACSSF,2013e5,wv,000,0059,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",666,58,33,37,65,34,78,76,39,16,91,65,41,30,3,0,0
ACSSF,2013e5,wv,000,0059,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",823,78,78,55,54,101,104,42,18,101,39,66,41,39,7,0,0
ACSSF,2013e5,wv,000,0059,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",6015,387,674,409,536,523,374,447,364,234,608,456,464,269,137,72,61
ACSSF,2013e5,wv,000,0059,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",6324,639,671,643,585,348,451,285,217,197,513,549,632,282,173,86,53
ACSSF,2013e5,wv,000,0059,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",4911,576,445,457,328,439,372,259,256,221,243,454,462,180,105,92,22
ACSSF,2013e5,wv,000,0059,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",571,66,38,68,29,24,24,12,20,47,51,63,101,7,14,7,0
ACSSF,2013e5,wv,000,0059,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",661,82,37,82,53,44,62,27,35,7,83,59,31,21,17,14,7
ACSSF,2013e5,wv,000,0059,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",752,126,51,41,29,39,40,73,74,21,90,77,35,6,33,0,17
ACSSF,2013e5,wv,000,0059,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",606,59,40,59,61,24,28,25,13,27,23,34,87,58,31,30,7
ACSSF,2013e5,wv,000,0059,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",1586,133,79,131,79,80,147,73,148,46,201,108,241,47,53,7,13
ACSSF,2013e5,wv,000,0059,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",1680,84,131,120,121,166,129,132,98,105,149,180,137,41,60,15,12
ACSSF,2013e5,wv,000,0059,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",1183,77,103,59,77,83,69,76,26,84,66,249,123,69,13,9,0
ACSSF,2013e5,wv,000,0059,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",5703,646,376,365,345,249,363,352,211,284,563,632,728,157,144,130,158
ACSSF,2013e5,wv,000,0059,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",5138,707,364,447,485,353,302,260,301,224,481,473,338,147,94,77,85
ACSSF,2013e5,wv,000,0059,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",4568,500,425,346,243,414,238,258,266,293,408,355,469,168,81,28,76
ACSSF,2013e5,wv,000,0059,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",1456,155,163,138,89,171,64,131,23,51,85,191,118,61,7,9,0
ACSSF,2013e5,wv,000,0059,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",1388,228,218,181,160,115,19,40,52,114,78,88,53,4,14,22,2
ACSSF,2013e5,wv,000,0059,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",2047,196,275,201,198,100,258,64,114,87,119,146,173,76,18,22,0
ACSSF,2013e5,wv,000,0059,0000120,060,54,027,06000US5402792184,"Mill Creek district, Hampshire County, West Virginia",503,88,32,75,10,19,28,44,5,24,43,45,82,8,0,0,0
ACSSF,2013e5,wv,000,0059,0000121,060,54,027,06000US5402792676,"Romney district, Hampshire County, West Virginia",1642,233,213,144,157,67,119,131,75,116,71,61,166,41,25,17,6
ACSSF,2013e5,wv,000,0059,0000122,060,54,027,06000US5402792820,"Sherman district, Hampshire County, West Virginia",2149,441,208,160,219,218,217,101,132,67,59,64,104,62,55,42,0
ACSSF,2013e5,wv,000,0059,0000123,060,54,027,06000US5402792988,"Springfield district, Hampshire County, West Virginia",1385,226,89,148,157,53,149,99,55,53,116,101,52,7,63,0,17
ACSSF,2013e5,wv,000,0059,0000124,060,54,029,06000US5402990312,"Butler district, Hancock County, West Virginia",4332,225,256,368,322,272,415,267,194,127,398,501,411,268,90,91,127
ACSSF,2013e5,wv,000,0059,0000125,060,54,029,06000US5402990540,"Clay district, Hancock County, West Virginia",4251,393,404,363,323,397,286,161,265,154,329,293,445,149,80,103,106
ACSSF,2013e5,wv,000,0059,0000126,060,54,029,06000US5402991308,"Grant district, Hancock County, West Virginia",4307,368,292,310,269,275,333,350,276,250,271,414,500,242,90,49,18
ACSSF,2013e5,wv,000,0059,0000127,060,54,031,06000US5403190372,"Capon district, Hardy County, West Virginia",1213,91,35,154,131,111,163,56,56,51,102,29,113,65,29,16,11
ACSSF,2013e5,wv,000,0059,0000128,060,54,031,06000US5403191968,"Lost River district, Hardy County, West Virginia",903,33,43,182,85,22,69,17,38,40,132,50,98,18,30,39,7
ACSSF,2013e5,wv,000,0059,0000129,060,54,031,06000US5403192232,"Moorefield district, Hardy County, West Virginia",798,103,65,72,91,103,88,19,86,16,66,49,32,8,0,0,0
ACSSF,2013e5,wv,000,0059,0000130,060,54,031,06000US5403192382,"Old Fields district, Hardy County, West Virginia",1126,140,138,132,131,61,18,56,106,42,76,106,89,0,16,11,4
ACSSF,2013e5,wv,000,0059,0000131,060,54,031,06000US5403192928,"South Fork district, Hardy County, West Virginia",980,82,47,117,55,45,56,72,101,79,67,82,67,18,58,17,17
ACSSF,2013e5,wv,000,0059,0000132,060,54,033,06000US5403390975,"Eastern district, Harrison County, West Virginia",5083,202,221,224,245,385,274,145,257,221,352,569,691,470,484,144,199
ACSSF,2013e5,wv,000,0059,0000133,060,54,033,06000US5403392352,"Northern district, Harrison County, West Virginia",4417,643,261,304,291,181,284,240,176,192,464,422,408,256,184,86,25
ACSSF,2013e5,wv,000,0059,0000134,060,54,033,06000US5403392368,"North Urban district, Harrison County, West Virginia",4414,586,402,307,448,452,263,167,249,162,261,338,426,172,54,127,0
ACSSF,2013e5,wv,000,0059,0000135,060,54,033,06000US5403392923,"Southern district, Harrison County, West Virginia",5045,387,396,376,296,256,309,196,244,234,411,524,543,353,226,117,177
ACSSF,2013e5,wv,000,0059,0000136,060,54,033,06000US5403392932,"South Urban district, Harrison County, West Virginia",4507,526,298,280,342,253,274,222,182,234,459,343,512,374,155,35,18
ACSSF,2013e5,wv,000,0059,0000137,060,54,033,06000US5403392952,"Southwest district, Harrison County, West Virginia",4133,410,316,286,218,279,292,173,344,88,274,417,557,264,127,38,50
ACSSF,2013e5,wv,000,0059,0000138,060,54,035,06000US5403590976,"Eastern district, Jackson County, West Virginia",4004,430,195,252,322,300,357,229,284,75,384,273,423,233,66,87,94
ACSSF,2013e5,wv,000,0059,0000139,060,54,035,06000US5403592353,"Northern district, Jackson County, West Virginia",3449,314,284,262,238,282,235,221,111,279,268,247,334,216,62,60,36
ACSSF,2013e5,wv,000,0059,0000140,060,54,035,06000US5403593605,"Western district, Jackson County, West Virginia",4006,246,268,266,258,259,266,191,153,176,358,372,473,357,158,136,69
ACSSF,2013e5,wv,000,0059,0000141,060,54,037,06000US5403790504,"Charles Town district, Jefferson County, West Virginia",4281,281,256,195,241,265,195,261,119,149,386,358,571,424,239,173,168
ACSSF,2013e5,wv,000,0059,0000142,060,54,037,06000US5403791548,"Harpers Ferry district, Jefferson County, West Virginia",4299,166,156,170,205,138,223,118,216,174,442,487,694,403,344,217,146
ACSSF,2013e5,wv,000,0059,0000143,060,54,037,06000US5403791740,"Kabletown district, Jefferson County, West Virginia",3810,231,86,54,84,36,135,125,71,90,345,390,802,453,175,499,234
ACSSF,2013e5,wv,000,0059,0000144,060,54,037,06000US5403792160,"Middleway district, Jefferson County, West Virginia",4116,199,166,203,314,112,292,224,252,176,292,497,356,468,324,144,97
ACSSF,2013e5,wv,000,0059,0000145,060,54,037,06000US5403792760,"Shepherdstown district, Jefferson County, West Virginia",3383,117,58,87,215,94,223,109,178,108,255,290,503,421,179,294,252
ACSSF,2013e5,wv,000,0059,0000146,060,54,039,06000US5403990768,"District 1, Kanawha County, West Virginia",18646,1749,1554,1438,1339,1230,1181,1130,749,952,1335,1908,1775,962,453,383,508
ACSSF,2013e5,wv,000,0059,0000147,060,54,039,06000US5403990804,"District 2, Kanawha County, West Virginia",22741,1597,1076,1194,1380,1128,1099,1124,1511,1120,1754,2045,2665,1618,956,891,1583
ACSSF,2013e5,wv,000,0059,0000148,060,54,039,06000US5403990840,"District 3, Kanawha County, West Virginia",20708,1077,1438,1391,1221,1045,799,1307,1075,983,1995,2506,2658,1470,745,483,515
