FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
ACSSF,2013e5,wv,000,0059,0000001,040,54,   ,04000US54,West Virginia,741390,74709,54082,55131,52474,45086,43248,37762,38832,33016,61105,68810,79100,43697,22163,17518,14657
ACSSF,2013e5,wv,000,0059,0000002,040,54,   ,04001US54,West Virginia -- Urban,372061,40257,27310,27194,26297,21484,20633,18311,18461,16230,29650,33774,39328,22827,11866,9542,8897
ACSSF,2013e5,wv,000,0059,0000003,040,54,   ,04043US54,West Virginia -- Rural,369329,34452,26772,27937,26177,23602,22615,19451,20371,16786,31455,35036,39772,20870,10297,7976,5760
ACSSF,2013e5,wv,000,0059,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,577511,55903,40613,41276,39405,33987,33182,29200,29528,25551,47647,55091,63766,35884,18784,14976,12718
ACSSF,2013e5,wv,000,0059,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,455551,43339,31814,31412,30202,26050,25516,22918,23515,20253,37619,43916,50949,29011,15332,12525,11180
ACSSF,2013e5,wv,000,0059,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,108697,14868,9420,8491,7704,6206,5695,5158,5067,4382,7729,9335,9592,5689,3023,2665,3673
ACSSF,2013e5,wv,000,0059,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,346854,28471,22394,22921,22498,19844,19821,17760,18448,15871,29890,34581,41357,23322,12309,9860,7507
ACSSF,2013e5,wv,000,0059,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,121960,12564,8799,9864,9203,7937,7666,6282,6013,5298,10028,11175,12817,6873,3452,2451,1538
ACSSF,2013e5,wv,000,0059,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,24850,3053,2101,2081,2005,1682,1458,1060,1366,1156,1994,2002,2264,1372,467,568,221
ACSSF,2013e5,wv,000,0059,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,97110,9511,6698,7783,7198,6255,6208,5222,4647,4142,8034,9173,10553,5501,2985,1883,1317
ACSSF,2013e5,wv,000,0059,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,163879,18806,13469,13855,13069,11099,10066,8562,9304,7465,13458,13719,15334,7813,3379,2542,1939
ACSSF,2013e5,wv,000,0059,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,285839,31370,22268,23719,22272,19036,17732,14844,15317,12763,23486,24894,28151,14686,6831,4993,3477
ACSSF,2013e5,wv,000,0059,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6099,621,517,433,515,378,309,469,406,335,589,554,437,304,93,95,44
ACSSF,2013e5,wv,000,0059,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",40447,2579,1805,2199,2288,1617,1817,1877,2319,2155,3758,4435,5963,3515,1652,1573,895
ACSSF,2013e5,wv,000,0059,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9559,1106,637,771,437,557,604,407,521,275,826,1115,941,754,363,146,99
