FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
ACSSF,2013e5,wv,000,0004,0003463,155,54,021,15500US5471620021,"Gilmer County (part), Sand Fork town, West Virginia",275,256,0,0,0,0,0,19,0,19
ACSSF,2013e5,wv,000,0004,0003464,155,54,045,15500US5472004045,"Logan County (part), Sarah Ann CDP, West Virginia",256,256,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003465,155,54,019,15500US5472292019,"Fayette County (part), Scarbro CDP, West Virginia",392,343,21,0,0,0,0,28,0,28
ACSSF,2013e5,wv,000,0004,0003466,155,54,081,15500US5473108081,"Raleigh County (part), Shady Spring CDP, West Virginia",3142,3113,0,0,6,0,0,23,0,23
ACSSF,2013e5,wv,000,0004,0003467,155,54,037,15500US5473252037,"Jefferson County (part), Shannondale CDP, West Virginia",3157,2901,87,24,30,0,0,115,0,115
ACSSF,2013e5,wv,000,0004,0003468,155,54,037,15500US5473444037,"Jefferson County (part), Shenandoah Junction CDP, West Virginia",558,404,98,0,0,0,0,56,0,56
ACSSF,2013e5,wv,000,0004,0003469,155,54,037,15500US5473468037,"Jefferson County (part), Shepherdstown town, West Virginia",1717,1437,126,4,41,0,0,109,12,97
ACSSF,2013e5,wv,000,0004,0003470,155,54,033,15500US5473636033,"Harrison County (part), Shinnston city, West Virginia",2633,2575,0,7,51,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003471,155,54,039,15500US5473876039,"Kanawha County (part), Shrewsbury CDP, West Virginia",695,577,0,0,0,0,0,118,0,118
ACSSF,2013e5,wv,000,0004,0003472,155,54,039,15500US5474356039,"Kanawha County (part), Sissonville CDP, West Virginia",5293,4797,0,7,0,0,0,489,10,479
ACSSF,2013e5,wv,000,0004,0003473,155,54,095,15500US5474380095,"Tyler County (part), Sistersville city, West Virginia",1602,1585,6,2,1,0,0,8,0,8
ACSSF,2013e5,wv,000,0004,0003474,155,54,019,15500US5474740019,"Fayette County (part), Smithers city, West Virginia",898,779,89,12,0,0,0,18,0,18
ACSSF,2013e5,wv,000,0004,0003475,155,54,039,15500US5474740039,"Kanawha County (part), Smithers city, West Virginia",0,0,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003476,155,54,103,15500US5474788103,"Wetzel County (part), Smithfield town, West Virginia",149,149,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003477,155,54,081,15500US5475172081,"Raleigh County (part), Sophia town, West Virginia",1162,1122,18,4,0,0,0,18,0,18
ACSSF,2013e5,wv,000,0004,0003478,155,54,039,15500US5475292039,"Kanawha County (part), South Charleston city, West Virginia",13528,12296,593,0,134,0,6,499,0,499
ACSSF,2013e5,wv,000,0004,0003479,155,54,033,15500US5475796033,"Harrison County (part), Spelter CDP, West Virginia",406,406,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003480,155,54,087,15500US5475820087,"Roane County (part), Spencer city, West Virginia",2526,2434,2,6,0,0,0,84,0,84
ACSSF,2013e5,wv,000,0004,0003481,155,54,027,15500US5476084027,"Hampshire County (part), Springfield CDP, West Virginia",649,649,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003482,155,54,081,15500US5476444081,"Raleigh County (part), Stanaford CDP, West Virginia",1376,1211,91,44,16,0,0,14,0,14
ACSSF,2013e5,wv,000,0004,0003483,155,54,061,15500US5476516061,"Monongalia County (part), Star City town, West Virginia",1898,1650,71,0,133,0,4,40,0,40
ACSSF,2013e5,wv,000,0004,0003484,155,54,045,15500US5476996045,"Logan County (part), Stollings CDP, West Virginia",417,417,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003485,155,54,033,15500US5477188033,"Harrison County (part), Stonewood city, West Virginia",1940,1779,34,5,16,39,0,67,0,67
ACSSF,2013e5,wv,000,0004,0003486,155,54,067,15500US5477980067,"Nicholas County (part), Summersville city, West Virginia",3570,3569,1,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003487,155,54,007,15500US5478580007,"Braxton County (part), Sutton town, West Virginia",1188,1175,7,0,0,0,2,4,0,4
ACSSF,2013e5,wv,000,0004,0003488,155,54,045,15500US5478796045,"Logan County (part), Switzer CDP, West Virginia",521,521,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003489,155,54,005,15500US5478964005,"Boone County (part), Sylvester town, West Virginia",463,462,0,0,0,0,0,1,0,1
ACSSF,2013e5,wv,000,0004,0003490,155,54,079,15500US5479545079,"Putnam County (part), Teays Valley CDP, West Virginia",13568,12588,477,0,265,0,95,143,0,143
ACSSF,2013e5,wv,000,0004,0003491,155,54,077,15500US5479708077,"Preston County (part), Terra Alta town, West Virginia",1745,1727,6,0,0,0,0,12,0,12
ACSSF,2013e5,wv,000,0004,0003492,155,54,093,15500US5480020093,"Tucker County (part), Thomas city, West Virginia",504,488,9,0,0,0,0,7,0,7
ACSSF,2013e5,wv,000,0004,0003493,155,54,019,15500US5480284019,"Fayette County (part), Thurmond town, West Virginia",7,7,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003494,155,54,067,15500US5480476067,"Nicholas County (part), Tioga CDP, West Virginia",71,71,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003495,155,54,039,15500US5480764039,"Kanawha County (part), Tornado CDP, West Virginia",1548,1507,0,0,0,0,0,41,14,27
ACSSF,2013e5,wv,000,0004,0003496,155,54,069,15500US5480932069,"Ohio County (part), Triadelphia town, West Virginia",893,794,99,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003497,155,54,077,15500US5481268077,"Preston County (part), Tunnelton town, West Virginia",419,413,0,0,0,0,6,0,0,0
ACSSF,2013e5,wv,000,0004,0003498,155,54,005,15500US5481484005,"Boone County (part), Twilight CDP, West Virginia",118,118,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003499,155,54,063,15500US5481940063,"Monroe County (part), Union town, West Virginia",653,544,53,11,0,0,0,45,0,45
ACSSF,2013e5,wv,000,0004,0003500,155,54,083,15500US5482564083,"Randolph County (part), Valley Bend CDP, West Virginia",636,636,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003501,155,54,069,15500US5482732069,"Ohio County (part), Valley Grove village, West Virginia",510,494,0,0,0,0,0,16,0,16
ACSSF,2013e5,wv,000,0004,0003502,155,54,083,15500US5482756083,"Randolph County (part), Valley Head CDP, West Virginia",357,357,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003503,155,54,005,15500US5482852005,"Boone County (part), Van CDP, West Virginia",116,116,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003504,155,54,045,15500US5483332045,"Logan County (part), Verdunville CDP, West Virginia",568,568,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003505,155,54,107,15500US5483500107,"Wood County (part), Vienna city, West Virginia",10697,10151,86,107,134,0,29,190,10,180
ACSSF,2013e5,wv,000,0004,0003506,155,54,047,15500US5483764047,"McDowell County (part), Vivian CDP, West Virginia",30,30,0,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003507,155,54,047,15500US5484484047,"McDowell County (part), War city, West Virginia",760,742,18,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003508,155,54,031,15500US5484580031,"Hardy County (part), Wardensville town, West Virginia",277,275,2,0,0,0,0,0,0,0
ACSSF,2013e5,wv,000,0004,0003509,155,54,107,15500US5484724107,"Wood County (part), Washington CDP, West Virginia",1676,1579,0,0,63,0,0,34,0,34
ACSSF,2013e5,wv,000,0004,0003510,155,54,107,15500US5484916107,"Wood County (part), Waverly CDP, West Virginia",304,269,35,0,0,0,0,0,0,0
