FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2011e5,wv,000,0036,0000001,040,54,   ,04000US54,West Virginia,740080,486883,376000,110883,30955,79928,253197,217114,36083
ACSSF,2011e5,wv,000,0036,0000002,040,54,   ,04001US54,West Virginia -- Urban,348473,208444,152443,56001,13588,42413,140029,119871,20158
ACSSF,2011e5,wv,000,0036,0000003,040,54,   ,04043US54,West Virginia -- Rural,391607,278439,223557,54882,17367,37515,113168,97243,15925
ACSSF,2011e5,wv,000,0036,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,559846,363606,278909,84697,22703,61994,196240,167348,28892
ACSSF,2011e5,wv,000,0036,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,414603,266845,204908,61937,16761,45176,147758,125382,22376
ACSSF,2011e5,wv,000,0036,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,102585,55069,38468,16601,3783,12818,47516,40240,7276
ACSSF,2011e5,wv,000,0036,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,312018,211776,166440,45336,12978,32358,100242,85142,15100
ACSSF,2011e5,wv,000,0036,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,145243,96761,74001,22760,5942,16818,48482,41966,6516
ACSSF,2011e5,wv,000,0036,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,31827,18335,13046,5289,990,4299,13492,11604,1888
ACSSF,2011e5,wv,000,0036,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113416,78426,60955,17471,4952,12519,34990,30362,4628
ACSSF,2011e5,wv,000,0036,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,180234,123277,97091,26186,8252,17934,56957,49766,7191
ACSSF,2011e5,wv,000,0036,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,325477,220038,171092,48946,14194,34752,105439,91732,13707
ACSSF,2011e5,wv,000,0036,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6210,4401,3392,1009,361,648,1809,1676,133
ACSSF,2011e5,wv,000,0036,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",39303,27078,20404,6674,2098,4576,12225,10048,2177
ACSSF,2011e5,wv,000,0036,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9755,7031,5549,1482,460,1022,2724,2455,269
ACSSF,2011e5,wv,000,0036,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6087,3880,3151,729,276,453,2207,1857,350
ACSSF,2011e5,wv,000,0036,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9756,6482,4780,1702,575,1127,3274,2921,353
ACSSF,2011e5,wv,000,0036,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40397,24963,17868,7095,1551,5544,15434,12771,2663
ACSSF,2011e5,wv,000,0036,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3146,2161,1589,572,243,329,985,938,47
ACSSF,2011e5,wv,000,0036,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3512,2509,2018,491,180,311,1003,936,67
ACSSF,2011e5,wv,000,0036,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2823,2049,1470,579,208,371,774,685,89
ACSSF,2011e5,wv,000,0036,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17801,12040,8867,3173,917,2256,5761,4958,803
ACSSF,2011e5,wv,000,0036,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2420,1548,1190,358,111,247,872,700,172
ACSSF,2011e5,wv,000,0036,0000024,050,54,023,05000US54023,"Grant County, West Virginia",4915,3452,2885,567,179,388,1463,1248,215
ACSSF,2011e5,wv,000,0036,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15412,10009,7589,2420,746,1674,5403,4607,796
ACSSF,2011e5,wv,000,0036,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",10331,5592,4325,1267,266,1001,4739,4411,328
ACSSF,2011e5,wv,000,0036,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",13149,8839,6653,2186,666,1520,4310,3807,503
ACSSF,2011e5,wv,000,0036,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",4829,3055,2430,625,230,395,1774,1575,199
ACSSF,2011e5,wv,000,0036,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",27696,18809,14283,4526,1012,3514,8887,7869,1018
ACSSF,2011e5,wv,000,0036,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11483,8066,6333,1733,534,1199,3417,2764,653
ACSSF,2011e5,wv,000,0036,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",19415,13928,11141,2787,874,1913,5487,4222,1265
ACSSF,2011e5,wv,000,0036,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",82337,50461,37517,12944,3102,9842,31876,27457,4419
ACSSF,2011e5,wv,000,0036,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6587,4340,3510,830,222,608,2247,1951,296
ACSSF,2011e5,wv,000,0036,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8711,6523,4839,1684,437,1247,2188,2051,137
ACSSF,2011e5,wv,000,0036,0000035,050,54,045,05000US54045,"Logan County, West Virginia",14660,10361,7744,2617,767,1850,4299,3580,719
ACSSF,2011e5,wv,000,0036,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",8292,5376,3936,1440,409,1031,2916,2579,337
ACSSF,2011e5,wv,000,0036,0000037,050,54,049,05000US54049,"Marion County, West Virginia",22794,14888,11288,3600,988,2612,7906,6477,1429
ACSSF,2011e5,wv,000,0036,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",13915,9365,7260,2105,698,1407,4550,3914,636
ACSSF,2011e5,wv,000,0036,0000039,050,54,053,05000US54053,"Mason County, West Virginia",10715,7351,5712,1639,326,1313,3364,2832,532
ACSSF,2011e5,wv,000,0036,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",25611,16194,12644,3550,1017,2533,9417,8251,1166
ACSSF,2011e5,wv,000,0036,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",11276,7065,5550,1515,313,1202,4211,3846,365
ACSSF,2011e5,wv,000,0036,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",10776,7358,5430,1928,574,1354,3418,2953,465
ACSSF,2011e5,wv,000,0036,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",35266,18606,14813,3793,1272,2521,16660,12562,4098
ACSSF,2011e5,wv,000,0036,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",5615,3839,3177,662,253,409,1776,1512,264
ACSSF,2011e5,wv,000,0036,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",7171,3874,3062,812,258,554,3297,3005,292
ACSSF,2011e5,wv,000,0036,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",10149,7593,6233,1360,500,860,2556,2374,182
ACSSF,2011e5,wv,000,0036,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",18624,11080,8708,2372,456,1916,7544,6763,781
ACSSF,2011e5,wv,000,0036,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",3305,2140,1777,363,98,265,1165,1024,141
ACSSF,2011e5,wv,000,0036,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",2630,1735,1424,311,87,224,895,772,123
ACSSF,2011e5,wv,000,0036,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",3819,2568,2140,428,182,246,1251,1099,152
ACSSF,2011e5,wv,000,0036,0000051,050,54,077,05000US54077,"Preston County, West Virginia",12908,9056,7163,1893,607,1286,3852,3248,604
ACSSF,2011e5,wv,000,0036,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",20999,15839,13123,2716,777,1939,5160,4415,745
ACSSF,2011e5,wv,000,0036,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",31211,20697,16008,4689,1230,3459,10514,9253,1261
