FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Renter occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc."
ACSSF,2010e5,wv,000,0103,0000001,040,54,   ,04000US54,West Virginia,740874,552855,45960,34632,206,166,42,77,10837,153820,111020,297,266,8,118,42111,149791,124990,471,103,35,157,24035,112102,110152,546,291,62,32,1019,91182,90124,758,87,15,19,179,188019,13370,3808,1708,3903,1316,613,2022,49347,11223,7445,10432,2429,4167,13651,55232,19748,9311,9975,1898,3953,10347,37081,25562,6715,3073,417,697,617,32989,21069,7051,3247,750,779,93
ACSSF,2010e5,wv,000,0103,0000002,040,54,   ,04001US54,West Virginia -- Urban,350898,233144,13540,10181,191,91,42,77,2958,44745,34156,177,233,8,118,10053,62105,55845,395,96,32,157,5580,65547,64528,468,265,34,20,232,47207,46501,566,81,15,19,25,117754,8446,1799,1211,3183,1186,536,531,27530,4515,5589,7803,1928,3762,3933,34796,10360,7873,7983,1673,3744,3163,25705,15765,6007,2707,357,693,176,21277,11114,6034,2693,696,724,16
ACSSF,2010e5,wv,000,0103,0000003,040,54,   ,04043US54,West Virginia -- Rural,389976,319711,32420,24451,15,75,0,0,7879,109075,76864,120,33,0,0,32058,87686,69145,76,7,3,0,18455,46555,45624,78,26,28,12,787,43975,43623,192,6,0,0,154,70265,4924,2009,497,720,130,77,1491,21817,6708,1856,2629,501,405,9718,20436,9388,1438,1992,225,209,7184,11376,9797,708,366,60,4,441,11712,9955,1017,554,54,55,77
ACSSF,2010e5,wv,000,0103,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,559682,411362,36519,28737,206,139,42,77,7318,109215,79979,215,238,8,118,28657,110829,94336,445,96,32,148,15772,88510,87177,468,291,34,32,508,66289,65619,516,47,12,19,76,148320,11620,3201,1542,3586,1271,609,1411,37751,7909,6219,8817,2047,3410,9349,43920,15087,8053,8224,1704,3490,7362,29848,20060,5766,2588,378,646,410,25181,15044,6097,2700,692,620,28
ACSSF,2010e5,wv,000,0103,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,414147,301324,29599,23924,171,96,42,77,5289,82669,62569,192,207,8,116,19577,81232,69818,429,84,32,140,10729,63549,62497,355,275,22,20,380,44275,43719,441,37,12,19,47,112823,9661,2690,1225,3016,1075,499,1156,28813,6120,4627,7440,1578,2496,6552,34497,11132,6753,7023,1361,2956,5272,21889,13894,4728,2160,237,517,353,17963,10109,4678,2108,626,414,28
ACSSF,2010e5,wv,000,0103,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,103349,60690,2377,2129,0,23,9,43,173,5875,5086,81,135,8,72,493,13042,12341,275,30,32,140,224,22067,21802,171,40,10,20,24,17329,17009,283,37,0,0,0,42659,2140,201,344,762,556,223,54,7288,1040,1702,2234,623,1459,230,11738,2594,3402,2702,638,2271,131,11524,6430,3016,1451,186,441,0,9969,4247,3184,1570,597,371,0
ACSSF,2010e5,wv,000,0103,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,310798,240634,27222,21795,171,73,33,34,5116,76794,57483,111,72,0,44,19084,68190,57477,154,54,0,0,10505,41482,40695,184,235,12,0,356,26946,26710,158,0,12,19,47,70164,7521,2489,881,2254,519,276,1102,21525,5080,2925,5206,955,1037,6322,22759,8538,3351,4321,723,685,5141,10365,7464,1712,709,51,76,353,7994,5862,1494,538,29,43,28
ACSSF,2010e5,wv,000,0103,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,145535,110038,6920,4813,35,43,0,0,2029,26546,17410,23,31,0,2,9080,29597,24518,16,12,0,8,5043,24961,24680,113,16,12,12,128,22014,21900,75,10,0,0,29,35497,1959,511,317,570,196,110,255,8938,1789,1592,1377,469,914,2797,9423,3955,1300,1201,343,534,2090,7959,6166,1038,428,141,129,57,7218,4935,1419,592,66,206,0
ACSSF,2010e5,wv,000,0103,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,32334,21276,540,425,35,0,0,0,80,1856,1624,0,22,0,0,210,4630,4460,16,0,0,8,146,7777,7665,100,0,12,0,0,6473,6427,37,0,0,0,9,11058,373,129,25,145,5,69,0,1711,309,317,314,102,504,165,3048,1263,531,585,169,331,169,3239,2127,737,201,56,118,0,2687,1285,852,327,66,157,0
ACSSF,2010e5,wv,000,0103,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113201,88762,6380,4388,0,43,0,0,1949,24690,15786,23,9,0,2,8870,24967,20058,0,12,0,0,4897,17184,17015,13,16,0,12,128,15541,15473,38,10,0,0,20,24439,1586,382,292,425,191,41,255,7227,1480,1275,1063,367,410,2632,6375,2692,769,616,174,203,1921,4720,4039,301,227,85,11,57,4531,3650,567,265,0,49,0
ACSSF,2010e5,wv,000,0103,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,181192,141493,9441,5895,0,27,0,0,3519,44605,31041,82,28,0,0,13454,38962,30654,26,7,3,9,8263,23592,22975,78,0,28,0,511,24893,24505,242,40,3,0,103,39699,1750,607,166,317,45,4,611,11596,3314,1226,1615,382,757,4302,11312,4661,1258,1751,194,463,2985,7233,5502,949,485,39,51,207,7808,6025,954,547,58,159,65
ACSSF,2010e5,wv,000,0103,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,326727,251531,16361,10708,35,70,0,0,5548,71151,48451,105,59,0,2,22534,68559,55172,42,19,3,17,13306,48553,47655,191,16,40,12,639,46907,46405,317,50,3,0,132,75196,3709,1118,483,887,241,114,866,20534,5103,2818,2992,851,1671,7099,20735,8616,2558,2952,537,997,5075,15192,11668,1987,913,180,180,264,15026,10960,2373,1139,124,365,65
ACSSF,2010e5,wv,000,0103,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6219,4742,225,92,0,0,0,0,133,1380,1092,3,0,0,0,285,1498,1191,0,0,0,0,307,644,641,0,0,0,0,3,995,995,0,0,0,0,0,1477,42,11,0,31,0,0,0,286,113,10,18,0,69,76,437,228,31,46,0,23,109,230,128,35,26,3,31,7,482,382,52,22,0,26,0
ACSSF,2010e5,wv,000,0103,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",38730,29297,8385,7451,37,15,0,21,861,11803,9411,0,0,0,0,2392,4586,4050,11,0,0,0,525,1991,1991,0,0,0,0,0,2532,2492,40,0,0,0,0,9433,1350,865,20,252,46,38,129,3120,655,355,731,183,320,876,2726,864,256,755,79,187,585,1048,665,192,152,6,0,33,1189,603,245,258,59,24,0
ACSSF,2010e5,wv,000,0103,0000015,050,54,005,05000US54005,"Boone County, West Virginia",10023,7637,645,266,0,0,0,0,379,2696,1425,0,5,0,0,1266,1961,1186,0,0,0,0,775,1468,1431,9,0,0,0,28,867,867,0,0,0,0,0,2386,53,2,0,8,0,0,43,1006,250,69,65,36,121,465,751,229,49,34,4,14,421,376,321,36,0,0,0,19,200,157,43,0,0,0,0
ACSSF,2010e5,wv,000,0103,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6028,4739,456,241,0,0,0,0,215,1764,1093,0,0,0,0,671,1201,755,0,0,0,0,446,583,565,0,0,0,0,18,735,721,5,0,0,0,9,1289,44,4,0,33,0,4,3,539,105,13,84,7,3,327,307,139,18,45,0,0,105,162,123,24,15,0,0,0,237,223,11,0,3,0,0
ACSSF,2010e5,wv,000,0103,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9824,7780,350,321,0,0,0,0,29,1088,849,0,0,0,0,239,2229,2017,0,0,0,0,212,2307,2307,0,0,0,0,0,1806,1774,32,0,0,0,0,2044,21,0,10,11,0,0,0,411,27,100,80,43,88,73,661,196,48,237,62,49,69,506,406,92,0,0,8,0,445,227,169,49,0,0,0
ACSSF,2010e5,wv,000,0103,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40564,26030,1768,1327,0,8,0,11,422,4819,3657,0,23,0,32,1107,7524,6861,58,0,20,17,568,6930,6817,53,40,0,13,7,4989,4934,55,0,0,0,0,14534,1038,212,187,336,55,105,143,3440,673,400,1375,238,385,369,3871,963,820,1335,174,382,197,3460,2054,894,413,51,35,13,2725,1479,550,454,165,77,0
ACSSF,2010e5,wv,000,0103,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3030,2351,111,30,0,0,0,0,81,658,490,0,0,0,0,168,737,547,0,0,0,0,190,399,386,0,0,0,0,13,446,433,0,0,0,0,13,679,47,40,0,7,0,0,0,251,105,6,5,15,0,120,204,98,16,0,0,0,90,87,74,0,0,0,0,13,90,90,0,0,0,0,0
ACSSF,2010e5,wv,000,0103,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3530,2813,155,89,0,0,0,0,66,1379,1050,0,0,0,0,329,679,375,0,0,0,0,304,339,339,0,0,0,0,0,261,261,0,0,0,0,0,717,57,39,0,0,0,0,18,263,66,23,19,51,0,104,136,35,6,0,0,0,95,131,86,9,13,0,0,23,130,88,30,0,0,0,12
