FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2012e5,wv,000,0103,0000001,040,54,   ,04000US54,West Virginia,882240,627996,15939,20627,24482,24840,14297,8992,12969,131813,285
ACSSF,2012e5,wv,000,0103,0000002,040,54,   ,04001US54,West Virginia -- Urban,423658,288837,12922,17311,20475,19450,12967,7491,11099,32972,134
ACSSF,2012e5,wv,000,0103,0000003,040,54,   ,04043US54,West Virginia -- Rural,458582,339159,3017,3316,4007,5390,1330,1501,1870,98841,151
ACSSF,2012e5,wv,000,0103,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,648188,459973,14340,17749,20799,20177,12972,7672,10294,84042,170
ACSSF,2012e5,wv,000,0103,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,478121,334511,12361,14061,16741,16272,10821,6491,8246,58457,160
ACSSF,2012e5,wv,000,0103,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,118215,77492,3342,8146,8357,5924,4452,3233,5945,1313,11
ACSSF,2012e5,wv,000,0103,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,359906,257019,9019,5915,8384,10348,6369,3258,2301,57144,149
ACSSF,2012e5,wv,000,0103,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,170067,125462,1979,3688,4058,3905,2151,1181,2048,25585,10
ACSSF,2012e5,wv,000,0103,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,37360,28348,541,2019,1739,1290,842,460,1262,859,0
ACSSF,2012e5,wv,000,0103,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,132707,97114,1438,1669,2319,2615,1309,721,786,24726,10
ACSSF,2012e5,wv,000,0103,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,234052,168023,1599,2878,3683,4663,1325,1320,2675,47771,115
ACSSF,2012e5,wv,000,0103,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,404119,293485,3578,6566,7741,8568,3476,2501,4723,73356,125
ACSSF,2012e5,wv,000,0103,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7830,5843,81,67,87,145,64,3,148,1389,3
ACSSF,2012e5,wv,000,0103,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",44766,30852,3213,644,925,1219,1205,239,551,5918,0
ACSSF,2012e5,wv,000,0103,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11125,7101,70,122,103,142,5,28,132,3422,0
ACSSF,2012e5,wv,000,0103,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7426,4995,42,45,107,101,45,41,10,2040,0
ACSSF,2012e5,wv,000,0103,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10967,8776,123,293,337,293,138,156,81,770,0
ACSSF,2012e5,wv,000,0103,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46174,30311,686,2366,2285,3047,1811,962,1179,3510,17
ACSSF,2012e5,wv,000,0103,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3965,2857,11,32,40,10,8,9,0,996,2
ACSSF,2012e5,wv,000,0103,0000020,050,54,015,05000US54015,"Clay County, West Virginia",4599,3161,8,0,46,15,20,55,17,1277,0
ACSSF,2012e5,wv,000,0103,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",3944,3007,30,14,14,33,45,0,0,801,0
ACSSF,2012e5,wv,000,0103,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",21647,16493,171,236,336,471,114,124,255,3447,0
ACSSF,2012e5,wv,000,0103,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",3461,2555,32,49,46,48,25,0,0,706,0
ACSSF,2012e5,wv,000,0103,0000024,050,54,023,05000US54023,"Grant County, West Virginia",6389,4848,38,69,56,134,19,12,4,1196,13
ACSSF,2012e5,wv,000,0103,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",18984,14227,201,271,550,565,89,140,56,2885,0
ACSSF,2012e5,wv,000,0103,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",13647,10533,21,227,277,149,63,80,22,2275,0
ACSSF,2012e5,wv,000,0103,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",14549,11343,188,539,402,392,150,56,194,1285,0
ACSSF,2012e5,wv,000,0103,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",8078,5735,46,40,160,229,53,26,0,1778,11
ACSSF,2012e5,wv,000,0103,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",31489,24129,512,1020,931,802,499,169,431,2996,0
ACSSF,2012e5,wv,000,0103,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",13269,9338,28,267,326,274,117,29,105,2785,0
ACSSF,2012e5,wv,000,0103,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",22086,17149,1319,437,487,535,368,145,172,1474,0
ACSSF,2012e5,wv,000,0103,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",92679,65067,2359,2721,4349,3337,1897,1357,2261,9331,0
ACSSF,2012e5,wv,000,0103,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",7976,5974,46,48,128,163,20,65,170,1352,10
ACSSF,2012e5,wv,000,0103,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",9890,6520,31,124,64,65,64,48,15,2959,0
ACSSF,2012e5,wv,000,0103,0000035,050,54,045,05000US54045,"Logan County, West Virginia",16783,11608,181,189,121,676,237,12,58,3701,0
ACSSF,2012e5,wv,000,0103,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",11421,8105,167,133,144,82,22,24,125,2619,0
ACSSF,2012e5,wv,000,0103,0000037,050,54,049,05000US54049,"Marion County, West Virginia",26483,20449,235,785,932,841,278,243,252,2468,0
ACSSF,2012e5,wv,000,0103,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",15938,12519,231,477,468,414,41,60,137,1591,0
ACSSF,2012e5,wv,000,0103,0000039,050,54,053,05000US54053,"Mason County, West Virginia",12966,9235,26,304,169,149,51,73,55,2904,0
ACSSF,2012e5,wv,000,0103,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",30052,19750,484,517,813,764,674,286,303,6451,10
ACSSF,2012e5,wv,000,0103,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",13049,9887,310,293,309,394,42,27,304,1481,2
ACSSF,2012e5,wv,000,0103,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",12749,7971,28,231,155,385,37,15,232,3695,0
