FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,ZCTA,GEO_ID,GEO_NAME,Total
ACSSF,2016e5,us,000,0003,0010741,860,  ,   ,01096,86000US01096,ZCTA5 01096,2564
ACSSF,2016e5,us,000,0003,0010742,860,  ,   ,01097,86000US01097,ZCTA5 01097,78
ACSSF,2016e5,us,000,0003,0010743,860,  ,   ,01098,86000US01098,ZCTA5 01098,1117
ACSSF,2016e5,us,000,0003,0010744,860,  ,   ,01103,86000US01103,ZCTA5 01103,2430
ACSSF,2016e5,us,000,0003,0010745,860,  ,   ,01104,86000US01104,ZCTA5 01104,23183
ACSSF,2016e5,us,000,0003,0010746,860,  ,   ,01105,86000US01105,ZCTA5 01105,11576
ACSSF,2016e5,us,000,0003,0010747,860,  ,   ,01106,86000US01106,ZCTA5 01106,15983
ACSSF,2016e5,us,000,0003,0010748,860,  ,   ,01107,86000US01107,ZCTA5 01107,11474
ACSSF,2016e5,us,000,0003,0010749,860,  ,   ,01108,86000US01108,ZCTA5 01108,28449
ACSSF,2016e5,us,000,0003,0010750,860,  ,   ,01109,86000US01109,ZCTA5 01109,30139
ACSSF,2016e5,us,000,0003,0010751,860,  ,   ,01118,86000US01118,ZCTA5 01118,14293
ACSSF,2016e5,us,000,0003,0010752,860,  ,   ,01119,86000US01119,ZCTA5 01119,13091
ACSSF,2016e5,us,000,0003,0010753,860,  ,   ,01128,86000US01128,ZCTA5 01128,2695
ACSSF,2016e5,us,000,0003,0010754,860,  ,   ,01129,86000US01129,ZCTA5 01129,7220
ACSSF,2016e5,us,000,0003,0010755,860,  ,   ,01151,86000US01151,ZCTA5 01151,9295
ACSSF,2016e5,us,000,0003,0010756,860,  ,   ,01199,86000US01199,ZCTA5 01199,0
ACSSF,2016e5,us,000,0003,0010757,860,  ,   ,01201,86000US01201,ZCTA5 01201,45001
ACSSF,2016e5,us,000,0003,0010758,860,  ,   ,01220,86000US01220,ZCTA5 01220,8266
ACSSF,2016e5,us,000,0003,0010759,860,  ,   ,01222,86000US01222,ZCTA5 01222,829
ACSSF,2016e5,us,000,0003,0010760,860,  ,   ,01223,86000US01223,ZCTA5 01223,2247
ACSSF,2016e5,us,000,0003,0010761,860,  ,   ,01224,86000US01224,ZCTA5 01224,176
ACSSF,2016e5,us,000,0003,0010762,860,  ,   ,01225,86000US01225,ZCTA5 01225,3192
ACSSF,2016e5,us,000,0003,0010763,860,  ,   ,01226,86000US01226,ZCTA5 01226,6885
ACSSF,2016e5,us,000,0003,0010764,860,  ,   ,01229,86000US01229,ZCTA5 01229,102
