FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Married-couple family:,With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,Other family:,"Male householder, no wife present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,"Female householder, no husband present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years
ACSSF,2010e5,wv,000,0034,0000505,070,54,033,07000US540339292377188,"Stonewood city, Southern district, Harrison County, West Virginia",596,432,121,24,37,60,311,164,13,0,0,0,0,13,151,66,8,0,58,85
ACSSF,2010e5,wv,000,0034,0000506,070,54,033,07000US540339292399999,"Remainder of Southern district, Southern district, Harrison County, West Virginia",1962,1671,610,113,63,434,1061,291,87,19,0,0,19,68,204,129,46,0,83,75
ACSSF,2010e5,wv,000,0034,0000507,070,54,033,07000US540339293215628,"Clarksburg city (part), South Urban district, Harrison County, West Virginia",2070,1509,634,122,96,416,875,561,131,98,0,15,83,33,430,185,105,14,66,245
ACSSF,2010e5,wv,000,0034,0000508,070,54,033,07000US540339293299999,"Remainder of South Urban district, South Urban district, Harrison County, West Virginia",834,633,247,25,57,165,386,201,0,0,0,0,0,0,201,83,18,0,65,118
ACSSF,2010e5,wv,000,0034,0000509,070,54,033,07000US540339295271380,"Salem city, Southwest district, Harrison County, West Virginia",389,269,77,22,7,48,192,120,27,11,7,0,4,16,93,72,18,5,49,21
ACSSF,2010e5,wv,000,0034,0000510,070,54,033,07000US540339295285924,"West Milford town, Southwest district, Harrison County, West Virginia",323,229,87,7,6,74,142,94,16,5,0,0,5,11,78,49,15,0,34,29
ACSSF,2010e5,wv,000,0034,0000511,070,54,033,07000US540339295288276,"Wolf Summit CDP, Southwest district, Harrison County, West Virginia",67,67,16,0,16,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000512,070,54,033,07000US540339295299999,"Remainder of Southwest district, Southwest district, Harrison County, West Virginia",1941,1630,595,84,84,427,1035,311,56,26,0,0,26,30,255,142,64,0,78,113
ACSSF,2010e5,wv,000,0034,0000513,070,54,035,07000US540359097668596,"Ripley city (part), Eastern district, Jackson County, West Virginia",730,646,260,118,34,108,386,84,17,17,17,0,0,0,67,37,11,0,26,30
ACSSF,2010e5,wv,000,0034,0000514,070,54,035,07000US540359097699999,"Remainder of Eastern district, Eastern district, Jackson County, West Virginia",2037,1593,680,106,120,454,913,444,185,120,49,36,35,65,259,139,35,24,80,120
ACSSF,2010e5,wv,000,0034,0000515,070,54,035,07000US540359235367108,"Ravenswood city, Northern district, Jackson County, West Virginia",1033,769,251,47,65,139,518,264,59,34,17,0,17,25,205,157,22,0,135,48
ACSSF,2010e5,wv,000,0034,0000516,070,54,035,07000US540359235399999,"Remainder of Northern district, Northern district, Jackson County, West Virginia",1532,1298,390,60,96,234,908,234,92,59,36,0,23,33,142,112,42,0,70,30
ACSSF,2010e5,wv,000,0034,0000517,070,54,035,07000US540359360568596,"Ripley city (part), Western district, Jackson County, West Virginia",103,45,0,0,0,0,45,58,42,42,0,0,42,0,16,0,0,0,0,16
ACSSF,2010e5,wv,000,0034,0000518,070,54,035,07000US540359360599999,"Remainder of Western district, Western district, Jackson County, West Virginia",2979,2371,865,211,220,434,1506,608,150,121,0,0,121,29,458,168,0,26,142,290
ACSSF,2010e5,wv,000,0034,0000519,070,54,037,07000US540379050414610,"Charles Town city (part), Charles Town district, Jefferson County, West Virginia",982,809,453,161,100,192,356,173,67,40,0,0,40,27,106,0,0,0,0,106
ACSSF,2010e5,wv,000,0034,0000520,070,54,037,07000US540379050466988,"Ranson corporation (part), Charles Town district, Jefferson County, West Virginia",1017,570,245,67,90,88,325,447,112,16,16,0,0,96,335,212,65,37,110,123
ACSSF,2010e5,wv,000,0034,0000521,070,54,037,07000US540379050499999,"Remainder of Charles Town district, Charles Town district, Jefferson County, West Virginia",871,667,343,51,104,188,324,204,91,61,6,0,55,30,113,76,12,0,64,37
ACSSF,2010e5,wv,000,0034,0000522,070,54,037,07000US540379154808932,"Bolivar town, Harpers Ferry district, Jefferson County, West Virginia",197,162,59,5,9,45,103,35,3,0,0,0,0,3,32,11,3,0,8,21
ACSSF,2010e5,wv,000,0034,0000523,070,54,037,07000US540379154814610,"Charles Town city (part), Harpers Ferry district, Jefferson County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000524,070,54,037,07000US540379154835284,"Harpers Ferry town, Harpers Ferry district, Jefferson County, West Virginia",60,60,14,9,0,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000525,070,54,037,07000US540379154866988,"Ranson corporation (part), Harpers Ferry district, Jefferson County, West Virginia",89,75,33,17,0,16,42,14,14,14,0,0,14,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000526,070,54,037,07000US540379154873444,"Shenandoah Junction CDP (part), Harpers Ferry district, Jefferson County, West Virginia",170,114,37,26,0,11,77,56,16,0,0,0,0,16,40,40,0,10,30,0
ACSSF,2010e5,wv,000,0034,0000527,070,54,037,07000US540379154899999,"Remainder of Harpers Ferry district, Harpers Ferry district, Jefferson County, West Virginia",2029,1822,733,175,208,350,1089,207,55,0,0,0,0,55,152,77,0,0,77,75
ACSSF,2010e5,wv,000,0034,0000528,070,54,037,07000US540379174014610,"Charles Town city (part), Kabletown district, Jefferson County, West Virginia",160,122,98,28,15,55,24,38,17,0,0,0,0,17,21,0,0,0,0,21
ACSSF,2010e5,wv,000,0034,0000529,070,54,037,07000US540379174073252,"Shannondale CDP, Kabletown district, Jefferson County, West Virginia",697,646,311,77,33,201,335,51,17,17,0,17,0,0,34,34,0,0,34,0
ACSSF,2010e5,wv,000,0034,0000530,070,54,037,07000US540379174099999,"Remainder of Kabletown district, Kabletown district, Jefferson County, West Virginia",2426,1994,895,222,172,501,1099,432,159,111,101,0,10,48,273,170,64,9,97,103
ACSSF,2010e5,wv,000,0034,0000531,070,54,037,07000US540379216014610,"Charles Town city (part), Middleway district, Jefferson County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000532,070,54,037,07000US540379216053692,"Middleway CDP, Middleway district, Jefferson County, West Virginia",51,40,9,0,0,9,31,11,0,0,0,0,0,0,11,0,0,0,0,11
ACSSF,2010e5,wv,000,0034,0000533,070,54,037,07000US540379216066988,"Ranson corporation (part), Middleway district, Jefferson County, West Virginia",14,0,0,0,0,0,0,14,0,0,0,0,0,0,14,14,0,14,0,0
ACSSF,2010e5,wv,000,0034,0000534,070,54,037,07000US540379216073444,"Shenandoah Junction CDP (part), Middleway district, Jefferson County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000535,070,54,037,07000US540379216099999,"Remainder of Middleway district, Middleway district, Jefferson County, West Virginia",2615,2033,730,150,87,493,1303,582,190,68,0,0,68,122,392,171,34,56,81,221
ACSSF,2010e5,wv,000,0034,0000536,070,54,037,07000US540379276073444,"Shenandoah Junction CDP (part), Shepherdstown district, Jefferson County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000537,070,54,037,07000US540379276073468,"Shepherdstown town, Shepherdstown district, Jefferson County, West Virginia",157,109,43,3,6,34,66,48,14,3,0,0,3,11,34,11,4,0,7,23
ACSSF,2010e5,wv,000,0034,0000538,070,54,037,07000US540379276099999,"Remainder of Shepherdstown district, Shepherdstown district, Jefferson County, West Virginia",2055,1924,730,184,209,337,1194,131,95,24,24,0,0,71,36,24,0,11,13,12
ACSSF,2010e5,wv,000,0034,0000539,070,54,039,07000US540399076805836,"Belle town, District 1, Kanawha County, West Virginia",326,200,47,5,18,24,153,126,21,19,3,0,16,2,105,52,0,6,46,53
ACSSF,2010e5,wv,000,0034,0000540,070,54,039,07000US540399076813924,"Cedar Grove town, District 1, Kanawha County, West Virginia",253,155,38,7,12,19,117,98,23,15,0,0,15,8,75,41,7,20,14,34
ACSSF,2010e5,wv,000,0034,0000541,070,54,039,07000US540399076814600,"Charleston city (part), District 1, Kanawha County, West Virginia",3633,2687,988,271,128,589,1699,946,189,58,40,0,18,131,757,368,153,67,148,389
ACSSF,2010e5,wv,000,0034,0000542,070,54,039,07000US540399076814812,"Chelyan CDP, District 1, Kanawha County, West Virginia",112,77,0,0,0,0,77,35,0,0,0,0,0,0,35,18,0,0,18,17
ACSSF,2010e5,wv,000,0034,0000543,070,54,039,07000US540399076815028,"Chesapeake town, District 1, Kanawha County, West Virginia",448,305,124,56,11,57,181,143,43,18,9,0,9,25,100,45,0,4,41,55
ACSSF,2010e5,wv,000,0034,0000544,070,54,039,07000US540399076816612,"Coal Fork CDP (part), District 1, Kanawha County, West Virginia",343,299,62,8,0,54,237,44,0,0,0,0,0,0,44,25,25,0,0,19
ACSSF,2010e5,wv,000,0034,0000545,070,54,039,07000US540399076823092,"East Bank town, District 1, Kanawha County, West Virginia",303,176,40,16,0,24,136,127,33,20,15,0,5,13,94,65,9,33,23,29
ACSSF,2010e5,wv,000,0034,0000546,070,54,039,07000US540399076831324,"Glasgow town, District 1, Kanawha County, West Virginia",180,150,55,13,18,24,95,30,10,0,0,0,0,10,20,13,4,9,0,7
ACSSF,2010e5,wv,000,0034,0000547,070,54,039,07000US540399076834756,"Handley town, District 1, Kanawha County, West Virginia",47,34,12,2,4,6,22,13,2,0,0,0,0,2,11,3,3,0,0,8
ACSSF,2010e5,wv,000,0034,0000548,070,54,039,07000US540399076851724,"Marmet city, District 1, Kanawha County, West Virginia",454,328,118,16,8,94,210,126,36,4,0,0,4,32,90,54,13,11,30,36
ACSSF,2010e5,wv,000,0034,0000549,070,54,039,07000US540399076855468,"Montgomery city (part), District 1, Kanawha County, West Virginia",179,105,56,0,0,56,49,74,9,4,2,0,2,5,65,50,29,7,14,15
ACSSF,2010e5,wv,000,0034,0000550,070,54,039,07000US540399076865356,"Pratt town, District 1, Kanawha County, West Virginia",145,101,42,9,5,28,59,44,10,5,0,0,5,5,34,8,0,0,8,26
ACSSF,2010e5,wv,000,0034,0000551,070,54,039,07000US540399076866892,"Rand CDP, District 1, Kanawha County, West Virginia",394,218,22,0,12,10,196,176,35,16,16,0,0,19,141,92,10,49,33,49
ACSSF,2010e5,wv,000,0034,0000552,070,54,039,07000US540399076873876,"Shrewsbury CDP, District 1, Kanawha County, West Virginia",229,200,76,0,55,21,124,29,0,0,0,0,0,0,29,0,0,0,0,29
ACSSF,2010e5,wv,000,0034,0000553,070,54,039,07000US540399076874740,"Smithers city (part), District 1, Kanawha County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000554,070,54,039,07000US540399076899999,"District Remainder of 1, District 1, Kanawha County, West Virginia",3961,3024,872,86,162,624,2152,937,251,63,0,0,63,188,686,372,37,56,279,314
ACSSF,2010e5,wv,000,0034,0000555,070,54,039,07000US540399080401396,"Alum Creek CDP (part), District 2, Kanawha County, West Virginia",71,59,7,0,0,7,52,12,12,12,0,12,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000556,070,54,039,07000US540399080414600,"Charleston city (part), District 2, Kanawha County, West Virginia",5311,4065,1589,344,272,973,2476,1246,322,237,62,13,162,85,924,529,160,91,278,395
ACSSF,2010e5,wv,000,0034,0000557,070,54,039,07000US540399080422564,"Dunbar city (part), District 2, Kanawha County, West Virginia",2139,1435,418,94,61,263,1017,704,100,18,9,0,9,82,604,309,73,41,195,295
ACSSF,2010e5,wv,000,0034,0000558,070,54,039,07000US540399080441010,"Jefferson CDP (part), District 2, Kanawha County, West Virginia",104,51,12,9,3,0,39,53,0,0,0,0,0,0,53,41,3,15,23,12
ACSSF,2010e5,wv,000,0034,0000559,070,54,039,07000US540399080471212,"St. Albans city (part), District 2, Kanawha County, West Virginia",20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000560,070,54,039,07000US540399080475292,"South Charleston city, District 2, Kanawha County, West Virginia",3678,2563,782,222,125,435,1781,1115,187,64,7,0,57,123,928,502,155,63,284,426
ACSSF,2010e5,wv,000,0034,0000561,070,54,039,07000US540399080499999,"District Remainder of 2, District 2, Kanawha County, West Virginia",2210,1824,759,164,148,447,1065,386,122,51,0,27,24,71,264,127,23,0,104,137
ACSSF,2010e5,wv,000,0034,0000562,070,54,039,07000US540399084019108,"Cross Lanes CDP, District 3, Kanawha County, West Virginia",2496,2024,675,178,98,399,1349,472,111,59,48,0,11,52,361,202,82,11,109,159
ACSSF,2010e5,wv,000,0034,0000563,070,54,039,07000US540399084022564,"Dunbar city (part), District 3, Kanawha County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000564,070,54,039,07000US540399084041010,"Jefferson CDP (part), District 3, Kanawha County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000565,070,54,039,07000US540399084059068,"Nitro city (part), District 3, Kanawha County, West Virginia",1529,1105,442,121,197,124,663,424,183,125,48,0,77,58,241,141,13,11,117,100
ACSSF,2010e5,wv,000,0034,0000566,070,54,039,07000US540399084071212,"St. Albans city (part), District 3, Kanawha County, West Virginia",2917,2180,675,124,93,458,1505,737,254,173,9,0,164,81,483,257,44,21,192,226
ACSSF,2010e5,wv,000,0034,0000567,070,54,039,07000US540399084074356,"Sissonville CDP (part), District 3, Kanawha County, West Virginia",191,191,100,0,13,87,91,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000568,070,54,039,07000US540399084082180,"Upper Falls CDP, District 3, Kanawha County, West Virginia",1067,884,313,54,48,211,571,183,23,0,0,0,0,23,160,108,20,35,53,52
ACSSF,2010e5,wv,000,0034,0000569,070,54,039,07000US540399084099999,"District Remainder of 3, District 3, Kanawha County, West Virginia",5333,4030,1409,265,337,807,2621,1303,345,160,39,0,121,185,958,539,102,133,304,419
ACSSF,2010e5,wv,000,0034,0000570,070,54,039,07000US540399087607204,"Big Chimney CDP, District 4, Kanawha County, West Virginia",179,179,14,0,0,14,165,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000571,070,54,039,07000US540399087614600,"Charleston city (part), District 4, Kanawha County, West Virginia",3383,2065,617,140,121,356,1448,1318,253,140,0,63,77,113,1065,680,233,75,372,385
ACSSF,2010e5,wv,000,0034,0000572,070,54,039,07000US540399087616012,"Clendenin town, District 4, Kanawha County, West Virginia",340,246,89,29,11,49,157,94,7,0,0,0,0,7,87,48,7,14,27,39
ACSSF,2010e5,wv,000,0034,0000573,070,54,039,07000US540399087616612,"Coal Fork CDP (part), District 4, Kanawha County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000574,070,54,039,07000US540399087624748,"Elkview CDP, District 4, Kanawha County, West Virginia",408,346,100,22,20,58,246,62,12,0,0,0,0,12,50,0,0,0,0,50
ACSSF,2010e5,wv,000,0034,0000575,070,54,039,07000US540399087663772,"Pinch CDP, District 4, Kanawha County, West Virginia",884,769,240,77,74,89,529,115,10,10,10,0,0,0,105,38,0,0,38,67
ACSSF,2010e5,wv,000,0034,0000576,070,54,039,07000US540399087674356,"Sissonville CDP (part), District 4, Kanawha County, West Virginia",1268,1001,301,84,49,168,700,267,37,25,0,8,17,12,230,116,10,34,72,114
ACSSF,2010e5,wv,000,0034,0000577,070,54,039,07000US540399087699999,"District Remainder of 4, District 4, Kanawha County, West Virginia",6529,5422,1649,335,310,1004,3773,1107,304,192,42,0,150,112,803,401,151,21,229,402
ACSSF,2010e5,wv,000,0034,0000578,070,54,041,07000US540419067685972,"Weston city (part), Courthouse-Collins Settlement district, Lewis County, West Virginia",630,466,155,47,16,92,311,164,42,42,13,10,19,0,122,97,9,11,77,25
ACSSF,2010e5,wv,000,0034,0000579,070,54,041,07000US540419067699999,"Remainder of Courthouse-Collins Settlement district, Courthouse-Collins Settlement district, Lewis County, West Virginia",721,572,169,19,18,132,403,149,43,19,0,0,19,24,106,69,22,0,47,37
ACSSF,2010e5,wv,000,0034,0000580,070,54,041,07000US540419117685972,"Weston city (part), Freemans Creek district, Lewis County, West Virginia",298,239,107,10,6,91,132,59,9,0,0,0,0,9,50,43,13,20,10,7
ACSSF,2010e5,wv,000,0034,0000581,070,54,041,07000US540419117699999,"Remainder of Freemans Creek district, Freemans Creek district, Lewis County, West Virginia",1094,988,257,0,94,163,731,106,52,26,17,0,9,26,54,54,0,0,54,0
ACSSF,2010e5,wv,000,0034,0000582,070,54,041,07000US540419148040828,"Jane Lew town, Hackers Creek-Skin Creek district, Lewis County, West Virginia",122,97,19,8,0,11,78,25,0,0,0,0,0,0,25,6,0,0,6,19
ACSSF,2010e5,wv,000,0034,0000583,070,54,041,07000US540419148085972,"Weston city (part), Hackers Creek-Skin Creek district, Lewis County, West Virginia",236,136,26,0,8,18,110,100,0,0,0,0,0,0,100,63,11,0,52,37
ACSSF,2010e5,wv,000,0034,0000584,070,54,041,07000US540419148099999,"Remainder of Hackers Creek-Skin Creek district, Hackers Creek-Skin Creek district, Lewis County, West Virginia",1142,948,311,34,95,182,637,194,79,19,19,0,0,60,115,77,48,29,0,38
ACSSF,2010e5,wv,000,0034,0000585,070,54,043,07000US540439038434516,"Hamlin town, Carroll district, Lincoln County, West Virginia",312,178,70,25,13,32,108,134,29,19,8,0,11,10,105,62,22,3,37,43
ACSSF,2010e5,wv,000,0034,0000586,070,54,043,07000US540439038499999,"Remainder of Carroll district, Carroll district, Lincoln County, West Virginia",780,631,205,24,20,161,426,149,56,34,0,0,34,22,93,93,7,25,61,0
ACSSF,2010e5,wv,000,0034,0000587,070,54,043,07000US540439096099999,"Duval district, Duval district, Lincoln County, West Virginia",1192,1013,485,127,55,303,528,179,37,0,0,0,0,37,142,110,16,74,20,32
ACSSF,2010e5,wv,000,0034,0000588,070,54,043,07000US540439157235596,"Harts CDP, Harts Creek district, Lincoln County, West Virginia",309,186,59,13,17,29,127,123,16,0,0,0,0,16,107,74,9,0,65,33
ACSSF,2010e5,wv,000,0034,0000589,070,54,043,07000US540439157299999,"Remainder of Harts Creek district, Harts Creek district, Lincoln County, West Virginia",794,592,222,35,11,176,370,202,37,16,16,0,0,21,165,49,15,23,11,116
ACSSF,2010e5,wv,000,0034,0000590,070,54,043,07000US540439170499999,"Jefferson district, Jefferson district, Lincoln County, West Virginia",350,286,163,56,20,87,123,64,20,0,0,0,0,20,44,28,0,0,28,16
ACSSF,2010e5,wv,000,0034,0000591,070,54,043,07000US540439181299999,"Laurel Hill district, Laurel Hill district, Lincoln County, West Virginia",670,502,241,118,25,98,261,168,96,54,0,38,16,42,72,44,18,0,26,28
ACSSF,2010e5,wv,000,0034,0000592,070,54,043,07000US540439278485804,"West Hamlin town, Sheridan district, Lincoln County, West Virginia",207,131,41,9,0,32,90,76,10,5,0,0,5,5,66,29,6,0,23,37
ACSSF,2010e5,wv,000,0034,0000593,070,54,043,07000US540439278499999,"Remainder of Sheridan district, Sheridan district, Lincoln County, West Virginia",1143,786,238,31,52,155,548,357,163,73,25,0,48,90,194,113,72,0,41,81
ACSSF,2010e5,wv,000,0034,0000594,070,54,043,07000US540439324099999,"Union district, Union district, Lincoln County, West Virginia",65,52,0,0,0,0,52,13,0,0,0,0,0,0,13,13,0,0,13,0
ACSSF,2010e5,wv,000,0034,0000595,070,54,043,07000US540439351601396,"Alum Creek CDP (part), Washington district, Lincoln County, West Virginia",274,204,115,37,0,78,89,70,0,0,0,0,0,0,70,13,0,13,0,57
ACSSF,2010e5,wv,000,0034,0000596,070,54,043,07000US540439351699999,"Remainder of Washington district, Washington district, Lincoln County, West Virginia",456,380,183,96,20,67,197,76,0,0,0,0,0,0,76,0,0,0,0,76
ACSSF,2010e5,wv,000,0034,0000597,070,54,045,07000US540459045336484,"Henlawson CDP, Central district, Logan County, West Virginia",154,114,0,0,0,0,114,40,19,0,0,0,0,19,21,0,0,0,0,21
ACSSF,2010e5,wv,000,0034,0000598,070,54,045,07000US540459045348148,"Logan city, Central district, Logan County, West Virginia",376,244,102,26,32,44,142,132,24,18,8,0,10,6,108,43,8,10,25,65
ACSSF,2010e5,wv,000,0034,0000599,070,54,045,07000US540459045349732,"McConnell CDP, Central district, Logan County, West Virginia",207,159,45,0,45,0,114,48,0,0,0,0,0,0,48,12,0,0,12,36
ACSSF,2010e5,wv,000,0034,0000600,070,54,045,07000US540459045354892,"Mitchell Heights town, Central district, Logan County, West Virginia",116,102,32,4,13,15,70,14,2,2,0,0,2,0,12,4,0,0,4,8
ACSSF,2010e5,wv,000,0034,0000601,070,54,045,07000US540459045356342,"Mount Gay-Shamrock CDP (part), Central district, Logan County, West Virginia",459,344,96,15,18,63,248,115,46,12,0,0,12,34,69,15,15,0,0,54
ACSSF,2010e5,wv,000,0034,0000602,070,54,045,07000US540459045357916,"Neibert CDP, Central district, Logan County, West Virginia",47,47,12,0,0,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000603,070,54,045,07000US540459045376996,"Stollings CDP, Central district, Logan County, West Virginia",157,123,15,0,15,0,108,34,18,0,0,0,0,18,16,0,0,0,0,16
ACSSF,2010e5,wv,000,0034,0000604,070,54,045,07000US540459045383332,"Verdunville CDP (part), Central district, Logan County, West Virginia",48,48,18,0,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000605,070,54,045,07000US540459045385900,"West Logan town, Central district, Logan County, West Virginia",124,89,34,12,5,17,55,35,6,3,0,0,3,3,29,15,0,0,15,14
ACSSF,2010e5,wv,000,0034,0000606,070,54,045,07000US540459045399999,"Remainder of Central district, Central district, Logan County, West Virginia",1665,1160,477,92,74,311,683,505,184,133,82,0,51,51,321,166,0,49,117,155
ACSSF,2010e5,wv,000,0034,0000607,070,54,045,07000US540459097900196,"Accoville CDP, Eastern district, Logan County, West Virginia",174,149,65,17,0,48,84,25,0,0,0,0,0,0,25,0,0,0,0,25
ACSSF,2010e5,wv,000,0034,0000608,070,54,045,07000US540459097901660,"Amherstdale CDP, Eastern district, Logan County, West Virginia",101,40,15,0,0,15,25,61,37,0,0,0,0,37,24,24,24,0,0,0
ACSSF,2010e5,wv,000,0034,0000609,070,54,045,07000US540459097907228,"Big Creek CDP, Eastern district, Logan County, West Virginia",58,25,0,0,0,0,25,33,0,0,0,0,0,0,33,0,0,0,0,33
ACSSF,2010e5,wv,000,0034,0000610,070,54,045,07000US540459097910876,"Bruno CDP, Eastern district, Logan County, West Virginia",145,126,19,19,0,0,107,19,0,0,0,0,0,0,19,0,0,0,0,19
ACSSF,2010e5,wv,000,0034,0000611,070,54,045,07000US540459097914524,"Chapmanville town (part), Eastern district, Logan County, West Virginia",411,323,137,27,32,78,186,88,0,0,0,0,0,0,88,43,13,0,30,45
ACSSF,2010e5,wv,000,0034,0000612,070,54,045,07000US540459097944188,"Kistler CDP, Eastern district, Logan County, West Virginia",116,45,0,0,0,0,45,71,0,0,0,0,0,0,71,40,0,0,40,31
ACSSF,2010e5,wv,000,0034,0000613,070,54,045,07000US540459097950860,"Mallory CDP, Eastern district, Logan County, West Virginia",482,446,102,17,0,85,344,36,20,0,0,0,0,20,16,0,0,0,0,16
ACSSF,2010e5,wv,000,0034,0000614,070,54,045,07000US540459097950932,"Man town (part), Eastern district, Logan County, West Virginia",293,238,83,20,15,48,155,55,13,5,5,0,0,8,42,3,0,0,3,39
ACSSF,2010e5,wv,000,0034,0000615,070,54,045,07000US540459097969100,"Robinette CDP, Eastern district, Logan County, West Virginia",118,90,12,0,0,12,78,28,16,0,0,0,0,16,12,12,0,0,12,0
ACSSF,2010e5,wv,000,0034,0000616,070,54,045,07000US540459097999999,"Remainder of Eastern district, Eastern district, Logan County, West Virginia",2012,1514,615,156,134,325,899,498,101,61,0,0,61,40,397,84,56,0,28,313
ACSSF,2010e5,wv,000,0034,0000617,070,54,045,07000US540459360814524,"Chapmanville town (part), Western district, Logan County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000618,070,54,045,07000US540459360814716,"Chauncey CDP, Western district, Logan County, West Virginia",177,157,59,20,20,19,98,20,0,0,0,0,0,0,20,0,0,0,0,20
ACSSF,2010e5,wv,000,0034,0000619,070,54,045,07000US540459360837948,"Holden CDP, Western district, Logan County, West Virginia",185,121,97,47,21,29,24,64,0,0,0,0,0,0,64,27,0,0,27,37
ACSSF,2010e5,wv,000,0034,0000620,070,54,045,07000US540459360850932,"Man town (part), Western district, Logan County, West Virginia",47,28,0,0,0,0,28,19,19,19,0,0,19,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000621,070,54,045,07000US540459360855132,"Monaville CDP, Western district, Logan County, West Virginia",104,104,39,9,0,30,65,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000622,070,54,045,07000US540459360856342,"Mount Gay-Shamrock CDP (part), Western district, Logan County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000623,070,54,045,07000US540459360860628,"Omar CDP, Western district, Logan County, West Virginia",224,163,54,0,20,34,109,61,0,0,0,0,0,0,61,0,0,0,0,61
ACSSF,2010e5,wv,000,0034,0000624,070,54,045,07000US540459360870468,"Rossmore CDP, Western district, Logan County, West Virginia",68,9,0,0,0,0,9,59,17,0,0,0,0,17,42,16,0,16,0,26
ACSSF,2010e5,wv,000,0034,0000625,070,54,045,07000US540459360872004,"Sarah Ann CDP, Western district, Logan County, West Virginia",32,19,19,0,0,19,0,13,0,0,0,0,0,0,13,0,0,0,0,13
ACSSF,2010e5,wv,000,0034,0000626,070,54,045,07000US540459360878796,"Switzer CDP, Western district, Logan County, West Virginia",276,194,42,13,15,14,152,82,0,0,0,0,0,0,82,23,23,0,0,59
ACSSF,2010e5,wv,000,0034,0000627,070,54,045,07000US540459360883332,"Verdunville CDP (part), Western district, Logan County, West Virginia",79,79,39,0,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000628,070,54,045,07000US540459360899999,"Remainder of Western district, Western district, Logan County, West Virginia",2059,1553,572,6,153,413,981,506,96,54,32,0,22,42,410,165,37,30,98,245
ACSSF,2010e5,wv,000,0034,0000629,070,54,047,07000US540479016804732,"Bartley CDP, Big Creek district, McDowell County, West Virginia",21,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2010e5,wv,000,0034,0000630,070,54,047,07000US540479016806748,"Berwind CDP, Big Creek district, McDowell County, West Virginia",54,25,0,0,0,0,25,29,12,0,0,0,0,12,17,17,0,0,17,0
ACSSF,2010e5,wv,000,0034,0000631,070,54,047,07000US540479016819492,"Cucumber CDP, Big Creek district, McDowell County, West Virginia",35,19,6,6,0,0,13,16,0,0,0,0,0,0,16,16,0,0,16,0
ACSSF,2010e5,wv,000,0034,0000632,070,54,047,07000US540479016867228,"Raysal CDP (part), Big Creek district, McDowell County, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
