FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Married-couple family:,With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,Other family:,"Male householder, no wife present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,"Female householder, no husband present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years
ACSSF,2010e5,wv,000,0034,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",18968,14266,5062,963,930,3169,9204,4702,1006,453,68,20,365,553,3696,1911,482,213,1216,1785
ACSSF,2010e5,wv,000,0034,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",8414,6722,2446,542,535,1369,4276,1692,545,393,119,36,238,152,1147,613,110,50,453,534
ACSSF,2010e5,wv,000,0034,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",13590,11147,4733,1175,1033,2525,6414,2443,850,354,147,17,190,496,1593,840,182,137,521,753
ACSSF,2010e5,wv,000,0034,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",51064,38518,12743,2751,2413,7579,25775,12546,2944,1488,359,123,1006,1456,9602,5244,1366,827,3051,4358
ACSSF,2010e5,wv,000,0034,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",4243,3446,1044,118,237,689,2402,797,225,106,49,10,47,119,572,409,103,60,246,163
ACSSF,2010e5,wv,000,0034,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",6552,4941,2022,571,233,1218,2919,1611,464,201,49,38,114,263,1147,628,165,138,325,519
ACSSF,2010e5,wv,000,0034,0000035,050,54,045,05000US54045,"Logan County, West Virginia",10514,7853,2800,500,612,1688,5053,2661,618,307,127,0,180,311,2043,692,176,105,411,1351
ACSSF,2010e5,wv,000,0034,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",5490,4142,1201,171,226,804,2941,1348,334,101,2,20,79,233,1014,521,30,90,401,493
ACSSF,2010e5,wv,000,0034,0000037,050,54,049,05000US54049,"Marion County, West Virginia",15027,11349,4111,919,657,2535,7238,3678,990,473,44,29,400,517,2688,1453,321,155,977,1235
ACSSF,2010e5,wv,000,0034,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",9385,7314,2474,441,497,1536,4840,2071,614,307,134,0,173,307,1457,764,223,71,470,693
