FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2014e5,wv,000,0035,0000001,040,54,   ,04000US54,West Virginia,742359,481812,365213,116599,32580,84019,260547,222088,38459
ACSSF,2014e5,wv,000,0035,0000002,040,54,   ,04001US54,West Virginia -- Urban,372264,223516,159096,64420,16227,48193,148748,125928,22820
ACSSF,2014e5,wv,000,0035,0000003,040,54,   ,04043US54,West Virginia -- Rural,370095,258296,206117,52179,16353,35826,111799,96160,15639
ACSSF,2014e5,wv,000,0035,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,578727,372471,279758,92713,25132,67581,206256,174928,31328
ACSSF,2014e5,wv,000,0035,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,456700,291288,218458,72830,19915,52915,165412,139623,25789
ACSSF,2014e5,wv,000,0035,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,108148,57381,38881,18500,4468,14032,50767,42742,8025
ACSSF,2014e5,wv,000,0035,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,348552,233907,179577,54330,15447,38883,114645,96881,17764
ACSSF,2014e5,wv,000,0035,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,122027,81183,61300,19883,5217,14666,40844,35305,5539
ACSSF,2014e5,wv,000,0035,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,24680,14327,9703,4624,1165,3459,10353,8897,1456
ACSSF,2014e5,wv,000,0035,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,97347,66856,51597,15259,4052,11207,30491,26408,4083
ACSSF,2014e5,wv,000,0035,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,163632,109341,85455,23886,7448,16438,54291,47160,7131
ACSSF,2014e5,wv,000,0035,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,285659,190524,146755,43769,12665,31104,95135,82465,12670
ACSSF,2014e5,wv,000,0035,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6179,4272,3413,859,212,647,1907,1675,232
ACSSF,2014e5,wv,000,0035,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",40614,28848,21060,7788,2274,5514,11766,9716,2050
ACSSF,2014e5,wv,000,0035,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9602,6947,5211,1736,511,1225,2655,2332,323
ACSSF,2014e5,wv,000,0035,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",5652,3763,2981,782,310,472,1889,1658,231
ACSSF,2014e5,wv,000,0035,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10086,6553,4760,1793,580,1213,3533,3121,412
ACSSF,2014e5,wv,000,0035,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40220,23677,16480,7197,1702,5495,16543,13515,3028
ACSSF,2014e5,wv,000,0035,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3112,2117,1524,593,199,394,995,859,136
ACSSF,2014e5,wv,000,0035,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3486,2490,2106,384,106,278,996,770,226
ACSSF,2014e5,wv,000,0035,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2761,1883,1482,401,114,287,878,764,114
ACSSF,2014e5,wv,000,0035,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17566,11903,8484,3419,918,2501,5663,4842,821
ACSSF,2014e5,wv,000,0035,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2645,1621,1299,322,120,202,1024,785,239
ACSSF,2014e5,wv,000,0035,0000024,050,54,023,05000US54023,"Grant County, West Virginia",4256,2919,2421,498,192,306,1337,1085,252
ACSSF,2014e5,wv,000,0035,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15246,9741,7370,2371,759,1612,5505,4754,751
ACSSF,2014e5,wv,000,0035,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",10628,4595,3471,1124,277,847,6033,5776,257
ACSSF,2014e5,wv,000,0035,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",12970,8501,6485,2016,588,1428,4469,3937,532
ACSSF,2014e5,wv,000,0035,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",5169,3297,2526,771,352,419,1872,1674,198
ACSSF,2014e5,wv,000,0035,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",27755,18042,13825,4217,971,3246,9713,8591,1122
ACSSF,2014e5,wv,000,0035,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11242,7760,6046,1714,426,1288,3482,3026,456
ACSSF,2014e5,wv,000,0035,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",20126,14269,11095,3174,982,2192,5857,4555,1302
ACSSF,2014e5,wv,000,0035,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",82531,50937,36739,14198,3703,10495,31594,27038,4556
ACSSF,2014e5,wv,000,0035,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6476,4402,3424,978,246,732,2074,1741,333
ACSSF,2014e5,wv,000,0035,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8128,5625,4323,1302,392,910,2503,2285,218
ACSSF,2014e5,wv,000,0035,0000035,050,54,045,05000US54045,"Logan County, West Virginia",14444,10144,7583,2561,755,1806,4300,3600,700
ACSSF,2014e5,wv,000,0035,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",8386,5441,3765,1676,495,1181,2945,2536,409
ACSSF,2014e5,wv,000,0035,0000037,050,54,049,05000US54049,"Marion County, West Virginia",22596,14711,11023,3688,1056,2632,7885,6577,1308
ACSSF,2014e5,wv,000,0035,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",13847,9223,7382,1841,564,1277,4624,3812,812
ACSSF,2014e5,wv,000,0035,0000039,050,54,053,05000US54053,"Mason County, West Virginia",10729,7476,5583,1893,394,1499,3253,2807,446
ACSSF,2014e5,wv,000,0035,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",25590,16592,12393,4199,1053,3146,8998,7799,1199
ACSSF,2014e5,wv,000,0035,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",11148,6200,4651,1549,368,1181,4948,4656,292
ACSSF,2014e5,wv,000,0035,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",10836,7616,5778,1838,477,1361,3220,2865,355
ACSSF,2014e5,wv,000,0035,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",36857,19451,15086,4365,1371,2994,17406,12762,4644
ACSSF,2014e5,wv,000,0035,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",5719,4120,3131,989,200,789,1599,1392,207
ACSSF,2014e5,wv,000,0035,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",7358,3836,3153,683,234,449,3522,3132,390
ACSSF,2014e5,wv,000,0035,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",10686,7599,6123,1476,534,942,3087,2648,439
ACSSF,2014e5,wv,000,0035,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",18582,10899,8100,2799,611,2188,7683,6834,849
ACSSF,2014e5,wv,000,0035,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",3199,2034,1688,346,139,207,1165,988,177
ACSSF,2014e5,wv,000,0035,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",2822,1983,1581,402,154,248,839,679,160
ACSSF,2014e5,wv,000,0035,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",3719,2402,2045,357,127,230,1317,1086,231
ACSSF,2014e5,wv,000,0035,0000051,050,54,077,05000US54077,"Preston County, West Virginia",12610,8871,7257,1614,612,1002,3739,3072,667
ACSSF,2014e5,wv,000,0035,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",21453,15743,12675,3068,827,2241,5710,4840,870
ACSSF,2014e5,wv,000,0035,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",31164,20994,16026,4968,1208,3760,10170,8714,1456
ACSSF,2014e5,wv,000,0035,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",11351,7612,5909,1703,580,1123,3739,3364,375
ACSSF,2014e5,wv,000,0035,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",4023,2607,2037,570,191,379,1416,1281,135
ACSSF,2014e5,wv,000,0035,0000056,050,54,087,05000US54087,"Roane County, West Virginia",5902,3842,3031,811,189,622,2060,1770,290
ACSSF,2014e5,wv,000,0035,0000057,050,54,089,05000US54089,"Summers County, West Virginia",5560,3697,2948,749,270,479,1863,1734,129
ACSSF,2014e5,wv,000,0035,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",6801,4723,3502,1221,294,927,2078,1803,275
ACSSF,2014e5,wv,000,0035,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",2969,1938,1683,255,95,160,1031,909,122
ACSSF,2014e5,wv,000,0035,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",3750,2539,2022,517,129,388,1211,1067,144
ACSSF,2014e5,wv,000,0035,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",8937,6164,4893,1271,447,824,2773,2349,424
ACSSF,2014e5,wv,000,0035,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",16757,10877,7986,2891,745,2146,5880,5241,639
ACSSF,2014e5,wv,000,0035,0000063,050,54,101,05000US54101,"Webster County, West Virginia",3854,2706,1990,716,252,464,1148,988,160
ACSSF,2014e5,wv,000,0035,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",6734,4477,3491,986,238,748,2257,2020,237
ACSSF,2014e5,wv,000,0035,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",2425,1626,1289,337,46,291,799,578,221
ACSSF,2014e5,wv,000,0035,0000066,050,54,107,05000US54107,"Wood County, West Virginia",35900,23059,17792,5267,1530,3737,12841,11227,1614
ACSSF,2014e5,wv,000,0035,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",9201,6448,5092,1356,461,895,2753,2459,294
ACSSF,2014e5,wv,000,0035,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",2661,1806,1443,363,66,297,855,786,69
ACSSF,2014e5,wv,000,0035,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",2051,1471,1106,365,106,259,580,519,61
ACSSF,2014e5,wv,000,0035,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",1467,995,864,131,40,91,472,370,102
ACSSF,2014e5,wv,000,0035,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",6049,3622,2215,1407,419,988,2427,2108,319
ACSSF,2014e5,wv,000,0035,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",4151,3221,2638,583,104,479,930,687,243
ACSSF,2014e5,wv,000,0035,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",6809,4959,3774,1185,398,787,1850,1505,345
ACSSF,2014e5,wv,000,0035,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",7886,5585,4180,1405,454,951,2301,1886,415
ACSSF,2014e5,wv,000,0035,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",8009,5841,3799,2042,599,1443,2168,1822,346
ACSSF,2014e5,wv,000,0035,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",7710,5620,4454,1166,300,866,2090,1708,382
ACSSF,2014e5,wv,000,0035,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",3219,2237,1653,584,219,365,982,843,139
ACSSF,2014e5,wv,000,0035,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",2692,1924,1432,492,160,332,768,712,56
ACSSF,2014e5,wv,000,0035,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",3691,2786,2126,660,132,528,905,777,128
ACSSF,2014e5,wv,000,0035,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",1168,818,586,232,94,138,350,304,46
ACSSF,2014e5,wv,000,0035,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",1479,942,754,188,46,142,537,453,84
ACSSF,2014e5,wv,000,0035,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",1445,1077,855,222,105,117,368,314,54
ACSSF,2014e5,wv,000,0035,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",1560,926,786,140,65,75,634,587,47
ACSSF,2014e5,wv,000,0035,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",3243,2059,1593,466,131,335,1184,982,202
ACSSF,2014e5,wv,000,0035,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",3524,2250,1486,764,285,479,1274,1194,80
ACSSF,2014e5,wv,000,0035,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",3319,2244,1681,563,164,399,1075,945,130
ACSSF,2014e5,wv,000,0035,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",7665,4391,3004,1387,344,1043,3274,2601,673
ACSSF,2014e5,wv,000,0035,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",7293,2798,1643,1155,246,909,4495,3637,858
ACSSF,2014e5,wv,000,0035,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",7347,4295,2490,1805,436,1369,3052,2385,667
ACSSF,2014e5,wv,000,0035,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",9624,6474,4819,1655,444,1211,3150,2803,347
ACSSF,2014e5,wv,000,0035,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",8291,5719,4524,1195,232,963,2572,2089,483
ACSSF,2014e5,wv,000,0035,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",546,382,311,71,31,40,164,150,14
ACSSF,2014e5,wv,000,0035,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",624,389,243,146,106,40,235,188,47
ACSSF,2014e5,wv,000,0035,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",638,439,295,144,35,109,199,167,32
ACSSF,2014e5,wv,000,0035,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",678,469,361,108,5,103,209,177,32
ACSSF,2014e5,wv,000,0035,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",626,438,314,124,22,102,188,177,11
ACSSF,2014e5,wv,000,0035,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",1287,1024,878,146,29,117,263,234,29
ACSSF,2014e5,wv,000,0035,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",1195,701,576,125,18,107,494,349,145
ACSSF,2014e5,wv,000,0035,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",1004,765,652,113,59,54,239,187,52
ACSSF,2014e5,wv,000,0035,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",686,484,400,84,8,76,202,192,10
ACSSF,2014e5,wv,000,0035,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",614,429,317,112,45,67,185,142,43
ACSSF,2014e5,wv,000,0035,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",723,489,433,56,20,36,234,209,25
ACSSF,2014e5,wv,000,0035,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",738,481,332,149,41,108,257,221,36
ACSSF,2014e5,wv,000,0035,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",6314,4272,3417,855,311,544,2042,1660,382
ACSSF,2014e5,wv,000,0035,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",6329,4397,2896,1501,270,1231,1932,1676,256
ACSSF,2014e5,wv,000,0035,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",4923,3234,2171,1063,337,726,1689,1506,183
ACSSF,2014e5,wv,000,0035,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",631,428,406,22,0,22,203,166,37
ACSSF,2014e5,wv,000,0035,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",663,308,195,113,18,95,355,225,130
ACSSF,2014e5,wv,000,0035,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",679,444,363,81,54,27,235,202,33
