FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2010e5,wv,000,0040,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",17382,8204,27,25,27,191,269,175,187,28,3937,493,1186,527,720,261,73,78,9178,108,0,54,287,80,298,272,72,4076,630,885,838,994,489,63,32
ACSSF,2010e5,wv,000,0040,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",64645,30841,157,84,142,1051,665,850,852,373,11519,1605,4262,1724,4210,1923,1017,407,33804,328,159,136,1026,834,1218,939,434,11135,2255,5290,2741,4394,2264,530,121
ACSSF,2010e5,wv,000,0040,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",5498,2741,51,52,47,295,87,203,48,27,1340,123,222,28,139,69,0,10,2757,31,21,4,222,100,127,186,55,1094,159,299,235,156,68,0,0
ACSSF,2010e5,wv,000,0040,0000020,050,54,015,05000US54015,"Clay County, West Virginia",6581,3252,89,33,151,155,183,106,121,48,1639,59,234,234,117,75,0,8,3329,27,12,77,303,181,111,155,25,1422,164,339,165,156,133,54,5
ACSSF,2010e5,wv,000,0040,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",5604,2896,0,0,27,163,164,327,160,65,1324,220,239,88,89,24,6,0,2708,84,12,0,135,26,124,142,32,1255,184,275,111,267,61,0,0
ACSSF,2010e5,wv,000,0040,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",32771,16029,112,129,244,1185,645,704,501,160,7469,675,1999,539,1148,404,55,60,16742,122,85,265,1087,726,768,703,217,7340,600,2134,857,1195,590,48,5
ACSSF,2010e5,wv,000,0040,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",5869,3548,35,16,71,241,85,218,158,24,1501,239,396,162,251,118,3,30,2321,32,12,41,214,55,193,62,17,890,54,275,163,210,78,9,16
ACSSF,2010e5,wv,000,0040,0000024,050,54,023,05000US54023,"Grant County, West Virginia",8514,4197,41,29,73,312,115,118,144,54,2310,130,341,95,236,139,50,10,4317,49,36,27,287,141,143,120,65,2033,256,364,252,368,151,25,0
ACSSF,2010e5,wv,000,0040,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",25568,12127,202,102,170,733,366,569,521,240,4752,599,1370,503,1220,392,284,104,13441,104,67,140,640,408,694,493,239,5146,634,1720,769,1462,813,75,37
ACSSF,2010e5,wv,000,0040,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",16506,8256,32,79,45,463,491,355,426,148,4450,362,398,219,498,265,8,17,8250,47,37,8,341,236,365,426,74,4295,457,796,404,477,265,10,12
ACSSF,2010e5,wv,000,0040,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",22638,10633,60,7,83,282,156,158,231,205,4898,783,1474,796,1003,282,152,63,12005,63,25,54,499,181,416,306,105,5223,656,1306,1218,1309,515,108,21
ACSSF,2010e5,wv,000,0040,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",8925,4238,16,48,84,272,78,196,122,110,2338,235,283,148,186,110,7,5,4687,86,4,41,267,161,102,87,31,2256,412,315,384,334,172,20,15
ACSSF,2010e5,wv,000,0040,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",48222,22894,251,59,210,784,809,571,626,434,9116,1468,3096,1003,3030,933,319,185,25328,91,41,131,898,784,809,851,305,10174,1966,3542,1729,2529,1242,114,122
ACSSF,2010e5,wv,000,0040,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",20352,9785,63,21,48,530,390,480,275,121,4094,563,1449,485,907,228,115,16,10567,71,53,66,442,246,294,380,147,4212,778,1184,1012,1190,412,80,0
ACSSF,2010e5,wv,000,0040,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",34480,16927,213,47,131,337,617,731,516,323,5312,823,1817,1168,3057,1098,419,318,17553,88,19,106,207,459,694,383,232,6114,1350,2028,1208,2728,1498,247,192
ACSSF,2010e5,wv,000,0040,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",137904,64530,346,267,675,2115,1308,2077,2128,795,23448,3227,9016,2930,9759,3159,2684,596,73374,504,203,608,1932,1937,1876,1860,879,29074,4300,9102,4994,9844,4789,1024,448
ACSSF,2010e5,wv,000,0040,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",11833,5740,35,55,69,453,296,283,169,129,2684,190,471,258,450,101,57,40,6093,9,63,73,218,130,207,146,105,2988,452,501,424,557,205,0,15
ACSSF,2010e5,wv,000,0040,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",15237,7477,183,172,124,844,422,532,383,121,3003,263,699,227,387,68,49,0,7760,103,9,146,694,389,583,341,80,3128,486,836,295,349,304,14,3
ACSSF,2010e5,wv,000,0040,0000035,050,54,045,05000US54045,"Logan County, West Virginia",26264,12710,48,145,379,777,498,529,674,129,6071,497,1323,632,670,223,99,16,13554,105,71,299,900,635,600,724,73,5652,576,1431,1161,793,509,23,2
ACSSF,2010e5,wv,000,0040,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",16177,7761,53,220,433,1037,443,756,459,89,2653,255,692,213,318,125,15,0,8416,127,52,337,840,653,541,368,120,3512,295,742,264,375,149,41,0
ACSSF,2010e5,wv,000,0040,0000037,050,54,049,05000US54049,"Marion County, West Virginia",39085,18534,80,29,157,554,389,777,628,136,7847,1127,2457,647,2262,965,316,163,20551,60,28,90,709,421,615,495,145,8493,1420,2654,1627,2459,1061,194,80
ACSSF,2010e5,wv,000,0040,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",23901,11417,139,16,74,351,287,317,361,163,5287,905,1188,851,945,339,88,106,12484,130,3,114,329,383,187,472,208,5776,713,1744,988,894,500,43,0
ACSSF,2010e5,wv,000,0040,0000039,050,54,053,05000US54053,"Mason County, West Virginia",19238,9036,118,28,149,671,158,390,303,189,4137,427,1050,421,635,211,114,35,10202,102,35,102,626,353,415,314,79,4422,666,1432,671,593,384,5,3
ACSSF,2010e5,wv,000,0040,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",43748,20311,381,138,408,1352,847,852,492,287,8488,879,2458,644,2114,631,223,117,23437,245,90,374,1015,623,827,832,361,9546,1264,2840,1333,2566,1206,223,92
ACSSF,2010e5,wv,000,0040,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",19302,9242,18,13,27,406,134,212,337,129,4894,423,922,552,609,346,81,139,10060,27,12,45,254,277,243,238,253,4582,719,1215,865,680,594,37,19
ACSSF,2010e5,wv,000,0040,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",18793,9002,134,147,370,839,580,522,420,90,3729,395,837,308,367,211,32,21,9791,76,133,230,730,455,490,410,110,3762,531,1085,725,607,392,23,32
ACSSF,2010e5,wv,000,0040,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",52709,26347,265,58,121,654,541,453,804,418,8565,1251,2650,891,4484,2537,1175,1480,26362,177,11,224,751,741,508,590,453,8013,1166,2966,1574,4714,3133,575,766
ACSSF,2010e5,wv,000,0040,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",9729,4738,43,55,90,349,158,208,244,93,2078,248,475,157,411,53,59,17,4991,19,21,39,396,91,168,303,87,2031,387,524,169,483,211,46,16
ACSSF,2010e5,wv,000,0040,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",12554,6192,57,14,22,150,214,292,83,123,3488,306,481,209,648,71,34,0,6362,87,3,17,184,243,250,189,65,2910,471,824,283,522,294,0,20
ACSSF,2010e5,wv,000,0040,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",18691,9016,142,38,112,683,226,292,275,167,4589,231,1022,272,538,288,99,42,9675,54,52,156,532,290,389,197,144,4306,567,992,534,781,580,78,23
ACSSF,2010e5,wv,000,0040,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",31116,14438,139,0,78,281,222,415,319,178,5259,933,1908,841,2234,942,457,232,16678,68,5,88,358,337,421,284,209,6235,1130,2299,1042,2643,1256,174,129
ACSSF,2010e5,wv,000,0040,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",5777,2842,35,11,43,245,115,100,81,31,1244,210,220,132,255,43,8,69,2935,35,15,12,148,82,88,75,44,1331,269,239,217,230,140,6,4
ACSSF,2010e5,wv,000,0040,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",5479,2885,0,0,16,125,50,75,122,26,1539,186,410,143,92,75,14,12,2594,0,0,0,43,47,113,67,21,1099,211,432,182,274,105,0,0
ACSSF,2010e5,wv,000,0040,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",6595,3377,16,25,53,229,112,149,190,51,1575,106,288,144,336,87,0,16,3218,31,39,1,134,100,119,79,56,1457,206,425,117,344,110,0,0
