FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Renter occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc."
ACSSF,2014e5,wv,000,0110,0000001,040,54,   ,04000US54,West Virginia,742359,541607,69652,52971,183,110,100,0,16288,145672,104330,356,226,38,121,40601,141860,119781,512,217,30,123,21197,102350,100815,471,188,85,79,712,82073,80970,750,99,23,48,183,200752,21139,6286,2694,5815,1436,845,4063,51983,13807,7167,10681,2642,3332,14354,57614,21618,9217,9300,2315,4081,11083,38173,26552,6194,3552,644,805,426,31843,21661,5729,3038,561,800,54
ACSSF,2014e5,wv,000,0110,0000002,040,54,   ,04001US54,West Virginia -- Urban,372264,244510,25660,21286,171,102,86,0,4015,47171,36263,267,198,38,121,10284,63692,58088,418,217,30,123,4816,63690,62819,345,188,74,69,195,44297,43458,564,99,23,48,105,127754,14388,3727,2116,5125,1303,737,1380,29706,6065,5727,8665,1966,3045,4238,35327,10759,7857,7856,2096,3930,2829,27597,17278,5578,3211,589,787,154,20736,12091,4944,2492,460,707,42
ACSSF,2014e5,wv,000,0110,0000003,040,54,   ,04043US54,West Virginia -- Rural,370095,297097,43992,31685,12,8,14,0,12273,98501,68067,89,28,0,0,30317,78168,61693,94,0,0,0,16381,38660,37996,126,0,11,10,517,37776,37512,186,0,0,0,78,72998,6751,2559,578,690,133,108,2683,22277,7742,1440,2016,676,287,10116,22287,10859,1360,1444,219,151,8254,10576,9274,616,341,55,18,272,11107,9570,785,546,101,93,12
ACSSF,2014e5,wv,000,0110,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,578727,415828,54296,42566,177,110,100,0,11343,107215,78106,348,213,38,121,28389,108347,93637,478,217,30,123,13862,83361,82133,351,188,85,79,525,62609,61702,615,88,11,48,145,162899,18105,5271,2390,5481,1385,784,2794,41387,10434,6078,9386,2277,2833,10379,45945,16733,7779,7936,2009,3614,7874,32111,21791,5479,3116,574,774,377,25351,16403,5100,2612,516,678,42
ACSSF,2014e5,wv,000,0110,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,456700,323441,44503,35434,177,81,93,0,8718,83866,62456,261,200,38,121,20790,85422,74596,438,208,30,113,10037,65473,64527,293,188,81,69,315,44177,43400,522,88,11,48,108,133259,15791,4759,2037,4731,1253,750,2261,33831,8405,5104,7815,2085,2530,7892,38191,13677,6704,6710,1840,3081,6179,25906,17567,4563,2437,404,600,335,19540,12549,4000,1992,444,513,42
ACSSF,2014e5,wv,000,0110,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,108148,62267,2811,2516,13,26,57,0,199,6207,5571,119,77,21,52,367,13981,13377,177,119,30,113,165,22094,21902,118,47,9,18,0,17174,16678,373,63,0,44,16,45881,3418,681,615,1077,475,407,163,6890,1092,1599,1963,650,1384,202,13197,3171,3631,2580,1008,2559,248,12136,7063,2971,1369,196,531,6,10240,5016,3047,1432,314,431,0
ACSSF,2014e5,wv,000,0110,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,348552,261174,41692,32918,164,55,36,0,8519,77659,56885,142,123,17,69,20423,71441,61219,261,89,0,0,9872,43379,42625,175,141,72,51,315,27003,26722,149,25,11,4,92,87378,12373,4078,1422,3654,778,343,2098,26941,7313,3505,5852,1435,1146,7690,24994,10506,3073,4130,832,522,5931,13770,10504,1592,1068,208,69,329,9300,7533,953,560,130,82,42
ACSSF,2014e5,wv,000,0110,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,122027,92387,9793,7132,0,29,7,0,2625,23349,15650,87,13,0,0,7599,22925,19041,40,9,0,10,3825,17888,17606,58,0,4,10,210,18432,18302,93,0,0,0,37,29640,2314,512,353,750,132,34,533,7556,2029,974,1571,192,303,2487,7754,3056,1075,1226,169,533,1695,6205,4224,916,679,170,174,42,5811,3854,1100,620,72,165,0
ACSSF,2014e5,wv,000,0110,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,24680,16170,380,353,0,0,0,0,27,1215,1062,0,3,0,0,150,3104,3002,23,9,0,0,70,6020,5976,40,0,4,0,0,5451,5347,67,0,0,0,37,8510,273,70,114,60,24,0,5,886,290,298,189,32,51,26,2099,850,457,441,47,269,35,2852,1414,712,472,113,124,17,2400,1085,765,331,60,159,0
ACSSF,2014e5,wv,000,0110,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,97347,76217,9413,6779,0,29,7,0,2598,22134,14588,87,10,0,0,7449,19821,16039,17,0,0,10,3755,11868,11630,18,0,0,10,210,12981,12955,26,0,0,0,0,21130,2041,442,239,690,108,34,528,6670,1739,676,1382,160,252,2461,5655,2206,618,785,122,264,1660,3353,2810,204,207,57,50,25,3411,2769,335,289,12,6,0
