FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
ACSSF,2010e5,wv,000,0053,0000051,050,54,077,05000US54077,"Preston County, West Virginia",40753
ACSSF,2010e5,wv,000,0053,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",52618
ACSSF,2010e5,wv,000,0053,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",38036
ACSSF,2010e5,wv,000,0053,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",36176
ACSSF,2010e5,wv,000,0053,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",32619
ACSSF,2010e5,wv,000,0053,0000056,050,54,087,05000US54087,"Roane County, West Virginia",27428
ACSSF,2010e5,wv,000,0053,0000057,050,54,089,05000US54089,"Summers County, West Virginia",27720
ACSSF,2010e5,wv,000,0053,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",36956
ACSSF,2010e5,wv,000,0053,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",32712
ACSSF,2010e5,wv,000,0053,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",33496
ACSSF,2010e5,wv,000,0053,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",36114
ACSSF,2010e5,wv,000,0053,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",35079
ACSSF,2010e5,wv,000,0053,0000063,050,54,101,05000US54101,"Webster County, West Virginia",28025
ACSSF,2010e5,wv,000,0053,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",36636
ACSSF,2010e5,wv,000,0053,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",36705
ACSSF,2010e5,wv,000,0053,0000066,050,54,107,05000US54107,"Wood County, West Virginia",42146
ACSSF,2010e5,wv,000,0053,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",36343
ACSSF,2010e5,wv,000,0053,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",32009
ACSSF,2010e5,wv,000,0053,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",31628
ACSSF,2010e5,wv,000,0053,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",28750
ACSSF,2010e5,wv,000,0053,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",31280
ACSSF,2010e5,wv,000,0053,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",76826
ACSSF,2010e5,wv,000,0053,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",54637
ACSSF,2010e5,wv,000,0053,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",58956
ACSSF,2010e5,wv,000,0053,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",52756
ACSSF,2010e5,wv,000,0053,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",59740
ACSSF,2010e5,wv,000,0053,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",43910
ACSSF,2010e5,wv,000,0053,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",37721
ACSSF,2010e5,wv,000,0053,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",40033
ACSSF,2010e5,wv,000,0053,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",38803
ACSSF,2010e5,wv,000,0053,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",35273
ACSSF,2010e5,wv,000,0053,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",26131
ACSSF,2010e5,wv,000,0053,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",28681
