FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
ACSSF,2012e5,wv,000,0004,0000001,040,54,   ,04000US54,West Virginia,1850481,1737369,58260,2934,12694,531,3993,34700,1342,33358
ACSSF,2012e5,wv,000,0004,0000002,040,54,   ,04001US54,West Virginia -- Urban,896532,814066,46291,1534,10461,289,3054,20837,876,19961
ACSSF,2012e5,wv,000,0004,0000003,040,54,   ,04043US54,West Virginia -- Rural,953949,923303,11969,1400,2233,242,939,13863,466,13397
ACSSF,2012e5,wv,000,0004,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1396647,1299796,49852,2084,11735,351,3421,29408,1060,28348
ACSSF,2012e5,wv,000,0004,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,1031847,959365,33996,1354,9884,156,2614,24478,845,23633
ACSSF,2012e5,wv,000,0004,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,238161,210688,14913,490,3381,60,702,7927,227,7700
ACSSF,2012e5,wv,000,0004,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,793686,748677,19083,864,6503,96,1912,16551,618,15933
ACSSF,2012e5,wv,000,0004,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,364800,340431,15856,730,1851,195,807,4930,215,4715
ACSSF,2012e5,wv,000,0004,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,75404,63793,9076,167,695,80,244,1349,11,1338
ACSSF,2012e5,wv,000,0004,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,289396,276638,6780,563,1156,115,563,3581,204,3377
ACSSF,2012e5,wv,000,0004,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,453834,437573,8408,850,959,180,572,5292,282,5010
ACSSF,2012e5,wv,000,0004,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,818634,778004,24264,1580,2810,375,1379,10222,497,9725
ACSSF,2012e5,wv,000,0004,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",16472,15952,68,114,45,0,0,293,11,282
ACSSF,2012e5,wv,000,0004,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",104410,92146,7511,183,897,10,888,2775,167,2608
ACSSF,2012e5,wv,000,0004,0000015,050,54,005,05000US54005,"Boone County, West Virginia",24617,24256,232,0,3,0,0,126,10,116
ACSSF,2012e5,wv,000,0004,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",14531,14294,86,63,11,0,2,75,10,65
ACSSF,2012e5,wv,000,0004,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",24021,23274,412,51,103,0,45,136,33,103
ACSSF,2012e5,wv,000,0004,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",96240,88132,4510,217,985,22,109,2265,8,2257
ACSSF,2012e5,wv,000,0004,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",7613,7443,18,5,3,0,0,144,0,144
ACSSF,2012e5,wv,000,0004,0000020,050,54,015,05000US54015,"Clay County, West Virginia",9432,9284,17,4,0,0,3,124,0,124
ACSSF,2012e5,wv,000,0004,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",8147,8008,45,1,0,0,0,93,0,93
ACSSF,2012e5,wv,000,0004,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",46000,42903,2257,103,76,0,163,498,34,464
ACSSF,2012e5,wv,000,0004,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",8623,7112,994,38,30,0,126,323,86,237
ACSSF,2012e5,wv,000,0004,0000024,050,54,023,05000US54023,"Grant County, West Virginia",11929,11652,69,2,0,0,43,163,0,163
ACSSF,2012e5,wv,000,0004,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",35572,33618,1015,65,94,16,44,720,107,613
ACSSF,2012e5,wv,000,0004,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",23791,23137,254,0,85,2,87,226,0,226
ACSSF,2012e5,wv,000,0004,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",30594,29317,579,53,87,0,0,558,5,553
ACSSF,2012e5,wv,000,0004,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",13912,13237,446,24,13,0,148,44,10,34
ACSSF,2012e5,wv,000,0004,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",68959,66193,1047,139,348,118,142,972,31,941
ACSSF,2012e5,wv,000,0004,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",29206,28721,163,5,0,0,0,317,5,312
ACSSF,2012e5,wv,000,0004,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",53545,47187,3342,45,745,0,627,1599,171,1428
ACSSF,2012e5,wv,000,0004,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",192572,171522,8050,243,2082,0,111,10564,147,10417
ACSSF,2012e5,wv,000,0004,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",16389,16005,44,14,41,23,0,262,0,262
ACSSF,2012e5,wv,000,0004,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",21714,21424,51,10,32,0,0,197,0,197
ACSSF,2012e5,wv,000,0004,0000035,050,54,045,05000US54045,"Logan County, West Virginia",36508,35274,823,62,118,1,29,201,0,201
ACSSF,2012e5,wv,000,0004,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",21966,19511,2288,14,26,0,0,127,0,127
ACSSF,2012e5,wv,000,0004,0000037,050,54,049,05000US54049,"Marion County, West Virginia",56460,53352,1928,35,142,29,34,940,2,938
ACSSF,2012e5,wv,000,0004,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",32993,32362,209,29,153,0,31,209,10,199
ACSSF,2012e5,wv,000,0004,0000039,050,54,053,05000US54053,"Mason County, West Virginia",27242,26601,174,15,0,0,0,452,9,443
ACSSF,2012e5,wv,000,0004,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",62251,57036,3566,223,370,0,165,891,42,849
ACSSF,2012e5,wv,000,0004,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",28049,26754,935,4,14,0,25,317,4,313
ACSSF,2012e5,wv,000,0004,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",26660,25762,593,14,79,0,39,173,0,173
ACSSF,2012e5,wv,000,0004,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",96417,87808,3234,121,3163,45,306,1740,52,1688
ACSSF,2012e5,wv,000,0004,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",13528,13181,117,49,0,0,0,181,11,170
ACSSF,2012e5,wv,000,0004,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",17507,17073,131,11,87,0,0,205,20,185
ACSSF,2012e5,wv,000,0004,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",26201,25668,3,186,131,0,27,186,0,186
ACSSF,2012e5,wv,000,0004,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",44307,41418,1664,70,432,1,59,663,40,623
ACSSF,2012e5,wv,000,0004,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",7666,7327,229,6,7,0,33,64,0,64
ACSSF,2012e5,wv,000,0004,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",7630,7383,69,12,0,0,0,166,12,154
