FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Built 2005 or later,Built 2000 to 2004,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
ACSSF,2011e5,wv,000,0101,0000001,040,54,   ,04000US54,West Virginia,880962,29961,49717,117394,118184,154080,85713,99264,74401,152248
ACSSF,2011e5,wv,000,0101,0000002,040,54,   ,04001US54,West Virginia -- Urban,398306,11429,16583,38116,41285,60694,46369,59042,45016,79772
ACSSF,2011e5,wv,000,0101,0000003,040,54,   ,04043US54,West Virginia -- Rural,482656,18532,33134,79278,76899,93386,39344,40222,29385,72476
ACSSF,2011e5,wv,000,0101,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,647057,23687,38167,85113,80677,108952,66028,77858,57571,109004
ACSSF,2011e5,wv,000,0101,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,476886,18909,30785,64278,60845,79313,51431,57335,40621,73369
ACSSF,2011e5,wv,000,0101,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,118751,2612,3196,6133,8469,13457,14333,20635,17472,32444
ACSSF,2011e5,wv,000,0101,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,358135,16297,27589,58145,52376,65856,37098,36700,23149,40925
ACSSF,2011e5,wv,000,0101,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,170171,4778,7382,20835,19832,29639,14597,20523,16950,35635
ACSSF,2011e5,wv,000,0101,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,37760,429,787,1606,2352,4650,4028,7005,6090,10813
ACSSF,2011e5,wv,000,0101,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,132411,4349,6595,19229,17480,24989,10569,13518,10860,24822
ACSSF,2011e5,wv,000,0101,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,233905,6274,11550,32281,37507,45128,19685,21406,16830,43244
ACSSF,2011e5,wv,000,0101,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,404076,11052,18932,53116,57339,74767,34282,41929,33780,78879
ACSSF,2011e5,wv,000,0101,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7829,207,227,955,1065,1834,626,527,915,1473
ACSSF,2011e5,wv,000,0101,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",44250,4919,6753,9538,6984,6053,2484,2194,905,4420
ACSSF,2011e5,wv,000,0101,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11146,251,724,2015,1908,2030,841,1027,1031,1319
ACSSF,2011e5,wv,000,0101,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7437,209,483,1176,1424,1355,585,495,350,1360
ACSSF,2011e5,wv,000,0101,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10984,142,259,906,795,1951,1202,2189,1121,2419
ACSSF,2011e5,wv,000,0101,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46139,1302,2152,4288,4644,7059,5578,5745,6464,8907
ACSSF,2011e5,wv,000,0101,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3958,94,220,531,563,886,290,338,340,696
ACSSF,2011e5,wv,000,0101,0000020,050,54,015,05000US54015,"Clay County, West Virginia",4604,88,248,965,848,785,362,463,273,572
ACSSF,2011e5,wv,000,0101,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",3928,114,180,450,581,733,177,277,178,1238
ACSSF,2011e5,wv,000,0101,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",21678,349,741,2012,2212,4226,1795,2924,2282,5137
ACSSF,2011e5,wv,000,0101,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",3464,87,182,363,842,499,331,220,117,823
ACSSF,2011e5,wv,000,0101,0000024,050,54,023,05000US54023,"Grant County, West Virginia",6362,160,348,1102,1175,1323,494,263,248,1249
ACSSF,2011e5,wv,000,0101,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",18917,615,970,2455,2008,3370,1895,2377,1622,3605
ACSSF,2011e5,wv,000,0101,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",13562,255,458,2340,2662,3155,1820,764,865,1243
ACSSF,2011e5,wv,000,0101,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",14569,238,508,1169,983,2434,2153,2972,1824,2288
ACSSF,2011e5,wv,000,0101,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",8040,137,498,1572,1429,1575,1125,602,220,882
ACSSF,2011e5,wv,000,0101,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",31462,895,1203,3388,3508,4096,2899,4236,3335,7902
ACSSF,2011e5,wv,000,0101,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",13255,643,1118,1994,1788,2849,1604,1261,474,1524
ACSSF,2011e5,wv,000,0101,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",21858,1376,3219,3562,4231,3717,1714,947,731,2361
ACSSF,2011e5,wv,000,0101,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",92789,2500,4039,8445,9972,14532,11448,16583,12661,12609
ACSSF,2011e5,wv,000,0101,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",7969,254,307,1028,993,1336,854,851,635,1711
