FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
ACSSF,2012e5,wv,000,0058,0000001,040,54,   ,04000US54,West Virginia,742674,75845,55795,55969,52112,46537,44071,37822,38932,32306,62666,70755,77614,42265,20688,15778,13519
ACSSF,2012e5,wv,000,0058,0000002,040,54,   ,04001US54,West Virginia -- Urban,372682,40878,28776,27249,26356,21938,21108,18586,18226,15326,30657,34736,38522,21958,11466,8644,8256
ACSSF,2012e5,wv,000,0058,0000003,040,54,   ,04043US54,West Virginia -- Rural,369992,34967,27019,28720,25756,24599,22963,19236,20706,16980,32009,36019,39092,20307,9222,7134,5263
ACSSF,2012e5,wv,000,0058,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,562260,54791,40749,40424,38006,33978,32800,28231,29026,24571,47264,55048,61027,33892,17524,13313,11616
ACSSF,2012e5,wv,000,0058,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,416767,40210,29289,28157,26785,24527,23620,20927,21043,18356,35648,41404,46181,26288,13562,10970,9800
ACSSF,2012e5,wv,000,0058,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,102387,14127,9039,7908,7126,6098,5409,5008,4595,3913,7953,8767,8901,5300,2591,2358,3294
ACSSF,2012e5,wv,000,0058,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,314380,26083,20250,20249,19659,18429,18211,15919,16448,14443,27695,32637,37280,20988,10971,8612,6506
ACSSF,2012e5,wv,000,0058,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,145493,14581,11460,12267,11221,9451,9180,7304,7983,6215,11616,13644,14846,7604,3962,2343,1816
ACSSF,2012e5,wv,000,0058,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,31686,3936,3042,2817,2447,1734,1955,1537,1628,1213,2608,2748,2908,1456,677,529,451
ACSSF,2012e5,wv,000,0058,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113807,10645,8418,9450,8774,7717,7225,5767,6355,5002,9008,10896,11938,6148,3285,1814,1365
ACSSF,2012e5,wv,000,0058,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,180414,21054,15046,15545,14106,12559,11271,9591,9906,7735,15402,15707,16587,8373,3164,2465,1903
ACSSF,2012e5,wv,000,0058,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,325907,35635,26506,27812,25327,22010,20451,16895,17889,13950,27018,29351,31433,15977,7126,4808,3719
ACSSF,2012e5,wv,000,0058,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6206,597,610,512,430,520,324,358,391,347,613,549,552,220,62,73,48
ACSSF,2012e5,wv,000,0058,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",39992,2339,2100,2236,2018,1686,2044,1956,2307,2098,3275,4482,5937,3568,1622,1498,826
ACSSF,2012e5,wv,000,0058,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9755,1118,620,796,604,545,548,374,433,377,924,1113,949,730,332,178,114
ACSSF,2012e5,wv,000,0058,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6009,755,523,653,553,390,371,348,359,203,356,435,510,355,68,59,71
ACSSF,2012e5,wv,000,0058,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9911,603,611,855,601,865,591,548,557,361,1073,938,1134,549,343,170,112
ACSSF,2012e5,wv,000,0058,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40484,5251,3531,2970,2773,2353,2528,2190,1787,1639,2963,3793,3982,1871,994,929,930
ACSSF,2012e5,wv,000,0058,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3182,395,318,321,373,215,171,109,278,93,194,253,216,77,76,73,20
ACSSF,2012e5,wv,000,0058,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3441,477,420,237,302,193,137,198,159,135,352,298,290,188,29,18,8
ACSSF,2012e5,wv,000,0058,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2773,296,246,351,211,227,233,97,133,157,347,232,69,133,24,3,14
ACSSF,2012e5,wv,000,0058,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17733,1644,1707,1783,1348,1355,1045,1074,1011,672,1230,1623,1831,677,339,297,97
ACSSF,2012e5,wv,000,0058,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2539,349,169,288,179,130,139,122,125,126,207,267,242,85,47,23,41
ACSSF,2012e5,wv,000,0058,0000024,050,54,023,05000US54023,"Grant County, West Virginia",4673,309,337,397,292,377,353,260,269,229,459,519,546,162,106,42,16
ACSSF,2012e5,wv,000,0058,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15397,1874,1335,1201,995,1065,922,902,947,744,1396,1443,1247,486,279,253,308
ACSSF,2012e5,wv,000,0058,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",10563,1584,1165,985,956,789,798,532,576,498,700,825,660,245,131,93,26
ACSSF,2012e5,wv,000,0058,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",12989,1075,978,1005,924,1168,962,627,737,507,1015,1063,1363,632,339,341,253
ACSSF,2012e5,wv,000,0058,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",4764,406,343,510,435,339,395,181,342,213,415,405,458,113,103,61,45
ACSSF,2012e5,wv,000,0058,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",27761,2861,1977,2008,1955,1856,1630,1164,1432,1190,2314,2514,3094,1799,1135,440,392
ACSSF,2012e5,wv,000,0058,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11399,912,788,810,727,811,856,672,403,422,1146,972,1259,918,261,244,198
ACSSF,2012e5,wv,000,0058,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",19824,841,784,733,1063,691,1021,943,1000,712,1556,2064,3040,1959,1296,1246,875
ACSSF,2012e5,wv,000,0058,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",82961,6562,5549,5641,5374,4802,4210,4608,4237,3932,7591,8479,9393,4983,2584,2232,2784
ACSSF,2012e5,wv,000,0058,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6570,808,528,490,565,488,389,372,351,239,405,505,674,389,120,91,156
ACSSF,2012e5,wv,000,0058,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8500,1089,790,762,537,536,638,343,402,510,699,1028,735,239,98,50,44
ACSSF,2012e5,wv,000,0058,0000035,050,54,045,05000US54045,"Logan County, West Virginia",14802,1834,968,1436,1039,992,840,1010,736,489,1174,1189,1531,799,413,265,87
