FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
ACSSF,2014e5,wv,000,0004,0000001,040,54,   ,04000US54,West Virginia,1853881,1735816,59129,3075,13144,645,5151,36921,1561,35360
ACSSF,2014e5,wv,000,0004,0000002,040,54,   ,04001US54,West Virginia -- Urban,903703,815743,47470,1584,11008,298,3892,23708,1010,22698
ACSSF,2014e5,wv,000,0004,0000003,040,54,   ,04043US54,West Virginia -- Rural,950178,920073,11659,1491,2136,347,1259,13213,551,12662
ACSSF,2014e5,wv,000,0004,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1443146,1340507,51928,2404,12196,468,4552,31091,1252,29839
ACSSF,2014e5,wv,000,0004,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,1137145,1049597,43540,1680,10795,268,4278,26987,1072,25915
ACSSF,2014e5,wv,000,0004,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,254635,219596,19799,505,4424,122,1105,9084,161,8923
ACSSF,2014e5,wv,000,0004,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,882510,830001,23741,1175,6371,146,3173,17903,911,16992
ACSSF,2014e5,wv,000,0004,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,306001,290910,8388,724,1401,200,274,4104,180,3924
ACSSF,2014e5,wv,000,0004,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,59111,52456,4908,179,390,72,85,1021,52,969
ACSSF,2014e5,wv,000,0004,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,246890,238454,3480,545,1011,128,189,3083,128,2955
ACSSF,2014e5,wv,000,0004,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,410735,395309,7201,671,948,177,599,5830,309,5521
ACSSF,2014e5,wv,000,0004,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,716736,686219,15589,1395,2349,377,873,9934,489,9445
ACSSF,2014e5,wv,000,0004,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",16723,16206,140,127,59,0,0,191,0,191
ACSSF,2014e5,wv,000,0004,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",107324,94247,7663,124,897,44,1296,3053,128,2925
ACSSF,2014e5,wv,000,0004,0000015,050,54,005,05000US54005,"Boone County, West Virginia",24257,23860,209,0,8,0,40,140,1,139
ACSSF,2014e5,wv,000,0004,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",14492,14209,95,12,22,1,1,152,0,152
