FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2013e5,wv,000,0104,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",29929,19512,513,538,721,823,815,276,253,6478,0
ACSSF,2013e5,wv,000,0104,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",13031,9892,243,342,273,284,44,22,224,1705,2
ACSSF,2013e5,wv,000,0104,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",12642,7725,15,143,196,397,38,7,215,3896,10
ACSSF,2013e5,wv,000,0104,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",43480,21598,1845,2065,2602,3264,3106,2208,1188,5564,40
ACSSF,2013e5,wv,000,0104,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",7576,5868,43,46,40,28,31,11,0,1504,5
ACSSF,2013e5,wv,000,0104,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",9757,7756,90,118,203,161,72,30,6,1302,19
ACSSF,2013e5,wv,000,0104,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",13009,8776,24,92,226,175,37,77,160,3442,0
ACSSF,2013e5,wv,000,0104,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",21125,14323,942,1260,1317,497,450,276,1090,970,0
ACSSF,2013e5,wv,000,0104,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",5135,3697,78,72,50,61,4,0,0,1173,0
ACSSF,2013e5,wv,000,0104,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",3374,2549,11,68,66,109,42,10,0,519,0
ACSSF,2013e5,wv,000,0104,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",8814,5208,168,99,81,290,23,295,1174,1476,0
ACSSF,2013e5,wv,000,0104,0000051,050,54,077,05000US54077,"Preston County, West Virginia",15046,11497,140,165,314,309,32,66,0,2523,0
ACSSF,2013e5,wv,000,0104,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",23502,17381,514,227,312,603,312,220,100,3813,20
ACSSF,2013e5,wv,000,0104,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",35900,26418,545,623,799,734,528,240,507,5506,0
ACSSF,2013e5,wv,000,0104,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",14163,10297,118,258,457,297,164,178,126,2256,12
ACSSF,2013e5,wv,000,0104,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",5826,4436,7,42,50,110,30,15,0,1136,0
ACSSF,2013e5,wv,000,0104,0000056,050,54,087,05000US54087,"Roane County, West Virginia",7361,5229,41,38,154,88,7,102,18,1684,0
ACSSF,2013e5,wv,000,0104,0000057,050,54,089,05000US54089,"Summers County, West Virginia",7657,5946,45,92,117,77,31,13,73,1263,0
ACSSF,2013e5,wv,000,0104,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",7504,5809,25,141,162,129,33,96,133,976,0
ACSSF,2013e5,wv,000,0104,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",5334,4364,54,97,69,111,16,86,34,503,0
ACSSF,2013e5,wv,000,0104,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",4995,3971,20,56,25,65,5,35,6,806,6
ACSSF,2013e5,wv,000,0104,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",11082,8104,39,180,194,113,85,26,112,2229,0
ACSSF,2013e5,wv,000,0104,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",19215,13763,60,184,416,334,186,175,84,4001,12
ACSSF,2013e5,wv,000,0104,0000063,050,54,101,05000US54101,"Webster County, West Virginia",5417,3856,9,25,38,155,33,74,5,1222,0
ACSSF,2013e5,wv,000,0104,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",8152,5928,56,192,173,110,106,96,44,1440,7
ACSSF,2013e5,wv,000,0104,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",3224,2194,0,13,6,22,11,2,0,976,0
ACSSF,2013e5,wv,000,0104,0000066,050,54,107,05000US54107,"Wood County, West Virginia",40194,30528,442,1469,1244,1287,739,446,641,3379,19
ACSSF,2013e5,wv,000,0104,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",10893,7382,41,129,58,142,62,30,0,3008,41
ACSSF,2013e5,wv,000,0104,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",3163,2179,52,63,23,101,33,8,117,587,0
ACSSF,2013e5,wv,000,0104,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",2814,2148,10,10,37,63,0,3,0,540,3
ACSSF,2013e5,wv,000,0104,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",1846,1428,8,24,21,9,0,0,0,356,0
ACSSF,2013e5,wv,000,0104,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",7034,4110,674,368,605,590,151,97,296,143,0
ACSSF,2013e5,wv,000,0104,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",4286,3640,202,18,32,52,133,24,20,165,0
ACSSF,2013e5,wv,000,0104,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",7135,4246,684,65,23,316,491,52,26,1232,0
ACSSF,2013e5,wv,000,0104,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",8363,6557,490,48,12,0,123,5,22,1106,0
ACSSF,2013e5,wv,000,0104,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",8483,5309,1060,0,221,192,95,40,37,1529,0
ACSSF,2013e5,wv,000,0104,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",9764,7653,293,47,78,12,16,0,0,1665,0
ACSSF,2013e5,wv,000,0104,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",3845,2259,4,21,28,72,6,47,14,1371,23
ACSSF,2013e5,wv,000,0104,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",3247,2231,31,0,16,7,0,0,0,931,31
ACSSF,2013e5,wv,000,0104,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",3961,2381,52,62,75,38,7,27,100,1219,0
ACSSF,2013e5,wv,000,0104,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",1550,980,19,10,71,41,27,26,2,374,0
ACSSF,2013e5,wv,000,0104,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",1960,1229,0,7,18,16,0,0,0,690,0
ACSSF,2013e5,wv,000,0104,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",1913,1437,27,0,9,0,0,0,0,440,0
ACSSF,2013e5,wv,000,0104,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",1964,1459,3,40,29,39,11,14,3,366,0
ACSSF,2013e5,wv,000,0104,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",3754,3063,40,82,97,171,0,13,0,288,0
ACSSF,2013e5,wv,000,0104,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",3547,2825,0,51,66,162,95,102,65,181,0
ACSSF,2013e5,wv,000,0104,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",3618,2933,107,81,131,89,0,54,0,223,0
ACSSF,2013e5,wv,000,0104,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",8705,6716,132,573,197,221,192,140,250,284,0
ACSSF,2013e5,wv,000,0104,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",9040,4337,144,833,942,850,530,478,822,104,0
ACSSF,2013e5,wv,000,0104,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",8408,5818,63,462,304,673,505,124,59,400,0
ACSSF,2013e5,wv,000,0104,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",10634,6640,262,303,603,954,513,198,98,1063,0
ACSSF,2013e5,wv,000,0104,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",9363,6596,31,106,179,191,126,67,4,2063,0
ACSSF,2013e5,wv,000,0104,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",738,580,0,11,0,0,0,0,0,147,0
