FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2014e5,wv,000,0103,0000001,040,54,   ,04000US54,West Virginia,883197,622940,17634,19236,24719,26016,14750,9474,12639,135413,376
ACSSF,2014e5,wv,000,0103,0000002,040,54,   ,04001US54,West Virginia -- Urban,423397,286877,14458,15980,20667,20605,13324,7855,10690,32867,74
ACSSF,2014e5,wv,000,0103,0000003,040,54,   ,04043US54,West Virginia -- Rural,459800,336063,3176,3256,4052,5411,1426,1619,1949,102546,302
ACSSF,2014e5,wv,000,0103,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,667159,469120,15943,16667,20967,21992,13384,8162,10153,90560,211
ACSSF,2014e5,wv,000,0103,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,523963,365465,14513,13565,17637,17979,11391,7363,8799,67087,164
ACSSF,2014e5,wv,000,0103,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,125157,82718,3781,7581,8971,6302,4593,3274,6249,1688,0
ACSSF,2014e5,wv,000,0103,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,398806,282747,10732,5984,8666,11677,6798,4089,2550,65399,164
ACSSF,2014e5,wv,000,0103,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,143196,103655,1430,3102,3330,4013,1993,799,1354,23473,47
ACSSF,2014e5,wv,000,0103,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,29169,21806,554,1878,1533,1265,695,304,705,429,0
ACSSF,2014e5,wv,000,0103,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,114027,81849,876,1224,1797,2748,1298,495,649,23044,47
ACSSF,2014e5,wv,000,0103,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,216038,153820,1691,2569,3752,4024,1366,1312,2486,44853,165
ACSSF,2014e5,wv,000,0103,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,359234,257475,3121,5671,7082,8037,3359,2111,3840,68326,212
ACSSF,2014e5,wv,000,0103,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7856,5695,73,96,125,220,69,26,139,1410,3
ACSSF,2014e5,wv,000,0103,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",45477,30826,4055,628,1086,1201,953,139,460,6129,0
ACSSF,2014e5,wv,000,0103,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11070,6794,86,84,156,79,42,76,71,3635,47
