FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2010e5,wv,000,0033,0000001,040,54,   ,04000US54,West Virginia,740874,489983,380637,109346,29955,79391,250891,214938,35953
ACSSF,2010e5,wv,000,0033,0000002,040,54,   ,04001US54,West Virginia -- Urban,350898,211361,154849,56512,13782,42730,139537,119127,20410
ACSSF,2010e5,wv,000,0033,0000003,040,54,   ,04043US54,West Virginia -- Rural,389976,278622,225788,52834,16173,36661,111354,95811,15543
ACSSF,2010e5,wv,000,0033,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,559682,366234,282559,83675,22317,61358,193448,164831,28617
ACSSF,2010e5,wv,000,0033,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,414147,268689,208594,60095,16221,43874,145458,123115,22343
ACSSF,2010e5,wv,000,0033,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,103349,55606,38773,16833,3784,13049,47743,40104,7639
ACSSF,2010e5,wv,000,0033,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,310798,213083,169821,43262,12437,30825,97715,83011,14704
ACSSF,2010e5,wv,000,0033,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,145535,97545,73965,23580,6096,17484,47990,41716,6274
ACSSF,2010e5,wv,000,0033,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,32334,18900,13064,5836,1290,4546,13434,11792,1642
ACSSF,2010e5,wv,000,0033,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113201,78645,60901,17744,4806,12938,34556,29924,4632
ACSSF,2010e5,wv,000,0033,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,181192,123749,98078,25671,7638,18033,57443,50107,7336
ACSSF,2010e5,wv,000,0033,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,326727,221294,172043,49251,13734,35517,105433,91823,13610
ACSSF,2010e5,wv,000,0033,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6219,4245,3304,941,341,600,1974,1805,169
ACSSF,2010e5,wv,000,0033,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",38730,26475,20223,6252,2018,4234,12255,10026,2229
ACSSF,2010e5,wv,000,0033,0000015,050,54,005,05000US54005,"Boone County, West Virginia",10023,7180,5697,1483,491,992,2843,2552,291
ACSSF,2010e5,wv,000,0033,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6028,3904,3198,706,213,493,2124,1742,382
ACSSF,2010e5,wv,000,0033,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9824,6578,4979,1599,497,1102,3246,2918,328
ACSSF,2010e5,wv,000,0033,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40564,24695,18320,6375,1395,4980,15869,13053,2816
ACSSF,2010e5,wv,000,0033,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3030,2063,1537,526,238,288,967,876,91
ACSSF,2010e5,wv,000,0033,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3530,2428,1930,498,174,324,1102,1040,62
ACSSF,2010e5,wv,000,0033,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2860,1999,1482,517,178,339,861,722,139
ACSSF,2010e5,wv,000,0033,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",18140,12344,9215,3129,911,2218,5796,5083,713
ACSSF,2010e5,wv,000,0033,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2460,1549,1155,394,88,306,911,732,179
ACSSF,2010e5,wv,000,0033,0000024,050,54,023,05000US54023,"Grant County, West Virginia",4899,3451,2789,662,184,478,1448,1207,241
ACSSF,2010e5,wv,000,0033,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15302,9977,7505,2472,717,1755,5325,4602,723
ACSSF,2010e5,wv,000,0033,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",9755,5804,4350,1454,379,1075,3951,3658,293
ACSSF,2010e5,wv,000,0033,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",13296,8882,6766,2116,640,1476,4414,3855,559
ACSSF,2010e5,wv,000,0033,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",4877,3016,2437,579,148,431,1861,1646,215
ACSSF,2010e5,wv,000,0033,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",27740,18968,14266,4702,1006,3696,8772,7717,1055
ACSSF,2010e5,wv,000,0033,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11634,8414,6722,1692,545,1147,3220,2595,625
ACSSF,2010e5,wv,000,0033,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",19164,13590,11147,2443,850,1593,5574,4178,1396
ACSSF,2010e5,wv,000,0033,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",82501,51064,38518,12546,2944,9602,31437,27202,4235
ACSSF,2010e5,wv,000,0033,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6527,4243,3446,797,225,572,2284,1976,308
ACSSF,2010e5,wv,000,0033,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8711,6552,4941,1611,464,1147,2159,2031,128
ACSSF,2010e5,wv,000,0033,0000035,050,54,045,05000US54045,"Logan County, West Virginia",14740,10514,7853,2661,618,2043,4226,3514,712
ACSSF,2010e5,wv,000,0033,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",8338,5490,4142,1348,334,1014,2848,2543,305
ACSSF,2010e5,wv,000,0033,0000037,050,54,049,05000US54049,"Marion County, West Virginia",22744,15027,11349,3678,990,2688,7717,6310,1407
ACSSF,2010e5,wv,000,0033,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",13997,9385,7314,2071,614,1457,4612,4027,585
ACSSF,2010e5,wv,000,0033,0000039,050,54,053,05000US54053,"Mason County, West Virginia",10932,7594,5757,1837,442,1395,3338,2785,553
ACSSF,2010e5,wv,000,0033,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",25344,16011,12278,3733,1014,2719,9333,8241,1092
