FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2009e5,wv,000,0097,0000001,040,54,   ,04000US54,West Virginia,885327,630211,15425,22071,25680,24412,14977,8428,12316,131515,292
ACSSF,2009e5,wv,000,0097,0000002,040,54,   ,04001US54,West Virginia; Urban,406915,276318,10487,18096,20912,18859,13257,7154,10561,31131,140
ACSSF,2009e5,wv,000,0097,0000003,040,54,   ,04043US54,West Virginia; Rural,478412,353893,4938,3975,4768,5553,1720,1274,1755,100384,152
ACSSF,2009e5,wv,000,0097,0000004,040,54,   ,040A0US54,West Virginia; In metropolitan or micropolitan statistical area,648256,458687,13462,18533,21695,19577,13354,7215,9827,85640,266
ACSSF,2009e5,wv,000,0097,0000005,040,54,   ,040C0US54,West Virginia; In metropolitan statistical area,475566,332716,11113,14741,17208,15765,11245,5656,7759,59201,162
ACSSF,2009e5,wv,000,0097,0000006,040,54,   ,040C1US54,West Virginia; In metropolitan statistical area -- in principal city,119948,78148,3313,7943,8912,6067,5139,3145,5709,1563,9
ACSSF,2009e5,wv,000,0097,0000007,040,54,   ,040C2US54,West Virginia; In metropolitan statistical area -- not in principal city,355618,254568,7800,6798,8296,9698,6106,2511,2050,57638,153
ACSSF,2009e5,wv,000,0097,0000008,040,54,   ,040E0US54,West Virginia; In micropolitan statistical area,172690,125971,2349,3792,4487,3812,2109,1559,2068,26439,104
ACSSF,2009e5,wv,000,0097,0000009,040,54,   ,040E1US54,West Virginia; In micropolitan statistical area -- in principal city,39081,29294,666,2167,1950,1642,802,657,1117,779,7
ACSSF,2009e5,wv,000,0097,0000010,040,54,   ,040E2US54,West Virginia; In micropolitan statistical area -- not in principal city,133609,96677,1683,1625,2537,2170,1307,902,951,25660,97
ACSSF,2009e5,wv,000,0097,0000011,040,54,   ,040G0US54,West Virginia; Not in metropolitan or micropolitan statistical area,237071,171524,1963,3538,3985,4835,1623,1213,2489,45875,26
