FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total
ACSSF,2010e5,wv,000,0095,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",23225
ACSSF,2010e5,wv,000,0095,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",35970
ACSSF,2010e5,wv,000,0095,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",14149
ACSSF,2010e5,wv,000,0095,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",5827
ACSSF,2010e5,wv,000,0095,0000056,050,54,087,05000US54087,"Roane County, West Virginia",7379
ACSSF,2010e5,wv,000,0095,0000057,050,54,089,05000US54089,"Summers County, West Virginia",7648
ACSSF,2010e5,wv,000,0095,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",7490
ACSSF,2010e5,wv,000,0095,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",5229
ACSSF,2010e5,wv,000,0095,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",4968
ACSSF,2010e5,wv,000,0095,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",11112
ACSSF,2010e5,wv,000,0095,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",19271
ACSSF,2010e5,wv,000,0095,0000063,050,54,101,05000US54101,"Webster County, West Virginia",5424
ACSSF,2010e5,wv,000,0095,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",8221
ACSSF,2010e5,wv,000,0095,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",3254
ACSSF,2010e5,wv,000,0095,0000066,050,54,107,05000US54107,"Wood County, West Virginia",40269
ACSSF,2010e5,wv,000,0095,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",11098
ACSSF,2010e5,wv,000,0095,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",3176
ACSSF,2010e5,wv,000,0095,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",2641
ACSSF,2010e5,wv,000,0095,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",1974
ACSSF,2010e5,wv,000,0095,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",7553
ACSSF,2010e5,wv,000,0095,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",3702
ACSSF,2010e5,wv,000,0095,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",6517
ACSSF,2010e5,wv,000,0095,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",7964
ACSSF,2010e5,wv,000,0095,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",8105
ACSSF,2010e5,wv,000,0095,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",9628
ACSSF,2010e5,wv,000,0095,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",3844
ACSSF,2010e5,wv,000,0095,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",3196
ACSSF,2010e5,wv,000,0095,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",4187
ACSSF,2010e5,wv,000,0095,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",1744
ACSSF,2010e5,wv,000,0095,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",1906
ACSSF,2010e5,wv,000,0095,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",1821
ACSSF,2010e5,wv,000,0095,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",1986
ACSSF,2010e5,wv,000,0095,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",4012
ACSSF,2010e5,wv,000,0095,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",3465
ACSSF,2010e5,wv,000,0095,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",3535
ACSSF,2010e5,wv,000,0095,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",9080
ACSSF,2010e5,wv,000,0095,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",9179
ACSSF,2010e5,wv,000,0095,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",8278
ACSSF,2010e5,wv,000,0095,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",10849
ACSSF,2010e5,wv,000,0095,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",8743
ACSSF,2010e5,wv,000,0095,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",742
ACSSF,2010e5,wv,000,0095,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",786
ACSSF,2010e5,wv,000,0095,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",643
ACSSF,2010e5,wv,000,0095,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",863
ACSSF,2010e5,wv,000,0095,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",929
