FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2012e5,wv,000,0036,0000001,040,54,   ,04000US54,West Virginia,742674,484531,372028,112503,30981,81522,258143,221663,36480
ACSSF,2012e5,wv,000,0036,0000002,040,54,   ,04001US54,West Virginia -- Urban,372682,224560,162989,61571,15129,46442,148122,126952,21170
ACSSF,2012e5,wv,000,0036,0000003,040,54,   ,04043US54,West Virginia -- Rural,369992,259971,209039,50932,15852,35080,110021,94711,15310
ACSSF,2012e5,wv,000,0036,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,562260,361874,275842,86032,22639,63393,200386,171134,29252
ACSSF,2012e5,wv,000,0036,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,416767,265069,202416,62653,16841,45812,151698,129137,22561
ACSSF,2012e5,wv,000,0036,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,102387,54586,37967,16619,3951,12668,47801,40642,7159
ACSSF,2012e5,wv,000,0036,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,314380,210483,164449,46034,12890,33144,103897,88495,15402
ACSSF,2012e5,wv,000,0036,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,145493,96805,73426,23379,5798,17581,48688,41997,6691
ACSSF,2012e5,wv,000,0036,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,31686,18566,12994,5572,1116,4456,13120,11165,1955
ACSSF,2012e5,wv,000,0036,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113807,78239,60432,17807,4682,13125,35568,30832,4736
ACSSF,2012e5,wv,000,0036,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,180414,122657,96186,26471,8342,18129,57757,50529,7228
ACSSF,2012e5,wv,000,0036,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,325907,219462,169612,49850,14140,35710,106445,92526,13919
ACSSF,2012e5,wv,000,0036,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6206,4365,3469,896,278,618,1841,1703,138
ACSSF,2012e5,wv,000,0036,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",39992,28044,20803,7241,2175,5066,11948,10025,1923
ACSSF,2012e5,wv,000,0036,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9755,7017,5521,1496,455,1041,2738,2443,295
ACSSF,2012e5,wv,000,0036,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6009,3823,3127,696,280,416,2186,1849,337
ACSSF,2012e5,wv,000,0036,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9911,6592,4846,1746,619,1127,3319,2926,393
ACSSF,2012e5,wv,000,0036,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40484,24544,17552,6992,1620,5372,15940,13196,2744
ACSSF,2012e5,wv,000,0036,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3182,2136,1552,584,274,310,1046,946,100
ACSSF,2012e5,wv,000,0036,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3441,2442,2036,406,132,274,999,895,104
ACSSF,2012e5,wv,000,0036,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2773,1958,1405,553,196,357,815,715,100
ACSSF,2012e5,wv,000,0036,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17733,11917,8678,3239,819,2420,5816,5057,759
ACSSF,2012e5,wv,000,0036,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2539,1567,1205,362,92,270,972,784,188
ACSSF,2012e5,wv,000,0036,0000024,050,54,023,05000US54023,"Grant County, West Virginia",4673,3242,2686,556,196,360,1431,1260,171
ACSSF,2012e5,wv,000,0036,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15397,10077,7484,2593,761,1832,5320,4513,807
ACSSF,2012e5,wv,000,0036,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",10563,5017,3824,1193,218,975,5546,5159,387
