FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
ACSSF,2014e5,wv,000,0058,0000001,040,54,   ,04000US54,West Virginia,742359,74451,52236,54175,52331,45384,42520,38222,37846,33437,59900,70476,79854,44778,23303,18558,14888
ACSSF,2014e5,wv,000,0058,0000002,040,54,   ,04001US54,West Virginia -- Urban,372264,40314,26977,26715,25884,22010,20346,18573,18053,16426,28676,34829,39294,23318,12144,9757,8948
ACSSF,2014e5,wv,000,0058,0000003,040,54,   ,04043US54,West Virginia -- Rural,370095,34137,25259,27460,26447,23374,22174,19649,19793,17011,31224,35647,40560,21460,11159,8801,5940
ACSSF,2014e5,wv,000,0058,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,578727,55640,39393,40798,39105,34389,32470,29374,28991,25852,46765,56523,64493,36696,19635,15777,12826
ACSSF,2014e5,wv,000,0058,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,456700,43319,30860,31368,30165,26537,24911,22732,22972,20335,36899,45283,51735,29443,16008,13080,11053
ACSSF,2014e5,wv,000,0058,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,108148,14445,9365,8414,7571,6524,5642,5172,4793,4581,7323,9274,10078,5805,3005,2711,3445
ACSSF,2014e5,wv,000,0058,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,348552,28874,21495,22954,22594,20013,19269,17560,18179,15754,29576,36009,41657,23638,13003,10369,7608
ACSSF,2014e5,wv,000,0058,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,122027,12321,8533,9430,8940,7852,7559,6642,6019,5517,9866,11240,12758,7253,3627,2697,1773
ACSSF,2014e5,wv,000,0058,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,24680,3085,1891,1901,2070,1522,1508,1131,1350,1140,2073,2080,2157,1490,399,585,298
ACSSF,2014e5,wv,000,0058,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,97347,9236,6642,7529,6870,6330,6051,5511,4669,4377,7793,9160,10601,5763,3228,2112,1475
ACSSF,2014e5,wv,000,0058,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,163632,18811,12843,13377,13226,10995,10050,8848,8855,7585,13135,13953,15361,8082,3668,2781,2062
ACSSF,2014e5,wv,000,0058,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,285659,31132,21376,22807,22166,18847,17609,15490,14874,13102,23001,25193,28119,15335,7295,5478,3835
ACSSF,2014e5,wv,000,0058,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6179,719,461,569,501,386,320,442,394,343,473,521,514,285,103,108,40
ACSSF,2014e5,wv,000,0058,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",40614,2570,1620,2164,2212,1874,1725,1572,2264,2053,3995,4384,6100,3897,1633,1658,893
ACSSF,2014e5,wv,000,0058,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9602,1136,611,775,515,552,644,359,435,384,747,982,996,667,438,203,158
ACSSF,2014e5,wv,000,0058,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",5652,727,442,524,545,342,356,299,311,163,434,473,510,308,128,43,47
ACSSF,2014e5,wv,000,0058,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10086,637,515,1008,463,833,603,600,409,463,945,1107,1375,482,318,185,143
ACSSF,2014e5,wv,000,0058,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40220,5206,3780,3105,2551,2184,2246,1801,1965,1788,2843,3426,4273,2056,934,984,1078
ACSSF,2014e5,wv,000,0058,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3112,485,276,251,322,174,223,115,190,101,243,229,309,84,33,71,6
ACSSF,2014e5,wv,000,0058,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3486,455,365,284,283,201,217,275,185,125,260,302,304,154,35,27,14
ACSSF,2014e5,wv,000,0058,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2761,253,186,224,142,207,183,178,105,192,336,330,172,167,62,0,24
ACSSF,2014e5,wv,000,0058,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17566,1643,1718,1414,1746,1172,1108,1110,944,743,1277,1550,1587,800,440,129,185
ACSSF,2014e5,wv,000,0058,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2645,334,228,241,226,106,168,149,143,69,240,215,230,121,98,52,25
