FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2010e5,wv,000,0096,0000001,040,54,   ,04000US54,West Virginia,879481,627018,15850,20889,24476,24416,14683,8308,12931,130652,258
ACSSF,2010e5,wv,000,0096,0000002,040,54,   ,04001US54,West Virginia -- Urban,399947,271974,10606,17440,19829,18341,12870,7010,11128,30608,141
ACSSF,2010e5,wv,000,0096,0000003,040,54,   ,04043US54,West Virginia -- Rural,479534,355044,5244,3449,4647,6075,1813,1298,1803,100044,117
ACSSF,2010e5,wv,000,0096,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,645551,457485,13939,17616,20809,19858,13121,7229,10389,84887,218
ACSSF,2010e5,wv,000,0096,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,475299,332601,11529,13818,16300,16325,11279,5847,8310,59123,167
ACSSF,2010e5,wv,000,0096,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,118690,77580,3287,7726,8272,6277,4950,3066,5992,1529,11
ACSSF,2010e5,wv,000,0096,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,356609,255021,8242,6092,8028,10048,6329,2781,2318,57594,156
ACSSF,2010e5,wv,000,0096,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,170252,124884,2410,3798,4509,3533,1842,1382,2079,25764,51
ACSSF,2010e5,wv,000,0096,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,38165,28729,706,2191,1868,1261,707,520,1287,896,0
ACSSF,2010e5,wv,000,0096,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,132087,96155,1704,1607,2641,2272,1135,862,792,24868,51
ACSSF,2010e5,wv,000,0096,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,233930,169533,1911,3273,3667,4558,1562,1079,2542,45765,40
ACSSF,2010e5,wv,000,0096,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,404182,294417,4321,7071,8176,8091,3404,2461,4621,71529,91
ACSSF,2010e5,wv,000,0096,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7791,6040,78,78,74,183,22,3,149,1164,0
ACSSF,2010e5,wv,000,0096,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",43469,29754,2395,573,823,1536,1088,403,590,6307,0
ACSSF,2010e5,wv,000,0096,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11227,6964,129,134,102,120,0,40,135,3588,15
ACSSF,2010e5,wv,000,0096,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7457,5075,32,51,95,121,68,10,7,1998,0
ACSSF,2010e5,wv,000,0096,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",11012,8768,146,419,311,294,129,105,176,664,0
ACSSF,2010e5,wv,000,0096,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46129,31371,742,1984,1984,2872,1805,917,1157,3278,19
ACSSF,2010e5,wv,000,0096,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3963,2861,29,16,43,12,0,15,0,987,0
ACSSF,2010e5,wv,000,0096,0000020,050,54,015,05000US54015,"Clay County, West Virginia",4632,3219,0,15,53,19,40,51,0,1235,0
ACSSF,2010e5,wv,000,0096,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",3906,3017,40,16,12,45,21,0,0,755,0
ACSSF,2010e5,wv,000,0096,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",21742,16733,198,290,359,367,64,146,228,3357,0
ACSSF,2010e5,wv,000,0096,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",3494,2577,24,73,68,37,29,3,0,683,0
ACSSF,2010e5,wv,000,0096,0000024,050,54,023,05000US54023,"Grant County, West Virginia",6372,4711,72,85,84,136,20,11,0,1253,0
ACSSF,2010e5,wv,000,0096,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",18835,14376,227,228,444,508,37,39,76,2900,0
ACSSF,2010e5,wv,000,0096,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",13339,10177,16,225,174,121,65,93,0,2468,0
ACSSF,2010e5,wv,000,0096,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",14599,11160,143,497,639,358,194,50,204,1354,0
ACSSF,2010e5,wv,000,0096,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",7981,5765,11,22,139,181,90,25,0,1733,15
ACSSF,2010e5,wv,000,0096,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",31496,23990,605,1004,1164,685,524,314,517,2693,0
ACSSF,2010e5,wv,000,0096,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",13182,9589,58,264,219,279,160,10,98,2505,0
ACSSF,2010e5,wv,000,0096,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",21608,16453,1085,395,439,600,513,138,164,1821,0
ACSSF,2010e5,wv,000,0096,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",93063,64641,2348,2970,4680,3186,1966,1212,2412,9648,0
ACSSF,2010e5,wv,000,0096,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",7985,6053,61,52,91,264,70,74,163,1143,14
ACSSF,2010e5,wv,000,0096,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",9933,6029,27,88,24,89,45,56,13,3553,9
ACSSF,2010e5,wv,000,0096,0000035,050,54,045,05000US54045,"Logan County, West Virginia",16847,11301,230,221,209,723,265,8,71,3819,0
ACSSF,2010e5,wv,000,0096,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",11729,8383,179,167,201,42,18,39,103,2597,0
ACSSF,2010e5,wv,000,0096,0000037,050,54,049,05000US54049,"Marion County, West Virginia",26584,20138,245,1026,945,757,304,185,229,2755,0
ACSSF,2010e5,wv,000,0096,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",15955,12405,297,469,590,350,70,79,115,1567,13
