FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2013e5,wv,000,0036,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",11180,6251,4801,1450,252,1198,4929,4675,254
ACSSF,2013e5,wv,000,0036,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",10827,7592,5627,1965,565,1400,3235,2890,345
ACSSF,2013e5,wv,000,0036,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",36449,19147,14988,4159,1230,2929,17302,13041,4261
ACSSF,2013e5,wv,000,0036,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",5648,4030,3142,888,202,686,1618,1359,259
ACSSF,2013e5,wv,000,0036,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",7343,3872,3114,758,255,503,3471,3164,307
ACSSF,2013e5,wv,000,0036,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",10657,7821,6270,1551,584,967,2836,2506,330
ACSSF,2013e5,wv,000,0036,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",18553,10837,8228,2609,526,2083,7716,6880,836
ACSSF,2013e5,wv,000,0036,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",3274,2091,1737,354,101,253,1183,1014,169
ACSSF,2013e5,wv,000,0036,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",2747,1957,1663,294,92,202,790,680,110
ACSSF,2013e5,wv,000,0036,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",3694,2418,2047,371,138,233,1276,1100,176
ACSSF,2013e5,wv,000,0036,0000051,050,54,077,05000US54077,"Preston County, West Virginia",12697,8831,7268,1563,599,964,3866,3235,631
ACSSF,2013e5,wv,000,0036,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",21391,16000,12839,3161,904,2257,5391,4471,920
ACSSF,2013e5,wv,000,0036,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",31364,20899,15803,5096,1367,3729,10465,9038,1427
ACSSF,2013e5,wv,000,0036,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",11163,7527,5804,1723,569,1154,3636,3400,236
ACSSF,2013e5,wv,000,0036,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",4032,2600,2040,560,173,387,1432,1320,112
ACSSF,2013e5,wv,000,0036,0000056,050,54,087,05000US54087,"Roane County, West Virginia",5975,3978,3052,926,202,724,1997,1740,257
ACSSF,2013e5,wv,000,0036,0000057,050,54,089,05000US54089,"Summers County, West Virginia",5350,3700,2859,841,387,454,1650,1551,99
ACSSF,2013e5,wv,000,0036,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",6878,4873,3671,1202,338,864,2005,1755,250
ACSSF,2013e5,wv,000,0036,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",3050,2087,1694,393,154,239,963,848,115
ACSSF,2013e5,wv,000,0036,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",3712,2587,2020,567,183,384,1125,1019,106
ACSSF,2013e5,wv,000,0036,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",9011,6130,4929,1201,318,883,2881,2469,412
ACSSF,2013e5,wv,000,0036,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",16555,10975,8301,2674,690,1984,5580,4994,586
ACSSF,2013e5,wv,000,0036,0000063,050,54,101,05000US54101,"Webster County, West Virginia",3928,2759,2098,661,252,409,1169,973,196
ACSSF,2013e5,wv,000,0036,0000064,050,54,103,05000US54103,"Wetzel County, West Virginia",6903,4527,3560,967,202,765,2376,2102,274
ACSSF,2013e5,wv,000,0036,0000065,050,54,105,05000US54105,"Wirt County, West Virginia",2427,1591,1269,322,35,287,836,607,229
ACSSF,2013e5,wv,000,0036,0000066,050,54,107,05000US54107,"Wood County, West Virginia",35569,23292,18143,5149,1468,3681,12277,10673,1604
ACSSF,2013e5,wv,000,0036,0000067,050,54,109,05000US54109,"Wyoming County, West Virginia",9101,6427,5076,1351,420,931,2674,2384,290
