"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","household_with_kids","family_household_without_kids","non_family_household_without_kids","level","NAME","FIPS","county_name","LSAD"
"1",12060,"2009",5257114,1427371,864222,1279733,1038729,647059,3071442,1630596,489277,490403,581750,594673,187469,704537,557029,592729,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"2",12060,"2013",5379176,1405787,877461,1220784,1101079,774065,3027755,1753777,557985,506828,598134,610667,201952,714733,595909,606939,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"3",12060,"2017",5700990,1436505,925709,1222165,1183052,933559,3112830,1920782,600033,539263,636105,640505,213172,727536,649112,652397,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"4",14460,"2009",4513934,1001430,759977,993151,967962,791414,3658620,306198,355963,491467,536387,523062,147010,547928,532018,617980,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"5",14460,"2013",4604278,979585,814210,923262,1010102,877119,3621435,349347,431633,501901,564254,540233,149278,546004,568651,641011,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"6",14460,"2017",4771936,971596,852928,938697,1019844,988871,3674413,384527,505477,500757,590063,564427,148889,545000,611031,648105,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"7",16980,"2009",9461816,2446245,1592387,2064055,1910805,1448324,6171962,1678898,1813050,951621,1003204,1036692,409527,1223915,1050694,1126435,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"8",16980,"2013",9488493,2343831,1586042,1987338,1959012,1612270,6314383,1625456,1986785,966670,1019089,1038509,405470,1182545,1096603,1150590,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"9",16980,"2017",9549229,2243424,1579038,1961176,1944551,1821040,6303072,1599415,2081524,994734,1068761,1033286,384549,1133468,1151513,1196349,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"10",19100,"2009",6195890,1736035,1086309,1454656,1160210,758680,4287569,859692,1650353,549413,650931,687769,257376,861739,627780,655970,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"11",19100,"2013",6575833,1805126,1102695,1460953,1293833,913226,4538248,980654,1813509,587475,715873,745378,284806,918301,707296,707935,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
