"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","household_with_kids","family_household_without_kids","non_family_household_without_kids","level","NAME","FIPS","county_name","LSAD"
"31",19100,"2017",7104415,1889868,1175068,1539303,1401587,1098589,4930563,1093212,2018504,619159,769986,799112,306169,958157,782685,753584,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"32",19100,"2018",7255028,1915498,1204903,1565659,1422248,1146720,5012939,1126696,2077311,631196,779651,813678,311530,966766,801357,767932,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"33",26420,"1970",2195100,813411,423335,417632,328189,212533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"34",26420,"1980",3137557,955042,773722,684136,429353,295304,2535300,573243,448708,250820,323653,380305,156661,459215,351542,300682,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"35",26420,"1990",3750963,1082154,739942,1016723,514012,398132,2543439,669295,767776,328056,380461,457759,181750,526383,432137,389506,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"36",26420,"2000",4693161,1359021,827867,1185190,818139,502944,2936566,789731,1353294,385628,471580,550111,242260,649759,534897,464923,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"37",26420,"2009",5570617,1595658,957131,1252408,1087769,677651,3604543,938097,1857116,461424,564278,627662,249908,785496,567426,550350,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"38",26420,"2013",6063540,1676799,1041032,1330339,1189512,825858,3986513,1045873,2161755,497802,615404,675563,279749,830174,641598,596746,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"39",26420,"2017",6636208,1788611,1116321,1453313,1266256,1011707,4359111,1141697,2432651,550280,674418,740994,305869,892107,720305,659149,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"40",26420,"2018",6779104,1819907,1138074,1483376,1280782,1056965,4426906,1169670,2506513,558256,685624,756125,310208,901943,738686,669584,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"41",31080,"1970",8456849,2793766,1595905,1568396,1422265,1076517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"42",31080,"1980",9410212,2552807,2188668,1939791,1447474,1281472,8139983,985865,2351225,890554,1031994,1029452,470150,1204328,1115816,1102006,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"43",31080,"1990",11273720,2911209,2507703,2825797,1553350,1475661,6941442,1032038,3886958,912399,1097699,1167879,645215,1318546,1308048,1196598,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"44",31080,"2000",12365627,3426931,2228991,3089710,2014952,1605043,6465654,961163,5119938,967749,1091867,1256580,756237,1531788,1296435,1244210,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"45",31080,"2009",12762126,3308331,2272502,2908891,2420118,1852284,6840293,913537,5614718,1037778,1144945,1330284,639260,1604404,1236786,1311077,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"46",31080,"2013",12945252,3104313,2366957,2790183,2579982,2103817,7190204,883313,5774371,1042663,1181998,1347059,654175,1550246,1342973,1332676,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"47",31080,"2017",13261538,2990347,2401271,2796936,2674613,2398371,7193319,882243,5972751,1058817,1229499,1399239,632619,1487560,1464137,1368477,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"48",31080,"2018",13262234,2957709,2386340,2787613,2666389,2464183,7137761,878719,5973798,1064363,1239316,1410438,624365,1472067,1485351,1381064,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"49",33100,"1970",968822,279343,136817,152133,165395,235134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"50",33100,"1980",1595063,338686,272415,276508,243992,463462,1437854,195784,68400,161351,274038,161459,55946,167348,293032,192414,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"51",33100,"1990",2119006,425312,334187,486346,294360,578801,1760554,300273,172269,254091,348304,225292,66304,219431,362486,312074,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"52",33100,"2000",5007564,1178167,720105,1199427,877684,1032181,3609888,938578,1703772,512995,613359,558881,221225,585508,686936,634016,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"53",33100,"2009",5484777,1260576,823387,1177056,1092721,1131037,3893050,1112763,2133615,577085,652459,597683,179696,647636,661471,697816,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"54",33100,"2013",5673185,1211674,884044,1149061,1201072,1227334,4061742,1199613,2376061,580566,643413,605862,187655,638429,677739,701328,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"55",33100,"2017",6019790,1238058,920635,1200308,1275381,1385408,4266292,1286415,2663235,589960,667568,630416,189764,638271,724592,714845,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"56",33100,"2018",6070944,1243333,919734,1206515,1278679,1422683,4279818,1293936,2716271,594705,680702,633620,191328,633453,743844,723058,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"57",35620,"1970",17506245,5535742,2967628,3180701,3137259,2684915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"58",35620,"1980",16868198,4437522,3299362,3381951,2872247,2877116,13898487,2893127,2013156,1543884,1754761,1937902,848508,2159913,2182850,1742292,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"59",35620,"1990",17413155,4009794,3293981,4257748,2763610,3088022,12141663,3228944,2677355,1670552,1821418,2060237,809423,1994958,2418659,1948013,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"60",35620,"2000",18944519,4665738,2983572,4701179,3464690,3129340,11800965,3354770,3625242,1846888,1948969,2192480,905997,2280345,2403027,2210962,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"61",35620,"2009",19581379,4643772,3099524,4314643,4067902,3455538,12004256,3390638,4094423,1970171,2023557,2205723,777656,2414805,2230433,2331869,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"62",35620,"2013",19716880,4459961,3288309,4106473,4159242,3702895,11833135,3392991,4523963,1972820,2048769,2248404,808772,2386981,2324131,2367653,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"63",35620,"2017",20192042,4410026,3352622,4109018,4194505,4125871,11768269,3455984,4863602,1999382,2095778,2276285,796582,2304335,2447444,2416248,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"64",35620,"2018",19990592,4347235,3276213,4040699,4126788,4199657,11643206,3416157,4837457,2005155,2121467,2272957,796804,2282422,2482726,2431235,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"65",37980,"1970",5317407,1801788,923325,920379,933945,737970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"66",37980,"1980",5240039,1428196,1101879,977454,871437,861073,4206752,965469,125889,410445,534265,605867,270348,672096,673891,474938,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"67",37980,"1990",5435468,1326099,1030210,1300785,805301,973073,4196135,1015406,181577,494382,597184,660252,235770,640892,762029,584667,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"68",37980,"2000",5687147,1440397,867022,1359601,1043440,976687,4128103,1120692,284118,574036,651217,674661,235504,697856,751882,685680,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"69",37980,"2009",5910593,1418110,957983,1229692,1250130,1054678,4172409,1199278,393868,634271,678256,667382,206425,737405,701201,747728,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"70",37980,"2013",5992766,1378134,1007797,1156013,1299129,1151693,4106566,1250223,485866,653725,694090,670082,208734,715431,735808,775392,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"71",37980,"2017",6065644,1342727,1013014,1153546,1281431,1274926,4083283,1270826,546680,664647,717496,670589,200739,690746,767899,794826,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"72",37980,"2018",6069448,1335472,1004697,1156957,1266750,1305572,4065435,1273284,558973,659350,728339,676975,199377,692638,779720,791683,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"73",47900,"1970",3164346,1100277,665885,601327,495855,301002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"74",47900,"1980",3426648,932714,776571,802325,523816,391222,2470532,902034,96303,306372,354966,413811,160257,465929,390472,379005,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"75",47900,"1990",4157327,982407,880614,1148530,643064,502712,2784833,1068100,225974,381890,473095,521579,166390,509100,534520,499334,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"76",47900,"2000",4837428,1220076,782647,1288404,944054,602247,2876292,1269754,429341,480023,556293,574422,206058,616021,592084,608691,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"77",47900,"2009",5384391,1333436,888770,1256568,1139955,765662,3091514,1396799,652373,565576,607774,612003,201721,695295,600333,691446,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"78",47900,"2013",5759330,1362761,978075,1294629,1223316,900549,3228757,1470979,812827,569887,642029,655393,223992,727470,653417,710414,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"79",47900,"2017",6090196,1411310,996913,1353021,1272669,1056283,3322625,1547874,930161,585865,663466,684976,235727,744132,694695,731207,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"80",47900,"2018",6138382,1420344,996955,1356926,1272549,1091608,3319114,1555778,954071,594711,672721,687099,236807,744790,704428,742120,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"81",47900,"2009",588433,113992,125724,136609,114310,97798,210983,324631,49813,117435,71903,48108,13277,55490,55063,140170,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"82",47900,"2013",619371,105291,156363,145246,110874,101597,248141,310530,59479,119573,78272,52026,13778,54704,57881,151064,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"83",47900,"2017",672391,118058,158115,170369,112823,113026,273471,321062,71829,121126,84873,56926,15060,59794,62020,156171,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"84",47900,"2018",684498,121737,158193,176479,112913,115176,280469,321317,74776,124201,86232,55838,15051,58763,63350,159209,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"85",47900,"2000",572059,114332,125662,137177,102871,92017,175306,343213,45015,108569,68022,52095,19904,50948,65015,132627,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"86",47900,"1990",606900,116624,144952,153954,88159,103211,179690,399751,32255,102947,66926,56036,23125,51062,72518,125454,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"87",47900,"1980",638333,143355,162079,131449,98524,102926,182607,451932,17777,100080,65175,58887,29890,63866,71703,118463,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"88",47900,"1970",756510,225102,172947,132882,121630,103949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"11001","District of Columbia, DC","County or equivalent"
"89",47900,"2009",88055,23610,11575,19287,20954,12629,72067,12431,2212,5622,9453,11292,3367,12520,10315,6899,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
"90",47900,"2013",89332,22816,11978,16318,22865,15355,72777,12116,2658,6185,10537,10475,3726,12017,11604,7302,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
"91",47900,"2017",90824,21739,12581,15753,22598,18153,73885,10797,3276,5861,11040,10776,3785,11593,12339,7530,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
"92",47900,"2018",91082,21510,12806,15677,22444,18645,73931,10730,3427,5964,11057,11001,3704,11655,12457,7614,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
"93",47900,"2000",74563,22057,8315,20225,14790,9176,62421,9672,1033,4155,7876,9869,3528,10852,9353,5223,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
"94",47900,"1990",51372,14652,8485,14246,7703,6286,42814,8066,525,2369,5052,7025,2501,7083,6868,2996,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
