"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","NAME","level","FIPS","county_name","LSAD","msa_name"
"135",47900,"2013",214861,34472,53048,60489,38258,28594,153109,17966,32809,38256,30962,20580,4656,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"136",47900,"2009",206405,33433,52496,56886,37129,26461,147230,16725,34484,39015,28478,18464,4346,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"137",47900,"2013",214861,34472,53048,60489,38258,28594,153109,17966,32809,38256,30962,20580,4656,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"138",47900,"2009",206405,33433,52496,56886,37129,26461,147230,16725,34484,39015,28478,18464,4346,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"139",47900,"2017",229534,39702,49680,66185,41266,32701,164102,20278,35687,40110,33829,23238,5133,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"140",47900,"2017",229534,39702,49680,66185,41266,32701,164102,20278,35687,40110,33829,23238,5133,NA,"county_level","51013","Arlington County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"141",47900,"2000",13046,16836,1261,3139,2833,2210,11635,854,197,1191,1825,954,429,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"142",47900,"1990",12101,12101,1930,3091,2096,2214,10968,1064,29,756,1444,1461,524,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"143",47900,"1980",9965,15053,1167,2449,3568,3666,8805,1144,27,729,1081,1205,470,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"144",47900,"1970",13533,8102,1234,1521,1367,1309,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"145",47900,"2013",14191,3142,1459,2450,3698,3442,12860,753,514,1090,2270,1702,518,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"146",47900,"2017",14331,3004,1730,2261,3670,3666,12800,703,685,1550,2148,1402,468,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"147",47900,"2013",14191,3142,1459,2450,3698,3442,12860,753,514,1090,2270,1702,518,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"148",47900,"2009",14359,3149,1866,2817,3410,3117,12979,861,506,1420,2092,1621,354,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"149",47900,"2017",14331,3004,1730,2261,3670,3666,12800,703,685,1550,2148,1402,468,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"150",47900,"2009",14359,3149,1866,2817,3410,3117,12979,861,506,1420,2092,1621,354,NA,"county_level","51043","Clarke County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"151",47900,"2000",36346,43861,4790,8863,6255,5113,26868,5880,1042,2503,4102,2795,1342,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"152",47900,"1990",27791,27791,4773,7056,4067,4463,22540,4789,191,1822,3062,3651,1192,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"153",47900,"1980",22620,34301,3349,5364,7360,7900,18099,4685,196,1401,2215,2815,1147,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"154",47900,"1970",29990,18218,2872,3042,2922,2936,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"155",47900,"2009",44923,11657,6675,10457,9017,7117,34509,7274,3278,3345,5367,5712,2166,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"156",47900,"2017",49795,12568,6740,9532,10758,10197,38337,7150,4826,3431,5548,5461,2397,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"157",47900,"2017",49795,12568,6740,9532,10758,10197,38337,7150,4826,3431,5548,5461,2397,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"158",47900,"2013",47330,12114,6534,9620,10365,8697,36347,7071,4169,3349,5499,5376,1815,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"159",47900,"2009",44923,11657,6675,10457,9017,7117,34509,7274,3278,3345,5367,5712,2166,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"160",47900,"2013",47330,12114,6534,9620,10365,8697,36347,7071,4169,3349,5499,5376,1815,NA,"county_level","51047","Culpeper County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"161",47900,"2000",1183473,1257710,140245,262566,211065,103371,676295,81744,106862,75006,113474,87168,42964,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"162",47900,"1990",818584,818584,159176,238011,141695,80107,666349,63360,51340,54349,95713,110451,32430,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"163",47900,"1980",596901,898595,83913,171054,252562,115845,561520,35430,19983,34872,62173,81588,26975,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"164",47900,"1970",730713,455021,80120,99030,73652,22890,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"165",47900,"2009",1012751,253279,153555,229242,231664,145011,675361,93552,141343,90592,114133,125406,38108,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"166",47900,"2017",1142004,271008,168205,249801,247893,205097,713926,110385,184595,87948,123480,138165,43787,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"167",47900,"2013",1101071,265972,166153,246721,246602,175623,698963,101532,173532,88693,122680,134795,43740,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"168",47900,"2009",1012751,253279,153555,229242,231664,145011,675361,93552,141343,90592,114133,125406,38108,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"169",47900,"2017",1142004,271008,168205,249801,247893,205097,713926,110385,184595,87948,123480,138165,43787,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"170",47900,"2013",1101071,265972,166153,246721,246602,175623,698963,101532,173532,88693,122680,134795,43740,NA,"county_level","51059","Fairfax County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"171",47900,"2000",57401,73194,6202,14098,11852,7507,48643,4646,1131,3706,6887,4877,2361,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"172",47900,"1990",48741,48741,8418,12939,7992,6271,42584,5411,688,2497,5347,6530,2110,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"173",47900,"1980",35889,53787,5163,8684,13257,9796,30273,5664,190,1805,3298,4586,2014,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"174",47900,"1970",43030,26375,4318,4663,4089,3585,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"175",47900,"2013",66015,16300,8090,12197,15917,13511,57759,5088,4344,4750,8184,7577,2619,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"176",47900,"2013",66015,16300,8090,12197,15917,13511,57759,5088,4344,4750,8184,7577,2619,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"177",47900,"2009",66330,17209,8424,14083,15692,10922,57060,5547,3520,4917,7914,7425,2449,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"178",47900,"2009",66330,17209,8424,14083,15692,10922,57060,5547,3520,4917,7914,7425,2449,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"179",47900,"2017",68406,16238,8937,12065,15899,15267,59448,5139,5141,5053,8319,7965,2644,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"180",47900,"2017",68406,16238,8937,12065,15899,15267,59448,5139,5141,5053,8319,7965,2644,NA,"county_level","51061","Fauquier County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"181",47900,"2000",189833,218405,21917,53802,29876,12682,139951,11541,10117,11079,18877,16488,7333,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"182",47900,"1990",86129,86129,16730,25310,13438,7401,77053,6293,2177,5066,10011,12106,3440,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"183",47900,"1980",57427,86627,7144,16581,21806,11724,52638,5053,834,2785,5145,7933,2882,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"184",47900,"1970",59600,37150,5689,7629,5037,4095,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"185",47900,"2017",374558,108763,45589,93091,80306,46809,250975,28333,50426,20966,34119,48841,17373,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"186",47900,"2013",326477,98726,39318,85615,67975,34843,226884,23821,41283,18297,30079,43174,15447,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"187",47900,"2009",277465,82799,35808,80630,53004,25224,202994,21654,28026,20703,25238,34011,11076,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"188",47900,"2017",374558,108763,45589,93091,80306,46809,250975,28333,50426,20966,34119,48841,17373,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"189",47900,"2013",326477,98726,39318,85615,67975,34843,226884,23821,41283,18297,30079,43174,15447,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"190",47900,"2009",277465,82799,35808,80630,53004,25224,202994,21654,28026,20703,25238,34011,11076,NA,"county_level","51107","Loudoun County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"191",47900,"2000",335345,360115,45077,78818,51073,19330,193069,52873,27266,16101,27678,27021,14184,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"192",47900,"1990",215686,215686,46082,63626,29798,10453,180042,24942,9403,9095,19398,31579,10181,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"193",47900,"1980",144703,216063,22181,45725,52704,13823,132611,12111,3345,4644,10456,20745,7980,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"194",47900,"1970",173009,111102,24358,24256,8889,4404,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"195",47900,"2017",450763,124872,68783,103423,92946,60739,265523,94217,101042,25703,37824,51992,23787,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"196",47900,"2013",416668,119246,65777,98392,84416,48837,255662,84675,86314,23233,36833,49334,23042,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"197",47900,"2009",360910,107074,57231,89770,71275,35560,219690,69860,66648,22173,35847,45997,19740,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"198",47900,"2017",450763,124872,68783,103423,92946,60739,265523,94217,101042,25703,37824,51992,23787,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"199",47900,"2013",416668,119246,65777,98392,84416,48837,255662,84675,86314,23233,36833,49334,23042,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"200",47900,"2009",360910,107074,57231,89770,71275,35560,219690,69860,66648,22173,35847,45997,19740,NA,"county_level","51153","Prince William County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"201",47900,"2000",7271,9440,732,1513,1773,1295,6496,348,144,648,1065,547,245,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"202",47900,"1990",6622,6622,1030,1675,1232,1200,6079,495,47,494,915,886,250,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"203",47900,"1980",6093,9110,759,1466,2219,2126,5404,689,0,424,685,718,323,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"204",47900,"1970",8548,5199,742,816,905,886,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"205",47900,"2009",7171,1497,842,1221,1877,1734,6486,405,91,632,1340,974,130,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"206",47900,"2009",7171,1497,842,1221,1877,1734,6486,405,91,632,1340,974,130,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"207",47900,"2017",7359,1338,870,1062,1622,2467,6721,280,261,875,1285,724,247,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"208",47900,"2017",7359,1338,870,1062,1622,2467,6721,280,261,875,1285,724,247,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"209",47900,"2013",7448,1416,792,1157,1879,2204,6860,338,240,951,1260,868,182,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"210",47900,"2013",7448,1416,792,1157,1879,2204,6860,338,240,951,1260,868,182,NA,"county_level","51157","Rappahannock County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"211",47900,"2000",95097,119043,12184,23434,17214,9831,74930,10725,2351,5145,9927,8658,4120,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"212",47900,"1990",57403,57403,9877,16241,7769,5992,50221,6193,926,2502,5608,8147,2721,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"213",47900,"1980",34435,51763,4518,9940,11495,7118,29228,5092,300,1386,2980,4510,1940,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"214",47900,"1970",26641,16424,2532,3044,2631,2010,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"215",47900,"2013",124319,33688,17963,25695,27453,19520,93110,19556,9737,7074,13582,14846,6207,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"216",47900,"2009",118512,34196,17407,27171,24760,14978,91688,17881,7538,7000,13275,14748,5667,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"217",47900,"2017",130159,33157,19313,25174,29227,23288,94968,20643,11706,8155,13888,15318,5918,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"218",47900,"2013",124319,33688,17963,25695,27453,19520,93110,19556,9737,7074,13582,14846,6207,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"219",47900,"2009",118512,34196,17407,27171,24760,14978,91688,17881,7538,7000,13275,14748,5667,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"220",47900,"2017",130159,33157,19313,25174,29227,23288,94968,20643,11706,8155,13888,15318,5918,NA,"county_level","51177","Spotsylvania County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"221",47900,"2000",98808,118780,12540,25932,16965,7299,75802,10998,3181,4179,8849,9644,4499,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"222",47900,"1990",61236,61236,12607,16454,8831,5340,55684,4230,1291,2354,5621,8711,2757,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"223",47900,"1980",40470,59933,5819,10928,14233,8007,37744,2888,550,1376,3220,5470,2173,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"224",47900,"1970",40249,24587,5679,4570,3267,2146,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"225",47900,"2013",131885,37038,21533,27582,30146,15586,93262,22645,12745,6352,13213,16709,5904,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"226",47900,"2017",141159,37546,23156,28852,31834,19771,97462,23940,16515,6523,14330,17079,7413,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"227",47900,"2013",131885,37038,21533,27582,30146,15586,93262,22645,12745,6352,13213,16709,5904,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"228",47900,"2009",120436,36326,18363,28700,25458,11589,88161,19970,9601,6049,11955,15565,6008,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"229",47900,"2009",120436,36326,18363,28700,25458,11589,88161,19970,9601,6049,11955,15565,6008,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"230",47900,"2017",141159,37546,23156,28852,31834,19771,97462,23940,16515,6523,14330,17079,7413,NA,"county_level","51179","Stafford County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"231",47900,"2000",32316,41677,4232,7853,6186,4874,29024,1835,366,2910,4128,2592,1147,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"232",47900,"1990",26142,26142,4843,6201,4213,4499,24732,1191,281,2176,3359,3477,928,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"233",47900,"1980",21200,32146,2864,4991,7227,7818,20149,1228,226,1594,2587,2723,941,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"234",47900,"1970",25732,15301,2582,2503,2916,2430,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"235",47900,"2009",36087,8700,5391,7795,8146,6055,33005,1824,1089,3392,5102,4082,1062,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"236",47900,"2017",38991,8765,5768,7035,8933,8490,35339,1435,1622,3415,5005,4346,1424,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"237",47900,"2017",38991,8765,5768,7035,8933,8490,35339,1435,1622,3415,5005,4346,1424,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"238",47900,"2013",37836,8940,5233,7455,8945,7263,34562,1554,1379,3366,5438,4266,1317,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"239",47900,"2009",36087,8700,5391,7795,8146,6055,33005,1824,1089,3392,5102,4082,1062,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"240",47900,"2013",37836,8940,5233,7455,8945,7263,34562,1554,1379,3366,5438,4266,1317,NA,"county_level","51187","Warren County, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"241",47900,"2000",165777,160934,27713,39941,23756,13633,76775,28444,18747,26880,19590,7407,3702,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"242",47900,"1990",111183,111183,28460,34457,16037,15252,76907,24557,10526,22297,17656,10478,2818,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"243",47900,"1980",103217,158085,19858,42654,35365,30245,80608,23396,4251,20071,16283,10139,2745,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"244",47900,"1970",191028,110938,31500,18863,18259,11468,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"245",47900,"2009",142131,25230,28808,40579,25848,21666,91633,31039,19746,29207,20326,11142,2185,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"246",47900,"2017",154710,27938,25075,47905,29976,23816,96411,34123,25900,28751,21693,14565,3654,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"247",47900,"2013",143684,24911,27072,43283,27588,20830,92041,31291,23542,28088,20967,13164,3150,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"248",47900,"2009",142131,25230,28808,40579,25848,21666,91633,31039,19746,29207,20326,11142,2185,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"249",47900,"2017",154710,27938,25075,47905,29976,23816,96411,34123,25900,28751,21693,14565,3654,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"250",47900,"2013",143684,24911,27072,43283,27588,20830,92041,31291,23542,28088,20967,13164,3150,NA,"county_level","51510","Alexandria city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"251",47900,"2000",27310,27680,3783,5504,4299,3288,15742,1008,2906,1879,2856,1586,829,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"252",47900,"1990",19622,19622,4848,4777,3368,2964,16802,1021,1356,1497,2679,2537,660,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"253",47900,"1980",19390,29164,3856,5427,7413,4631,18708,493,467,1292,2169,2651,797,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"254",47900,"1970",35003,21970,3903,4551,3380,1199,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"255",47900,"2013",23027,4844,3887,4834,4973,4489,16228,1154,3705,1829,2894,2973,796,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"256",47900,"2013",23027,4844,3887,4834,4973,4489,16228,1154,3705,1829,2894,2973,796,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"257",47900,"2009",23369,4741,4229,4855,5226,4318,16933,1244,3181,2258,2845,2446,884,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"258",47900,"2009",23369,4741,4229,4855,5226,4318,16933,1244,3181,2258,2845,2446,884,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"259",47900,"2017",23580,5133,3778,4801,5181,4687,16104,1145,3985,1871,2716,3096,816,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"260",47900,"2017",23580,5133,3778,4801,5181,4687,16104,1145,3985,1871,2716,3096,816,NA,"county_level","51600","Fairfax city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"261",47900,"2000",12161,13800,1208,2550,2507,1459,8875,256,892,1520,1421,812,302,NA,"county_level","51610","Falls Church city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"262",47900,"1990",9578,9578,1414,2798,1647,1872,8533,266,606,1387,1425,1073,285,NA,"county_level","51610","Falls Church city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"263",47900,"1980",9515,14520,1291,2843,3552,4044,9297,263,303,1422,1531,1024,288,NA,"county_level","51610","Falls Church city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"264",47900,"1970",18200,10772,1989,1762,2206,1471,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","51610","Falls Church city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"265",47900,"2017",13843,3442,1687,2890,3164,2660,10938,667,1474,1600,1638,1564,506,NA,"county_level","51610","Falls Church city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"266",47900,"2013",12731,3205,1737,2766,2716,2307,9804,678,1190,1615,1424,1638,343,NA,"county_level","51610","Falls Church city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"267",47900,"2009",11233,2588,1894,1955,2718,2078,8888,572,1053,1321,1339,1174,296,NA,"county_level","51610","Falls Church city, VA","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
