"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","NAME","level","FIPS","county_name","LSAD","msa_name"
"33",26420,"2009",11141234,3191316,1914262,2504816,2175538,1355302,7209086,1876194,3714232,922848,1128556,1255324,499816,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
"34",26420,"2013",12127080,3353598,2082064,2660678,2379024,1651716,7973026,2091746,4323510,995604,1230808,1351126,559498,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
"35",26420,"2017",13272416,3577222,2232642,2906626,2532512,2023414,8718222,2283394,4865302,1100560,1348836,1481988,611738,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
"36",31080,"1970",14119932,8456849,1595905,1568396,1422265,1076517,NA,NA,NA,NA,NA,NA,NA,"Los Angeles-Long Beach-Anaheim, CA","msa",NA,NA,NA,NA
"37",31080,"1980",9410212,14219827,1684955,2535919,3169702,2773695,9259792,985865,2351225,890554,1031994,1029452,470150,"Los Angeles-Long Beach-Anaheim, CA","msa",NA,NA,NA,NA
"38",31080,"1990",11273720,11273720,2507703,2825797,1553350,1475661,6941442,1032038,3886958,912399,1097699,1167879,645215,"Los Angeles-Long Beach-Anaheim, CA","msa",NA,NA,NA,NA
"39",31080,"2000",22605503,15933750,2228991,3089710,2014952,1465589,6465654,961163,5119938,967749,1091867,1003460,756237,"Los Angeles-Long Beach-Anaheim, CA","msa",NA,NA,NA,NA
"40",31080,"2009",25524252,6616662,4545004,5817782,4840236,3704568,13680586,1827074,11229436,2075556,2289890,2660568,1278520,"Los Angeles-Long Beach-Anaheim, CA","msa",NA,NA,NA,NA
"41",31080,"2013",25890504,6208626,4733914,5580366,5159964,4207634,14380408,1766626,11548742,2085326,2363996,2694118,1308350,"Los Angeles-Long Beach-Anaheim, CA","msa",NA,NA,NA,NA
"42",31080,"2017",26523076,5980694,4802542,5593872,5349226,4796742,14386638,1764486,11945502,2117634,2458998,2798478,1265238,"Los Angeles-Long Beach-Anaheim, CA","msa",NA,NA,NA,NA
"43",33100,"1970",1658301,968822,136817,152133,165395,235134,NA,NA,NA,NA,NA,NA,NA,"Miami-Fort Lauderdale-West Palm Beach, FL","msa",NA,NA,NA,NA
"44",33100,"1980",1595063,2432117,205988,341885,479847,868636,1451367,195784,68400,161351,274038,161459,55946,"Miami-Fort Lauderdale-West Palm Beach, FL","msa",NA,NA,NA,NA
"45",33100,"1990",2119006,2119006,334187,486346,294360,578801,1760554,300273,172269,254091,348304,225292,66304,"Miami-Fort Lauderdale-West Palm Beach, FL","msa",NA,NA,NA,NA
"46",33100,"2000",8415108,6647460,720105,1199427,877684,916401,3609888,938578,1703772,512995,613359,396133,221225,"Miami-Fort Lauderdale-West Palm Beach, FL","msa",NA,NA,NA,NA
"47",33100,"2009",10969554,2521152,1646774,2354112,2185442,2262074,7786100,2225526,4267230,1154170,1304918,1195366,359392,"Miami-Fort Lauderdale-West Palm Beach, FL","msa",NA,NA,NA,NA
"48",33100,"2013",11346370,2423348,1768088,2298122,2402144,2454668,8123484,2399226,4752122,1161132,1286826,1211724,375310,"Miami-Fort Lauderdale-West Palm Beach, FL","msa",NA,NA,NA,NA
"49",33100,"2017",12039580,2476116,1841270,2400616,2550762,2770816,8532584,2572830,5326470,1179920,1335136,1260832,379528,"Miami-Fort Lauderdale-West Palm Beach, FL","msa",NA,NA,NA,NA
"50",35620,"1970",29476748,17506245,2967628,3180701,3137259,2684915,NA,NA,NA,NA,NA,NA,NA,"New York-Newark-Jersey City, NY-NJ-PA","msa",NA,NA,NA,NA
"51",35620,"1980",16868198,25757394,2532338,4089671,6025688,6079771,14849895,2893127,2013156,1543884,1754761,1937902,848508,"New York-Newark-Jersey City, NY-NJ-PA","msa",NA,NA,NA,NA
"52",35620,"1990",17413155,17413155,3293981,4257748,2763610,3088022,12141663,3228944,2677355,1670552,1821418,2060237,809423,"New York-Newark-Jersey City, NY-NJ-PA","msa",NA,NA,NA,NA
"53",35620,"2000",26195003,25030666,2983572,4701179,3464690,2837467,11800965,3354770,3625242,1846888,1948969,1597048,905997,"New York-Newark-Jersey City, NY-NJ-PA","msa",NA,NA,NA,NA
"54",35620,"2009",39162758,9287544,6199048,8629286,8135804,6911076,24008512,6781276,8188846,3940342,4047114,4411446,1555312,"New York-Newark-Jersey City, NY-NJ-PA","msa",NA,NA,NA,NA
"55",35620,"2013",39433760,8919922,6576618,8212946,8318484,7405790,23666270,6785982,9047926,3945640,4097538,4496808,1617544,"New York-Newark-Jersey City, NY-NJ-PA","msa",NA,NA,NA,NA
"56",35620,"2017",40384084,8820052,6705244,8218036,8389010,8251742,23536538,6911968,9727204,3998764,4191556,4552570,1593164,"New York-Newark-Jersey City, NY-NJ-PA","msa",NA,NA,NA,NA
"57",37980,"1970",8833026,5317407,923325,920379,933945,737970,NA,NA,NA,NA,NA,NA,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","msa",NA,NA,NA,NA
"58",37980,"1980",5240039,7974563,869661,1241389,1753114,1837806,4295139,965469,125889,410445,534265,605867,270348,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","msa",NA,NA,NA,NA
"59",37980,"1990",5435468,5435468,1030210,1300785,805301,973073,4196135,1015406,181577,494382,597184,660252,235770,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","msa",NA,NA,NA,NA
"60",37980,"2000",6255383,7555607,867022,1359601,1043440,887559,4128103,1120692,284118,574036,651217,477972,235504,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","msa",NA,NA,NA,NA
"61",37980,"2009",11821186,2836220,1915966,2459384,2500260,2109356,8344818,2398556,787736,1268542,1356512,1334764,412850,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","msa",NA,NA,NA,NA
"62",37980,"2013",11985532,2756268,2015594,2312026,2598258,2303386,8213132,2500446,971732,1307450,1388180,1340164,417468,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","msa",NA,NA,NA,NA
"63",37980,"2017",12131288,2685454,2026028,2307092,2562862,2549852,8166566,2541652,1093360,1329294,1434992,1341178,401478,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","msa",NA,NA,NA,NA
"64",47900,"1970",5228415,3164346,665885,601327,495855,301002,NA,NA,NA,NA,NA,NA,NA,"Washington-Arlington-Alexandria, DC-VA-MD-WV","msa",NA,NA,NA,NA
"65",47900,"1980",3426648,5197015,583678,1001527,1252093,878338,2532212,902034,96303,306372,354966,413811,160257,"Washington-Arlington-Alexandria, DC-VA-MD-WV","msa",NA,NA,NA,NA
"66",47900,"1990",4157327,4157327,880614,1148530,643064,502712,2784833,1068100,225974,381890,473095,521579,166390,"Washington-Arlington-Alexandria, DC-VA-MD-WV","msa",NA,NA,NA,NA
"67",47900,"2000",5696110,6308176,782647,1288404,944054,554271,2876292,1269754,429341,480023,556293,405962,206058,"Washington-Arlington-Alexandria, DC-VA-MD-WV","msa",NA,NA,NA,NA
"68",47900,"2009",10768782,2666872,1777540,2513136,2279910,1531324,6183028,2793598,1304746,1131152,1215548,1224006,403442,"Washington-Arlington-Alexandria, DC-VA-MD-WV","msa",NA,NA,NA,NA
"69",47900,"2013",11518660,2725522,1956150,2589258,2446632,1801098,6457514,2941958,1625654,1139774,1284058,1310786,447984,"Washington-Arlington-Alexandria, DC-VA-MD-WV","msa",NA,NA,NA,NA
"70",47900,"2017",12180392,2822620,1993826,2706042,2545338,2112566,6645250,3095748,1860322,1171730,1326932,1369952,471454,"Washington-Arlington-Alexandria, DC-VA-MD-WV","msa",NA,NA,NA,NA
"71",47900,"2000",662089,748335,125662,137177,102871,83495,175306,343213,45015,108569,68022,33493,19904,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"72",47900,"1990",606900,606900,144952,153954,88159,103211,179690,399751,32255,102947,66926,56036,23125,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"73",47900,"1980",638333,981213,128354,187408,210475,221127,192168,451932,17777,100080,65175,58887,29890,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"74",47900,"1970",1287918,756510,172947,132882,121630,103949,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"75",47900,"2009",588433,113992,125724,136609,114310,97798,210983,324631,49813,117435,71903,48108,13277,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"76",47900,"2009",588433,113992,125724,136609,114310,97798,210983,324631,49813,117435,71903,48108,13277,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"77",47900,"2017",672391,118058,158115,170369,112823,113026,273471,321062,71829,121126,84873,56926,15060,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"78",47900,"2013",619371,105291,156363,145246,110874,101597,248141,310530,59479,119573,78272,52026,13778,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"79",47900,"2017",672391,118058,158115,170369,112823,113026,273471,321062,71829,121126,84873,56926,15060,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"80",47900,"2013",619371,105291,156363,145246,110874,101597,248141,310530,59479,119573,78272,52026,13778,NA,"county_level","11001","District of Columbia, DC","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
