"statefips","countyfips","year","total_population","total_housing_units","median_housing_value","median_household_income","percent_families_with_children","county_name","state_name","state_code","total_single_family_households_since_2000","total_single_family_households_before_2000","total_2_to_4_family_households_since_2000","total_2_to_4_family_households_before_2000","total_5_to_19_family_households_since_2000","total_5_to_19_family_households_before_2000","total_20_to_49_family_households_since_2000","total_20_to_49_family_households_before_2000","total_50_or_more_family_households_since_2000","total_50_or_more_family_households_before_2000","total_owner_occupied","total_renter_occupied","median_gross_rent_as_a_percentage_of_household_income","area_type","county_name_state_code","series_id","period","cpi_index","cpi_indexed_2016","housing_units_pct_change_from_2000"
11,"001","2000",572059,274845,223295,56999,NA,"District of Columbia","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","District of Columbia, DC","CUUR0100AA0","M13",282.5,0.704,11.59
24,"009","2000",74563,27576,240341,93672,NA,"Calvert","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Calvert County, MD","CUUR0100AA0","M13",282.5,0.704,25.52
24,"017","2000",120546,43903,217330,88351,NA,"Charles","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Charles County, MD","CUUR0100AA0","M13",282.5,0.704,32.14
24,"021","2000",195277,73017,227557,85619,NA,"Frederick","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Frederick County, MD","CUUR0100AA0","M13",282.5,0.704,28.25
24,"031","2000",873341,334632,315057,101635,NA,"Montgomery","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Montgomery County, MD","CUUR0100AA0","M13",282.5,0.704,15.2
24,"033","2000",801515,302378,206818,78489,NA,"Prince George's","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Prince George's County, MD","CUUR0100AA0","M13",282.5,0.704,9.37
51,"013","2000",189453,90426,372727,89490,NA,"Arlington","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Arlington County, VA","CUUR0100AA0","M13",282.5,0.704,22.49
51,"043","2000",12652,5388,198153,73297,NA,"Clarke","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Clarke County, VA","CUUR0100AA0","M13",282.5,0.704,16.61
51,"047","2000",34262,12871,175142,64332,NA,"Culpeper","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Culpeper County, VA","CUUR0100AA0","M13",282.5,0.704,40.89
51,"059","2000",969749,359411,331392,115128,NA,"Fairfax","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Fairfax County, VA","CUUR0100AA0","M13",282.5,0.704,14.37
51,"061","2000",55139,21046,231108,88067,NA,"Fauquier","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Fauquier County, VA","CUUR0100AA0","M13",282.5,0.704,24.68
51,"107","2000",169599,62160,284801,114557,NA,"Loudoun","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Loudoun County, VA","CUUR0100AA0","M13",282.5,0.704,97.06
