"area_type","unit_type","total_housing_units","group"
"Exurban","2000 & After",200801,"Exurban-2000 & After"
"Exurban","Before 2000",427269,"Exurban-Before 2000"
"Suburban","2000 & After",149042,"Suburban-2000 & After"
"Suburban","Before 2000",929725,"Suburban-Before 2000"
"Urban","2000 & After",65416,"Urban-2000 & After"
"Urban","Before 2000",383225,"Urban-Before 2000"
