"ZCTA","B25024_1_total","B25024_2_1._detached","B25024_7_10_to_19","B25024_8_20_to_49","B25024_9_50_or_more","B25024_10_mobile_home","B25024_11_boat._rv._van._etc.","B11003_1_total","B11003_2_married.couple_family","B11003_3_with_own_children_of_the_householder_under_18_years","B11003_4_under_6_years_only","B11003_5_under_6_years_and_6_to_17_years","B11003_6_6_to_17_years_only","B11003_7_no_own_children_of_the_householder_under_18_years","B11003_8_other_family","B11003_9_male_householder._no_wife_present","B11003_10_with_own_children_of_the_householder_under_18_years","B11003_11_under_6_years_only","B11003_12_under_6_years_and_6_to_17_years","B11003_13_6_to_17_years_only","B11003_14_no_own_children_of_the_householder_under_18_years","B11003_15_female_householder._no_husband_present","B11003_16_with_own_children_of_the_householder_under_18_years","B11003_17_under_6_years_only","B11003_18_under_6_years_and_6_to_17_years","B11003_19_6_to_17_years_only","B11003_20_no_own_children_of_the_householder_under_18_years","B25075_1_total","B25075_2_less_than_.10.000","B25075_3_.10.000_to_.14.999","B25075_4_.15.000_to_.19.999","B25075_5_.20.000_to_.24.999","B25075_6_.25.000_to_.29.999","B25075_7_.30.000_to_.34.999","B25075_8_.35.000_to_.39.999","B25075_9_.40.000_to_.49.999","B25075_10_.50.000_to_.59.999","B25075_11_.60.000_to_.69.999","B25075_12_.70.000_to_.79.999","B25075_13_.80.000_to_.89.999","B25075_14_.90.000_to_.99.999","B25075_15_.100.000_to_.124.999","B25075_16_.125.000_to_.149.999","B25075_17_.150.000_to_.174.999","B25075_18_.175.000_to_.199.999","B25075_19_.200.000_to_.249.999","B25075_20_.250.000_to_.299.999","B25075_21_.300.000_to_.399.999","B25075_22_.400.000_to_.499.999","B25075_23_.500.000_to_.749.999","B25075_24_.750.000_to_.999.999","B25075_25_.1.000.000_to_.1.499.999","B25075_26_.1.500.000_to_.1.999.999","B25075_27_.2.000.000_or_more","B03002_1_total","B03002_2_not_hispanic_or_latino","B03002_3_white_alone","B03002_4_black_or_african_american_alone","B03002_5_american_indian_and_alaska_native_alone","B03002_6_asian_alone","B03002_7_native_hawaiian_and_other_pacific_islander_alone","B03002_8_some_other_race_alone","B03002_9_two_or_more_races","B03002_10_two_races_including_some_other_race","B03002_11_two_races_excluding_some_other_race._and_three_or_more_races","B03002_12_hispanic_or_latino","B03002_13_white_alone","B03002_14_black_or_african_american_alone","B03002_15_american_indian_and_alaska_native_alone","B03002_16_asian_alone","B03002_17_native_hawaiian_and_other_pacific_islander_alone","B03002_18_some_other_race_alone","B03002_19_two_or_more_races","B03002_20_two_races_including_some_other_race","B03002_21_two_races_excluding_some_other_race._and_three_or_more_races","B25056_1_total","B25056_2_with_cash_rent","B25056_3_less_than_.100","B25056_4_.100_to_.149","B25056_5_.150_to_.199","B25056_6_.200_to_.249","B25056_7_.250_to_.299","B25056_8_.300_to_.349","B25056_9_.350_to_.399","B25056_10_.400_to_.449","B25056_11_.450_to_.499","B25056_12_.500_to_.549","B25056_13_.550_to_.599","B25056_14_.600_to_.649","B25056_15_.650_to_.699","B25056_16_.700_to_.749","B25056_17_.750_to_.799","B25056_18_.800_to_.899","B25056_19_.900_to_.999","B25056_20_.1.000_to_.1.249","B25056_21_.1.250_to_.1.499","B25056_22_.1.500_to_.1.999","B25056_23_.2.000_to_.2.499","B25056_24_.2.500_to_.2.999","B25056_25_.3.000_to_.3.499","B25056_26_.3.500_or_more","B25056_27_no_cash_rent","STATE","COUNTY","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","B25024_3_1._attached","B25024_4_2","B25024_5_3_or_4","B25024_6_5_to_9","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20007",13226,1630,855,1432,3468,0,0,4540,3911,1668,694,148,826,2243,629,167,64,39,0,25,103,462,314,95,8,211,148,6285,61,0,11,0,19,0,0,0,0,0,0,0,45,39,26,0,63,166,344,298,347,894,1284,1127,859,702,26415,24265,20355,1378,10,1690,0,73,759,161,598,2150,1701,38,38,33,0,178,162,17,145,5585,5354,0,0,0,0,0,0,0,0,0,0,0,0,20,11,40,70,90,455,1082,1732,774,198,157,725,231,51,"013",25.974,9147943.9090405,2.21631234884262,2.42274370162277e-07,"Arlington","County",300,11570,98,5402,0.03,0.33,"Urban","0.09",4140,255,658,788,"8600000US20007","20007",7775138,1302727
"20008",16940,1899,592,1717,10555,0,0,5240,4454,1446,581,228,637,3008,786,328,300,17,0,283,28,458,240,77,29,134,218,5864,22,0,0,0,0,6,0,0,0,0,0,16,0,9,28,0,33,239,135,1111,498,861,678,1082,479,667,28261,24730,20175,2154,62,1680,0,46,613,19,594,3531,2334,158,16,8,0,829,186,134,52,9493,9362,0,0,0,34,0,0,13,0,0,0,20,10,33,10,41,111,106,480,1624,3675,1594,747,491,373,131,11,"001",61.048,7934014.35088521,7934014.35088521,1,"District of Columbia",NA,611,14746,114,3118,0.04,0.19,"Urban","0.09",1490,132,83,472,"8600000US20008","20008",7871408,33133
"20009",28886,526,3641,5883,10528,9,0,7348,5449,1440,902,226,312,4009,1899,300,125,23,0,102,175,1599,842,140,229,473,757,9432,75,0,0,0,0,0,12,0,13,0,21,0,0,31,54,92,80,229,298,1486,1183,2517,1773,914,431,223,51508,44598,30698,9367,52,2803,116,148,1414,78,1336,6910,3833,496,0,32,0,2252,297,194,103,17567,17383,105,89,146,546,74,160,248,119,110,126,112,212,136,230,152,516,529,1365,2014,4777,2912,1287,1036,382,184,11,"001",61.048,3440816.01026237,3440816.01026237,1,"District of Columbia",NA,3075,23915,132,3905,0.13,0.04,"Urban","0.19",3581,1190,1684,1844,"8600000US20009","20009",3404526,25629
"20010",13692,208,1400,1572,4144,0,0,5542,3172,1426,764,232,430,1746,2370,868,273,104,30,139,595,1502,674,257,108,309,828,4137,50,2,0,27,0,0,8,18,24,14,0,9,0,0,22,7,39,123,200,627,674,1280,670,253,79,11,32421,22444,12122,8269,30,1246,0,61,716,34,682,9977,4193,611,32,39,0,4644,458,289,169,8625,8474,75,69,120,247,99,24,85,151,66,209,36,100,112,167,137,411,486,1549,1215,1537,568,524,307,180,151,11,"001",61.048,2810689.6595735,2810689.6595735,1,"District of Columbia",NA,1247,11515,34,3985,0.11,0.03,"Urban","0.19",4096,872,727,673,"8600000US20010","20010",2804363,16260
"20011",26380,3591,2875,2867,2298,0,8,13740,7547,3710,1170,1021,1519,3837,6193,1535,525,196,8,321,1010,4658,1759,226,397,1136,2899,12819,244,0,6,61,0,50,23,22,18,31,0,10,20,44,70,123,96,506,754,3028,2685,3362,1028,405,122,111,67349,50774,8724,39209,113,1233,22,325,1148,53,1095,16575,3458,2053,439,8,0,10046,571,115,456,11553,11306,142,36,95,301,119,103,111,138,79,249,168,301,165,511,225,976,1309,2873,1183,1271,567,325,38,21,247,24,"031",491.254,12660480.7999454,1.53183937072754e-05,1.20993775428667e-12,"Montgomery","County",903,23461,91,13979,0.04,0.1,"Suburban","0.09",11307,637,1843,954,"8600000US20011","20011",12622333,106750
"20011",26380,3591,2875,2867,2298,0,8,13740,7547,3710,1170,1021,1519,3837,6193,1535,525,196,8,321,1010,4658,1759,226,397,1136,2899,12819,244,0,6,61,0,50,23,22,18,31,0,10,20,44,70,123,96,506,754,3028,2685,3362,1028,405,122,111,67349,50774,8724,39209,113,1233,22,325,1148,53,1095,16575,3458,2053,439,8,0,10046,571,115,456,11553,11306,142,36,95,301,119,103,111,138,79,249,168,301,165,511,225,976,1309,2873,1183,1271,567,325,38,21,247,11,"001",61.048,12660480.7999454,12660466.3018587,0.999998854854972,"District of Columbia",NA,903,23461,91,13979,0.04,0.1,"Urban","0.09",11307,637,1843,954,"8600000US20011","20011",12622333,106750
"20011",26380,3591,2875,2867,2298,0,8,13740,7547,3710,1170,1021,1519,3837,6193,1535,525,196,8,321,1010,4658,1759,226,397,1136,2899,12819,244,0,6,61,0,50,23,22,18,31,0,10,20,44,70,123,96,506,754,3028,2685,3362,1028,405,122,111,67349,50774,8724,39209,113,1233,22,325,1148,53,1095,16575,3458,2053,439,8,0,10046,571,115,456,11553,11306,142,36,95,301,119,103,111,138,79,249,168,301,165,511,225,976,1309,2873,1183,1271,567,325,38,21,247,24,"033",482.691,12660480.7999454,1.18751108522015,9.37966814992739e-08,"Prince George's","County",903,23461,91,13979,0.04,0.1,"Suburban","0.09",11307,637,1843,954,"8600000US20011","20011",12622333,106750
"20012",6375,2889,549,989,617,0,0,3385,2317,913,239,259,415,1404,1068,347,152,50,48,54,195,721,318,56,19,243,403,3622,34,0,0,8,0,10,0,5,0,0,0,6,0,31,7,31,12,134,118,466,593,1146,643,323,55,0,14457,12584,3155,8693,47,282,0,14,393,4,389,1873,540,267,0,0,10,903,153,93,60,2276,2166,7,0,44,7,0,0,0,0,8,25,62,35,60,63,51,151,169,657,331,289,77,52,64,14,110,24,"031",491.254,5803079.64819336,15.5933281779289,2.68707809012815e-06,"Montgomery","County",311,5587,38,3542,0.06,0.12,"Suburban","0.09",991,23,126,191,"8600000US20012","20012",5863171,67558
"20012",6375,2889,549,989,617,0,0,3385,2317,913,239,259,415,1404,1068,347,152,50,48,54,195,721,318,56,19,243,403,3622,34,0,0,8,0,10,0,5,0,0,0,6,0,31,7,31,12,134,118,466,593,1146,643,323,55,0,14457,12584,3155,8693,47,282,0,14,393,4,389,1873,540,267,0,0,10,903,153,93,60,2276,2166,7,0,44,7,0,0,0,0,8,25,62,35,60,63,51,151,169,657,331,289,77,52,64,14,110,11,"001",61.048,5803079.64819336,5803097.15997553,1.00000301767048,"District of Columbia",NA,311,5587,38,3542,0.06,0.12,"Urban","0.09",991,23,126,191,"8600000US20012","20012",5863171,67558
"20015",6812,3999,29,387,1465,0,0,3920,3506,1905,446,271,1188,1601,414,101,45,0,0,45,56,313,186,22,0,164,127,4504,38,29,0,0,12,0,0,0,0,0,10,0,12,0,29,0,0,12,70,64,27,556,1906,1238,401,100,16323,15105,12132,1606,116,750,0,29,472,0,472,1218,1052,0,8,0,0,118,40,0,40,1964,1881,0,0,0,14,73,0,43,47,0,0,0,0,0,25,9,53,55,146,247,569,220,110,36,234,83,11,"001",61.048,8925388.95455337,8924431.45925066,0.999892722288341,"District of Columbia",NA,386,6082,62,4666,0.06,0.16,"Urban","0.09",877,8,47,0,"8600000US20015","20015",8930808,12516
