"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"22101","District of Columbia",NA,11,"001",1346,9289,0.14,0.93,1247,9804,61.048,35439944.8821993,1631.0295907259,4.6022351223947e-05,"0.19"
"22101","Arlington","County",51,"013",1346,9289,0.14,0.93,1247,9804,25.974,35439944.8821993,175282.406210959,0.00494589951518236,"0.19"
"22201","Arlington","County",51,"013",4536,13728,0.33,0.13,608,4329,25.974,6052536.18618256,6052536.18618256,1,"0.37"
"22202","Alexandria","city",51,"510",3179,9575,0.33,0.05,149,2233,15.027,10176992.6196391,30994.8501071702,0.00304558048390029,"0.37"
"22202","Arlington","County",51,"013",3179,9575,0.33,0.05,149,2233,25.974,10176992.6196391,9985925.73322425,0.981225604306115,"0.37"
"22202","District of Columbia",NA,11,"001",3179,9575,0.33,0.05,149,2233,61.048,10176992.6196391,160095.869903402,0.015731157119487,"0.37"
"22203","Arlington","County",51,"013",3110,8026,0.39,0.06,192,2522,25.974,3979108.05517018,3978952.49592346,0.999960906000902,"6.1"
"22203","Fairfax","County",51,"059",3110,8026,0.39,0.06,192,2522,390.969,3979108.05517018,157.633791137952,3.96153582542535e-05,"6.1"
"22204","Fairfax","County",51,"059",2041,19494,0.1,0.18,369,8408,390.969,10679668.105732,1980.95969152451,0.000185488881481372,"0.19"
"22204","Arlington","County",51,"013",2041,19494,0.1,0.18,369,8408,25.974,10679668.105732,10677722.1917861,0.999817792657351,"0.19"
"22205","Fairfax","County",51,"059",381,6304,0.06,0.95,362,5731,390.969,7032107.5675745,42.7515763044357,6.07948270040208e-06,"0.09"
"22205","Falls Church","city",51,"610",381,6304,0.06,0.95,362,5731,1.999,7032107.5675745,16977.7787176967,0.0024143229543277,"0.09"
"22205","Arlington","County",51,"013",381,6304,0.06,0.95,362,5731,25.974,7032107.5675745,7015089.01793242,0.997579879221336,"0.09"
"22206","Fairfax","County",51,"059",1672,8605,0.19,0.21,345,4158,390.969,5297746.31175709,411.686761319637,7.77097915024727e-05,"0.19"
"22206","Alexandria","city",51,"510",1672,8605,0.19,0.21,345,4158,15.027,5297746.31175709,248318.817610901,0.0468725384339028,"0.19"
"22206","Arlington","County",51,"013",1672,8605,0.19,0.21,345,4158,25.974,5297746.31175709,5049018.71214306,0.95305030007533,"0.19"
"22207","Fairfax","County",51,"059",1121,10483,0.11,0.81,907,9945,390.969,16571002.7153115,120647.373529196,0.00728063205358832,"0.19"
"22207","District of Columbia",NA,11,"001",1121,10483,0.11,0.81,907,9945,61.048,16571002.7153115,0,0,"0.19"
"22207","Arlington","County",51,"013",1121,10483,0.11,0.81,907,9945,25.974,16571002.7153115,16450183.8930104,0.99270902163395,"0.19"
"22209","Arlington","County",51,"013",1753,5416,0.32,0.01,26,627,25.974,1515055.63567436,1515047.90665364,0.999994898523505,"0.37"
