"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20565","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,163761.117334132,163761.117334132,1,"80"
"20566","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,97943.9833134077,97943.9833134077,1,"80"
"20593","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,73438.7771688933,73438.7771688933,1,"80"
"20712","Prince George's","County",24,"033",154,3602,0.04,0.32,49,1146,482.691,1912759.04030633,1912847.50499773,1.00004624978345,"460"
"20722","Prince George's","County",24,"033",39,1647,0.02,1,39,1445,482.691,3902682.20794247,3902682.20794247,1,"80"
"20743","Prince George's","County",24,"033",1086,12891,0.08,0.55,599,10700,482.691,25125227.7243896,25125239.9834898,1.00000048791996,"1636"
"20745","Prince George's","County",24,"033",969,9622,0.1,0.51,495,5293,482.691,17026104.0343928,16999847.0066171,0.998457836994143,"1636"
"20746","Prince George's","County",24,"033",1690,9403,0.18,0.26,435,4543,482.691,20426906.8270561,20426906.8270673,1.00000000000055,"12036"
"20748","Prince George's","County",24,"033",402,14246,0.03,0.57,230,9035,482.691,23563930.1042737,23563927.6845258,0.999999897311361,"460"
"20781","Prince George's","County",24,"033",327,3389,0.1,0.72,234,2303,482.691,6499646.20647645,6499646.4412961,1.00000003612807,"460"
"20782","Prince George's","County",24,"033",1512,9560,0.16,0.04,59,4919,482.691,11157365.1533222,11157365.1533222,1,"1636"
"20783","Prince George's","County",24,"033",253,12204,0.02,0.22,56,5727,482.691,14547634.7671438,14542399.4103602,0.999640123163156,"460"
"20815","Montgomery","County",24,"031",985,11952,0.08,0.4,393,7035,491.254,14101992.6560829,14102936.473664,1.00006692795864,"1636"
"20816","Montgomery","County",24,"031",306,5773,0.05,0.89,272,4750,491.254,10625517.4215522,10619779.3284448,0.999459970476757,"460"
"20910","Montgomery","County",24,"031",4256,15799,0.27,0.08,342,6371,491.254,11894977.8716655,11894979.9570951,1.00000017532018,"12036"
