"county_name_state_code","area_type","unit_type","total_housing_units"
"Rappahannock County, VA","Exurban","2000 & After",642
"Clarke County, VA","Exurban","2000 & After",898
"Warren County, VA","Exurban","2000 & After",2889
"Jefferson County, WV","Exurban","2000 & After",5190
"Fauquier County, VA","Exurban","2000 & After",5367
"Culpeper County, VA","Exurban","2000 & After",5436
"independent cities of
Fredericksburg, Manassas & Manassas Park","Exurban","2000 & After",5524
"Calvert County, MD","Exurban","2000 & After",7209
"Spotsylvania County, VA","Exurban","2000 & After",13265
"Charles County, MD","Exurban","2000 & After",14980
"Stafford County, VA","Exurban","2000 & After",15940
"Frederick County, MD","Exurban","2000 & After",21671
"Prince William County, VA","Exurban","2000 & After",47909
"Loudoun County, VA","Exurban","2000 & After",64002
"Fairfax & Falls Church cities","Suburban","2000 & After",1719
"Prince George's County, MD","Suburban","2000 & After",27948
"Fairfax County, VA","Suburban","2000 & After",51812
"Montgomery County, MD","Suburban","2000 & After",51955
"Alexandria city, VA","Urban","2000 & After",11238
"Arlington County, VA","Urban","2000 & After",21220
"Washington, DC","Urban","2000 & After",33316
