"STATE","COUNTY","ZCTA5CE10"
"51","153","20143"
"51","153","22192"
"51","153","22026"
"51","153","20155"
"51","153","20169"
"51","153","20181"
"51","157","22749"
"51","157","22627"
"51","157","22740"
"51","157","22623"
"51","157","22640"
"51","157","22716"
"51","157","22747"
"51","157","20106"
"51","177","22407"
"51","177","22551"
"51","177","22553"
"51","177","22534"
"51","177","22408"
"51","179","22554"
"51","179","22556"
"51","179","22134"
"51","179","22405"
"51","179","22406"
"51","187","22610"
"51","187","22630"
"51","510","22304"
"51","510","22311"
"51","510","22302"
"51","510","22314"
"51","510","22305"
"51","510","22301"
"51","610","22046"
"51","630","22401"
"51","683","20110"
"54","037","25425"
"54","037","25432"
"54","037","25443"
"54","037","25414"
"54","037","25438"
"54","037","25442"
"54","037","25430"
"54","037","25446"
