"GEO_ID","STATE","COUNTY","NAME","LSAD","CENSUSAREA","ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","zcta_area","intersected_area","percent_intersected_area"
"0500000US51061","51","061","Fauquier","County",647.449,"20115","8600000US20115","20115",246466294,1185476,247617805.86809,247544566.353454,0.9997042235538
"0500000US51107","51","107","Loudoun","County",515.561,"20132","8600000US20132","20132",214741110,1937174,216575002.744071,216569086.824039,0.99997268419736
"0500000US51177","51","177","Spotsylvania","County",401.496,"22551","8600000US22551","22551",450595713,7596970,458201896.587686,457756002.878402,0.999026861930069
"0500000US11001","11","001","District of Columbia",NA,61.048,"20390","8600000US20390","20390",10935,0,11324.4290093184,11324.4290093184,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20540","8600000US20540","20540",86892,0,86576.0746540334,86576.0746540334,1
"0500000US51059","51","059","Fairfax","County",390.969,"22027","8600000US22027","22027",1678018,200,1656941.51775664,1656941.51775664,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20506","8600000US20506","20506",47757,0,43955.8428915888,43955.8428915888,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20230","8600000US20230","20230",55495,0,55282.0595756085,55282.0595756085,1
"0500000US24033","24","033","Prince George's","County",482.691,"20737","8600000US20737","20737",10717478,76041,10831073.0457748,10831073.0457748,1
"0500000US51061","51","061","Fauquier","County",647.449,"20139","8600000US20139","20139",8476252,17201,8457067.8534033,8457067.8534033,1
"0500000US24017","24","017","Charles","County",457.749,"20616","8600000US20616","20616",25416318,3717652,29082435.0115675,29082381.3882961,0.999998156162944
"0500000US24021","24","021","Frederick","County",660.221,"21780","8600000US21780","21780",58241148,39449,58324465.40961,56687289.2792666,0.971929856213073
"0500000US51107","51","107","Loudoun","County",515.561,"20129","8600000US20129","20129",8317295,30850,8311214.88041862,8311214.88041862,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20053","8600000US20053","20053",85365,0,101139.766140372,101139.766140372,1
"0500000US24021","24","021","Frederick","County",660.221,"21718","8600000US21718","21718",1175758,10426,1179178.63576066,1179178.63576066,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20317","8600000US20317","20317",1184849,5298,1188913.74117801,1188913.74117801,1
"0500000US51047","51","047","Culpeper","County",379.234,"22701","8600000US22701","22701",423185080,3530748,426702545.023547,338102705.741345,0.792361586975505
"0500000US11001","11","001","District of Columbia",NA,61.048,"20553","8600000US20553","20553",25135,0,25061.2149238326,25061.2149238326,1
"0500000US51177","51","177","Spotsylvania","County",401.496,"22553","8600000US22553","22553",115604965,3211449,118744862.570207,118654287.027729,0.999237225590077
"0500000US51013","51","013","Arlington","County",25.974,"22207","8600000US22207","22207",16679777,3491,16571002.7152987,16450183.892941,0.992709021630531
"0500000US11001","11","001","District of Columbia",NA,61.048,"20005","8600000US20005","20005",1103657,0,1132684.4834331,1132684.4834331,1
"0500000US24031","24","031","Montgomery","County",491.254,"20860","8600000US20860","20860",9856223,26973,9907308.87972236,9907308.87972236,1
"0500000US54037","54","037","Jefferson","County",209.635,"25432","8600000US25432","25432",2129714,0,2131592.98818648,2131592.98818648,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20003","8600000US20003","20003",5809903,709427,6467487.23069323,6467487.23069323,1
"0500000US51107","51","107","Loudoun","County",515.561,"20105","8600000US20105","20105",96122624,996440,97119079.0997578,97004788.6431086,0.99882319254148
"0500000US51630","51","630","Fredericksburg","city",10.44,"22401","8600000US22401","22401",27071661,178255,27266119.3323711,27054388.2600323,0.992234645871023
