"","statefips","countyfips","tract","blkgrp","area_type","pop","bg_med_inc_real"
"1","11","001","000100","1","Urban",1302,107248.17670132
"2","11","001","000100","2","Urban",1278,86661.446680273
"3","11","001","000100","3","Urban",260,160067.97579565
"4","11","001","000100","4","Urban",646,108710.695516296
"5","11","001","000100","5","Urban",1220,160723.322597104
"6","11","001","000201","1","Urban",3829,80667.2335608138
"7","11","001","000202","1","Urban",1131,111374.363160916
"8","11","001","000202","2","Urban",702,126520.369443204
"9","11","001","000202","3","Urban",375,102785.668569424
"10","11","001","000202","4","Urban",449,124635.046240194
"11","11","001","000202","5","Urban",571,152336.421008993
"12","11","001","000202","6","Urban",418,93345.5996874801
"13","11","001","000310","1","Urban",828,77475.0604311499
"14","11","001","000310","2","Urban",545,81278.3780853371
"15","11","001","000310","3","Urban",1310,113863.14353594
"16","11","001","000310","4","Urban",1568,112569.746476178
"17","11","001","000310","5","Urban",1487,58529.5801709293
"18","11","001","000400","1","Urban",656,288277.640952867
"19","11","001","000400","2","Urban",743,154460.052139805
"20","11","001","000501","1","Urban",1460,81678.1204158428
"21","11","001","000501","2","Urban",18,117922.065661075
"22","11","001","000501","3","Urban",1216,66864.5921296001
"23","11","001","000502","3","Urban",1523,93789.5442949168
"24","11","001","000502","4","Urban",1842,88717.8134766248
"25","11","001","000502","5","Urban",451,221157.444352318
"26","11","001","000600","1","Urban",1129,77238.6743414759
"27","11","001","000600","2","Urban",1087,110828.561132725
"28","11","001","000600","3","Urban",1025,66362.9923783405
"29","11","001","000600","4","Urban",1135,119321.163817846
"30","11","001","000600","5","Urban",584,223367.558198865
"31","11","001","000701","1","Urban",1714,54710.8878117227
"32","11","001","000701","2","Urban",2758,81516.6860131386
"33","11","001","000720","3","Urban",2062,54985.7106639454
"34","11","001","000720","5","Urban",1364,60482.1677083998
"35","11","001","000801","1","Urban",3234,98990.0382677467
"36","11","001","000801","2","Urban",155,288277.640952867
"37","11","001","000801","4","Urban",883,86674.899547165
"38","11","001","000801","5","Urban",922,225258.646916257
"39","11","001","000801","6","Urban",734,288277.640952867
"40","11","001","000802","2","Urban",1059,148398.574685886
"41","11","001","000802","3","Urban",1632,100765.816697493
"42","11","001","000901","1","Urban",565,125492.186045028
"43","11","001","000901","2","Urban",3753,232196.482556285
"44","11","001","000901","6","Urban",1394,194418.910485363
"45","11","001","000901","7","Urban",1171,277132.901651891
"46","11","001","000902","3","Urban",692,172144.80658843
"47","11","001","000902","4","Urban",454,101745.954142484
"48","11","001","000902","5","Urban",770,156105.145576886
"49","11","001","001001","1","Urban",592,117324.374003444
"50","11","001","001001","2","Urban",557,121187.268639582
"51","11","001","001001","3","Urban",955,54378.409815677
"52","11","001","001001","4","Urban",1236,162710.503220869
"53","11","001","001001","5","Urban",299,149703.502774412
"54","11","001","001001","6","Urban",1046,148590.758498629
"55","11","001","001001","7","Urban",982,138683.682951719
"56","11","001","001001","8","Urban",653,143334.531220103
"57","11","001","001002","1","Urban",2029,68624.9958543274
"58","11","001","001002","2","Urban",1505,85391.1116780407
"59","11","001","001100","1","Urban",488,201256.810542764
"60","11","001","001100","2","Urban",1491,98136.742139167
"61","11","001","001100","3","Urban",610,92248.2301167166
"62","11","001","001100","4","Urban",649,134534.434434594
"63","11","001","001100","5","Urban",1177,144795.128196951
"64","11","001","001200","1","Urban",1772,79275.8227565534
"65","11","001","001200","2","Urban",928,86482.7157344218
"66","11","001","001200","3","Urban",646,89365.4729255692
"67","11","001","001200","4","Urban",496,149376.790292748
"68","11","001","001200","5","Urban",984,95492.2928758212
"69","11","001","001301","1","Urban",270,259048.40487276
"70","11","001","001301","4","Urban",1109,92930.4826519549
"71","11","001","001301","5","Urban",393,288277.640952867
"72","11","001","001301","6","Urban",241,228102.967344856
"73","11","001","001301","7","Urban",1680,79835.0776516359
"74","11","001","001302","1","Urban",183,288277.640952867
"75","11","001","001302","2","Urban",3059,70877.3901396773
"76","11","001","001302","3","Urban",2734,88097.0597614644
"77","11","001","001401","3","Urban",532,162514.475731871
"78","11","001","001401","5","Urban",1337,56304.0916193635
"79","11","001","001401","6","Urban",699,191211.362650679
"80","11","001","001401","7","Urban",509,188853.267268321
"81","11","001","001402","1","Urban",362,200828.240640347
"82","11","001","001402","2","Urban",620,163861.6842592
"83","11","001","001402","3","Urban",627,138408.860099496
"84","11","001","001402","4","Urban",1254,61890.8750558071
"85","11","001","001500","1","Urban",873,163411.974137381
"86","11","001","001500","2","Urban",656,157583.039096881
"87","11","001","001500","3","Urban",907,126445.417756234
"88","11","001","001500","4","Urban",1448,170428.605140634
"89","11","001","001500","5","Urban",910,153896.953568467
"90","11","001","001500","6","Urban",776,133681.138306014
"91","11","001","001600","1","Urban",1156,138011.039607118
"92","11","001","001600","2","Urban",819,121562.027074431
"93","11","001","001600","3","Urban",1078,156270.423655845
"94","11","001","001600","4","Urban",622,183091.596562281
"95","11","001","001600","5","Urban",503,138454.984214555
"96","11","001","001600","6","Urban",307,160116.021748836
"97","11","001","001701","1","Urban",1248,78474.4162574144
"98","11","001","001701","5","Urban",1107,61933.1554946106
"99","11","001","001701","6","Urban",638,61544.9441928694
"100","11","001","001702","2","Urban",565,60972.2364308948
"101","11","001","001702","3","Urban",810,78207.2807577014
"102","11","001","001702","4","Urban",621,84653.125837107
"103","11","001","001702","5","Urban",98,163077.574303208
"104","11","001","001702","6","Urban",504,93034.2619108362
"105","11","001","001801","1","Urban",801,148360.137923337
"106","11","001","001803","5","Urban",979,74551.9446393265
"107","11","001","001803","6","Urban",1728,48910.7803431341
"108","11","001","001804","1","Urban",802,54566.7499521653
"109","11","001","001804","2","Urban",343,44442.5066968557
"110","11","001","001804","3","Urban",2041,51291.9377830219
"111","11","001","001804","4","Urban",1051,62177.2289367944
"112","11","001","001901","5","Urban",1057,55621.8390841253
"113","11","001","001901","6","Urban",992,65822.9558645322
"114","11","001","001901","7","Urban",1399,87001.6120288284
"115","11","001","001901","8","Urban",915,94575.5760890363
"116","11","001","001902","1","Urban",343,93689.6087122903
"117","11","001","001902","2","Urban",600,85414.1737355699
"118","11","001","001902","3","Urban",929,73441.122201671
"119","11","001","001902","4","Urban",658,92088.7175521398
"120","11","001","002001","1","Urban",1244,42143.9882964475
"121","11","001","002001","7","Urban",1208,135825.909656228
"122","11","001","002002","2","Urban",1406,45549.4854582563
"123","11","001","002002","3","Urban",881,82479.5269149818
"124","11","001","002002","4","Urban",668,110259.697047006
"125","11","001","002002","5","Urban",640,86851.7086548887
"126","11","001","002002","6","Urban",370,115310.287645896
"127","11","001","002101","1","Urban",1541,46114.5058677212
"128","11","001","002101","2","Urban",822,57132.4038522865
"129","11","001","002101","3","Urban",1441,64473.8254990752
"130","11","001","002101","4","Urban",800,59626.9497416927
"131","11","001","002101","5","Urban",683,42040.2090375662
"132","11","001","002102","1","Urban",519,98636.4200522993
"133","11","001","002102","2","Urban",928,42816.6316410485
"134","11","001","002102","3","Urban",830,81357.1734485618
"135","11","001","002102","4","Urban",781,83194.4506983864
"136","11","001","002102","5","Urban",582,50181.1153453664
"137","11","001","002102","6","Urban",939,49573.814497098
"138","11","001","002102","7","Urban",510,72068.9297786849
"139","11","001","002201","1","Urban",1381,83373.1816442375
"140","11","001","002201","2","Urban",585,74471.2274379744
"141","11","001","002201","3","Urban",865,70045.2342304994
"142","11","001","002201","4","Urban",821,61087.5467185407
"143","11","001","002202","1","Urban",1479,47746.1464379106
"144","11","001","002202","2","Urban",815,54487.9545889406
"145","11","001","002202","3","Urban",1003,72178.4745519485
"146","11","001","002301","1","Urban",1397,49323.9755405319
"147","11","001","002301","2","Urban",719,94089.3510427961
"148","11","001","002301","3","Urban",559,82667.8670514701
"149","11","001","002301","4","Urban",668,87854.908157408
"150","11","001","002302","1","Urban",4417,79327.712385994
"151","11","001","002400","1","Urban",689,89903.5876012501
"152","11","001","002400","2","Urban",515,74567.3193443459
"153","11","001","002400","3","Urban",806,59288.7062312647
"154","11","001","002400","4","Urban",981,60057.4414822374
"155","11","001","002400","5","Urban",894,45987.6645513107
"156","11","001","002501","1","Urban",575,71669.1874481791
"157","11","001","002501","2","Urban",355,37883.2731679316
"158","11","001","002501","3","Urban",939,66407.1946552714
"159","11","001","002501","4","Urban",444,70977.3257223037
"160","11","001","002502","1","Urban",855,38154.2523438995
"161","11","001","002502","2","Urban",1096,56665.3971873206
"162","11","001","002502","3","Urban",2971,42172.8158683589
"163","11","001","002600","1","Urban",387,110282.759104535
"164","11","001","002600","2","Urban",951,135683.693634798
"165","11","001","002600","3","Urban",1008,87776.1127941833
"166","11","001","002701","1","Urban",2528,61029.8915747178
"167","11","001","002701","2","Urban",2368,51399.560718158
"168","11","001","002702","1","Urban",2216,41690.4344983736
"169","11","001","002702","2","Urban",2386,70867.7809490401
"170","11","001","002702","3","Urban",1640,116167.42745073
"171","11","001","002801","1","Urban",3334,38477.121149308
"172","11","001","002802","2","Urban",4859,29038.9741054914
"173","11","001","002900","1","Urban",1944,43835.2058485873
"174","11","001","002900","2","Urban",2147,64362.3588876842
"175","11","001","003000","1","Urban",2512,38648.1647426494
"176","11","001","003100","1","Urban",2319,40839.0602079214
"177","11","001","003100","2","Urban",720,44142.6999489763
"178","11","001","003200","1","Urban",1032,61125.9834810894
"179","11","001","003200","2","Urban",1003,62192.6036418139
"180","11","001","003200","3","Urban",2486,37450.8595892595
"181","11","001","003200","4","Urban",340,75601.2682569041
"182","11","001","003301","1","Urban",1096,84080.4180751323
"183","11","001","003301","2","Urban",1130,60743.5376937305
"184","11","001","003301","3","Urban",923,48265.0427323171
"185","11","001","003302","1","Urban",1161,45643.6555265004
"186","11","001","003302","2","Urban",782,87109.2349639645
"187","11","001","003400","1","Urban",1686,38736.5692965113
"188","11","001","003400","2","Urban",20,21620.6789336055
"189","11","001","003400","3","Urban",1594,13470.1634351681
"190","11","001","003400","4","Urban",818,60257.3126474903
"191","11","001","003400","5","Urban",576,50748.0575929587
"192","11","001","003500","1","Urban",1415,40571.9247082084
"193","11","001","003500","2","Urban",693,10992.9140889087
"194","11","001","003600","1","Urban",4272,23137.009216149
"195","11","001","003700","1","Urban",5514,35085.0768543912
"196","11","001","003800","1","Urban",2837,48480.2886025895
"197","11","001","003800","2","Urban",1590,51334.2182218254
"198","11","001","003900","1","Urban",2581,51105.519484661
"199","11","001","003900","2","Urban",2012,70904.2958734613
"200","11","001","004001","1","Urban",1113,69816.535493335
"201","11","001","004001","2","Urban",627,85148.9600739843
"202","11","001","004001","3","Urban",1120,78703.1149945787
"203","11","001","004002","1","Urban",649,72603.2007781109
"204","11","001","004002","2","Urban",2532,62407.8495120862
"205","11","001","004100","1","Urban",609,128067.449135787
"206","11","001","004100","2","Urban",1565,98444.2362395561
"207","11","001","004100","3","Urban",577,100114.313572294
"208","11","001","004201","1","Urban",1722,52767.9094648893
"209","11","001","004201","2","Urban",1992,97356.4758594298
"210","11","001","004202","1","Urban",2604,70033.7032017348
"211","11","001","004300","1","Urban",1968,38229.2040308693
