estimate_year,index,FL_011,FL_086,FL_099,MSA
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,33100.0
2013-2017,FILETYPE,2017e5,2017e5,2017e5,33100.0
2013-2017,STATE,fl,fl,fl,33100.0
2013-2017,CHARITER,000,000,000,33100.0
2013-2017,SEQUENCE,0003,0003,0003,33100.0
2013-2017,LOGRECNO,0000018,0000055,0000062,33100.0
2013-2017,SUMMARY_LEVEL,050,050,050,33100.0
2013-2017,STATE_FIPS,12,12,12,33100.0
2013-2017,GEO_ID,05000US12011,05000US12086,05000US12099,33100.0
2013-2017,GEO_NAME,"Broward County, Florida","Miami-Dade County, Florida","Palm Beach County, Florida",33100.0
2013-2017,B01003_1_total,1890416,2702602,1426772,33100.0
2013-2017,B01001_1_total,1890416,2702602,1426772,33100.0
2013-2017,B01001_2_male,920265,1311997,691154,33100.0
2013-2017,B01001_3_under_5_years,56214,79390,37417,33100.0
2013-2017,B01001_4_5_to_9_years,57916,75937,39359,33100.0
2013-2017,B01001_5_10_to_14_years,56133,78500,39710,33100.0
2013-2017,B01001_6_15_to_17_years,36610,48314,25360,33100.0
2013-2017,B01001_7_18_and_19_years,21792,32304,15898,33100.0
2013-2017,B01001_8_20_years,11600,18514,8201,33100.0
2013-2017,B01001_9_21_years,11567,17798,7939,33100.0
2013-2017,B01001_10_22_to_24_years,35261,54789,25147,33100.0
2013-2017,B01001_11_25_to_29_years,63345,99754,44024,33100.0
2013-2017,B01001_12_30_to_34_years,62553,95304,41358,33100.0
2013-2017,B01001_13_35_to_39_years,62107,92850,40227,33100.0
2013-2017,B01001_14_40_to_44_years,61171,98183,41775,33100.0
2013-2017,B01001_15_45_to_49_years,66415,99893,45055,33100.0
2013-2017,B01001_16_50_to_54_years,71004,98953,48397,33100.0
2013-2017,B01001_17_55_to_59_years,65460,81528,45597,33100.0
2013-2017,B01001_18_60_and_61_years,22914,28928,17065,33100.0
2013-2017,B01001_19_62_to_64_years,29149,38453,23854,33100.0
2013-2017,B01001_20_65_and_66_years,18534,23131,15937,33100.0
2013-2017,B01001_21_67_to_69_years,25478,30987,23825,33100.0
2013-2017,B01001_22_70_to_74_years,31830,43752,31875,33100.0
2013-2017,B01001_23_75_to_79_years,21997,33011,28281,33100.0
2013-2017,B01001_24_80_to_84_years,15448,22041,21224,33100.0
2013-2017,B01001_25_85_years_and_over,15767,19683,23629,33100.0
2013-2017,B01001_26_female,970151,1390605,735618,33100.0
2013-2017,B01001_27_under_5_years,54163,76810,35846,33100.0
2013-2017,B01001_28_5_to_9_years,52585,74127,37961,33100.0
2013-2017,B01001_29_10_to_14_years,57810,73796,38137,33100.0
2013-2017,B01001_30_15_to_17_years,35209,46425,24329,33100.0
2013-2017,B01001_31_18_and_19_years,20005,30746,15099,33100.0
2013-2017,B01001_32_20_years,10423,18643,7937,33100.0
2013-2017,B01001_33_21_years,10399,18635,7722,33100.0
2013-2017,B01001_34_22_to_24_years,35556,51575,23560,33100.0
2013-2017,B01001_35_25_to_29_years,63859,96724,41819,33100.0
2013-2017,B01001_36_30_to_34_years,65060,93579,40563,33100.0
2013-2017,B01001_37_35_to_39_years,63279,93692,41249,33100.0
2013-2017,B01001_38_40_to_44_years,67038,97775,42545,33100.0
2013-2017,B01001_39_45_to_49_years,70021,100789,47733,33100.0
2013-2017,B01001_40_50_to_54_years,73015,103895,51264,33100.0
2013-2017,B01001_41_55_to_59_years,66114,89632,50616,33100.0
2013-2017,B01001_42_60_and_61_years,24601,33076,18817,33100.0
2013-2017,B01001_43_62_to_64_years,35107,48969,26685,33100.0
2013-2017,B01001_44_65_and_66_years,21156,29025,20433,33100.0
2013-2017,B01001_45_67_to_69_years,28441,39038,27340,33100.0
2013-2017,B01001_46_70_to_74_years,37293,55315,40381,33100.0
