estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2005-2009,FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5
2005-2009,STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi
2005-2009,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2005-2009,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011
2005-2009,LOGRECNO,0000028,0000031,0000034,0000044,0000057,0000059,0000061,0000068,0000111,0000049,0000057,0000068,0000076,0000042
2005-2009,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2005-2009,STATE_FIPS,17,17,17,17,17,17,17,17,17,18,18,18,18,55
2005-2009,GEO_ID,05000US17031,05000US17037,05000US17043,05000US17063,05000US17089,05000US17093,05000US17097,05000US17111,05000US17197,05000US18073,05000US18089,05000US18111,05000US18127,05000US55059
2005-2009,GEO_NAME,"Cook County, Illinois","DeKalb County, Illinois","DuPage County, Illinois","Grundy County, Illinois","Kane County, Illinois","Kendall County, Illinois","Lake County, Illinois","McHenry County, Illinois","Will County, Illinois","Jasper County, Indiana","Lake County, Indiana","Newton County, Indiana","Porter County, Indiana","Kenosha County, Wisconsin"
2005-2009,B01003_1_total,5257001,104279,925530,46513,494371,94070,702558,312946,664361,32197,491203,13974,160073,162740
2005-2009,B01001_1_total,5257001,104279,925530,46513,494371,94070,702558,312946,664361,32197,491203,13974,160073,162740
2005-2009,B01001_2_male,2555964,51841,458672,23390,250304,47362,352765,157418,333408,15988,236297,6997,78992,80952
2005-2009,B01001_3_under_5_years,194958,3373,31248,1824,22110,4297,26389,11202,26258,1130,17834,345,5103,5699
2005-2009,B01001_4_5_to_9_years,173310,3309,30722,1695,21634,4561,28664,12701,27658,1228,17314,474,5024,5837
2005-2009,B01001_5_10_to_14_years,183245,3243,36060,1855,20241,3673,28814,12721,29036,1066,19568,448,6255,6215
2005-2009,B01001_6_15_to_17_years,111054,1879,21373,1141,12173,2181,17506,7707,16631,829,11574,350,3565,3926
2005-2009,B01001_7_18_and_19_years,72191,3629,12834,658,6645,1101,12856,4297,9154,610,6369,194,2424,2448
2005-2009,B01001_8_20_years,37964,2102,6953,431,3373,578,5564,1954,4725,284,2987,72,1242,1157
2005-2009,B01001_9_21_years,35360,2195,5622,251,3202,401,4846,1752,3671,201,3200,42,993,1065
2005-2009,B01001_10_22_to_24_years,109443,4810,18614,648,9308,1607,13796,5254,11478,635,8497,282,2854,3377
2005-2009,B01001_11_25_to_29_years,222854,3173,29786,1718,16077,3507,17588,8652,21310,891,14764,394,5317,5594
2005-2009,B01001_12_30_to_34_years,201478,2997,29667,1588,17629,4064,21070,9917,23744,953,14340,401,4981,5375
2005-2009,B01001_13_35_to_39_years,188519,3057,33818,1683,20518,4224,25803,12317,28454,907,15351,454,5630,5780
2005-2009,B01001_14_40_to_44_years,183084,3402,36799,1871,19444,4016,28970,13964,27760,1237,16255,511,5456,6721
2005-2009,B01001_15_45_to_49_years,185259,3417,38922,1862,19366,3341,29550,13925,26688,1273,18535,632,6238,6666
2005-2009,B01001_16_50_to_54_years,166486,2948,35023,1626,16334,2750,25896,11703,22046,1092,17754,575,6248,5799
2005-2009,B01001_17_55_to_59_years,138349,2290,29002,1351,14167,2579,20979,8897,17578,941,14442,459,5323,4676
2005-2009,B01001_18_60_and_61_years,47097,935,8938,498,4743,581,6837,3017,6235,355,4807,147,1829,1550
2005-2009,B01001_19_62_to_64_years,59053,1041,11430,486,5025,879,7951,3926,7065,484,6442,312,2411,1517
2005-2009,B01001_20_65_and_66_years,33952,452,6537,404,3231,569,4743,2054,4171,261,3534,123,1361,1023
2005-2009,B01001_21_67_to_69_years,44156,837,8060,351,3511,566,5479,2935,4832,271,4765,266,1444,1476
2005-2009,B01001_22_70_to_74_years,59253,960,9633,514,4643,754,7382,3302,6053,590,6355,215,2064,1715
2005-2009,B01001_23_75_to_79_years,48771,726,7517,447,3078,694,5762,2768,4210,420,5202,150,1516,1568
2005-2009,B01001_24_80_to_84_years,35006,517,5591,333,2346,277,3803,1475,2765,200,3718,89,942,1195
2005-2009,B01001_25_85_years_and_over,25122,549,4523,155,1506,162,2517,978,1886,130,2690,62,772,573
2005-2009,B01001_26_female,2701037,52438,466858,23123,244067,46708,349793,155528,330953,16209,254906,6977,81081,81788
2005-2009,B01001_27_under_5_years,186817,3079,30239,1675,21113,4165,25378,10714,25001,1093,17239,369,4651,5477
2005-2009,B01001_28_5_to_9_years,168847,3026,30886,1557,20811,4142,27149,11680,27156,1092,17815,437,5623,5726
2005-2009,B01001_29_10_to_14_years,173368,3088,33365,1751,18714,3692,27462,12449,26859,1172,17940,479,5168,5704
2005-2009,B01001_30_15_to_17_years,106651,1910,20292,1023,10955,1939,16494,7398,15780,761,11159,307,3515,3663
2005-2009,B01001_31_18_and_19_years,69014,4679,11774,436,5931,1012,9704,3767,8227,494,5955,149,2362,2294
2005-2009,B01001_32_20_years,35379,2091,5914,218,3422,537,4826,1671,4199,292,3062,49,1145,1139
2005-2009,B01001_33_21_years,34980,1862,5727,270,2915,638,3926,1859,3661,185,3093,85,1365,1294
2005-2009,B01001_34_22_to_24_years,109283,4931,17566,937,8608,1412,12608,4747,11159,634,8661,200,2845,2858
2005-2009,B01001_35_25_to_29_years,222992,2888,26928,1564,14459,3384,17097,7871,20030,749,15848,373,4899,5429
2005-2009,B01001_36_30_to_34_years,201631,2548,28274,1485,16295,3805,20398,9213,22488,901,15705,359,4932,5299
2005-2009,B01001_37_35_to_39_years,186490,3021,32729,1522,17999,3998,26149,12101,26696,1027,16574,499,5451,6105
2005-2009,B01001_38_40_to_44_years,186637,3401,37745,1898,19725,3842,28930,14054,28530,1084,17586,452,5921,6347
2005-2009,B01001_39_45_to_49_years,192926,3142,39973,1910,18556,3367,29919,13767,26266,1255,20014,636,6714,6640
2005-2009,B01001_40_50_to_54_years,179171,2874,36031,1607,16222,2776,26108,11118,21823,1092,18802,538,6347,5614
2005-2009,B01001_41_55_to_59_years,158042,2523,29374,1350,13873,2410,21307,8489,17780,954,16337,540,5294,4337
2005-2009,B01001_42_60_and_61_years,53867,731,9422,408,4683,683,6638,3144,6230,353,5402,139,1741,1427
2005-2009,B01001_43_62_to_64_years,67336,936,12713,563,5695,980,8016,3966,7287,508,6308,271,2403,2097
2005-2009,B01001_44_65_and_66_years,41591,688,7085,384,3196,621,4430,2139,4483,360,4275,159,1106,1016
2005-2009,B01001_45_67_to_69_years,52309,756,8050,351,3924,728,5989,3213,5148,468,5802,137,1615,1476
2005-2009,B01001_46_70_to_74_years,82328,1258,11431,690,5492,724,8606,3667,7361,453,7764,256,2638,2174
2005-2009,B01001_47_75_to_79_years,70533,1183,11001,557,4080,853,7383,3159,5946,450,7589,229,2083,1985
2005-2009,B01001_48_80_to_84_years,60185,866,9390,453,3792,468,5793,2619,4079,398,6519,160,1559,2044
2005-2009,B01001_49_85_years_and_over,60660,957,10949,514,3607,532,5483,2723,4764,434,5457,154,1704,1643
2005-2009,B02001_1_total,5257001,104279,925530,46513,494371,94070,702558,312946,664361,32197,491203,13974,160073,162740
2005-2009,B02001_2_white_alone,2834682,89251,748915,44203,379696,81247,548901,284395,517659,31333,310001,13533,148414,139732
2005-2009,B02001_3_black_or_african_american_alone,1342487,6053,39968,697,27077,4177,45888,2968,70626,232,124950,70,4178,9527
2005-2009,B02001_4_american_indian_and_alaska_native_alone,9526,178,1694,69,854,80,917,352,818,155,1447,0,342,634
2005-2009,B02001_5_asian_alone,297943,2860,90033,198,14701,2330,40139,8322,25186,72,6048,60,1806,2216
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,1366,100,395,21,80,0,144,11,62,0,235,0,33,71
